date,20-34_Pinal,35-44_Pinal,45-54_Pinal,55-64_Pinal,65+_Pinal,<20_Pinal
12/27/2021,41233,33083,34260,39429,80517,25412
12/28/2020,313,506,490,339,136,3
12/28/2021,41297,33109,34289,39488,80633,25548
12/29/2020,419,666,652,480,191,4
12/29/2021,41357,33135,34323,39530,80727,25654
12/3/2020,2,1,2,,1,
12/3/2021,40142,32406,33614,38534,78676,23123
12/30/2020,549,884,845,661,321,4
12/30/2021,41405,33169,34353,39569,80823,25811
12/31/2020,622,979,949,750,500,5
12/31/2021,41427,33188,34375,39594,80848,25858
12/4/2020,2,1,2,,1,
12/4/2021,40169,32426,33631,38550,78716,23201
12/5/2020,2,1,2,,1,
12/5/2021,40191,32439,33643,38562,78747,23229
12/6/2020,2,1,2,,1,
12/6/2021,40252,32479,33692,38608,78841,23354
12/7/2020,2,1,2,,1,
12/7/2021,40326,32519,33727,38673,78954,23503
12/8/2020,2,1,2,,1,
12/8/2021,40395,32553,33771,38711,79068,23633
12/9/2020,2,1,2,,2,
12/9/2021,40467,32613,33813,38773,79195,23794
2/1/2021,2924,4060,4329,4157,14254,67
2/10/2021,3634,4863,5238,5432,24618,92
2/11/2021,3702,4928,5324,5566,26382,95
2/12/2021,3803,5036,5464,5756,28414,101
2/13/2021,4002,5272,5732,5977,29904,111
2/14/2021,4033,5312,5782,6035,30253,112
2/15/2021,4083,5357,5830,6121,31045,118
2/16/2021,4157,5427,5877,6194,32064,127
2/17/2021,4239,5484,5933,6285,33105,132
2/18/2021,4313,5543,5989,6346,34236,144
2/19/2021,4385,5610,6057,6418,34875,151
2/2/2021,2996,4151,4446,4314,15189,67
2/20/2021,4527,5705,6147,6491,35378,164
2/21/2021,4539,5718,6159,6511,35658,165
2/22/2021,4572,5756,6186,6567,36076,168
2/23/2021,4610,5796,6235,6632,36677,169
2/24/2021,4664,5861,6291,6705,37690,174
2/25/2021,4750,5952,6388,6883,39343,180
2/26/2021,4839,6037,6485,7052,41143,185
2/27/2021,4887,6070,6534,7128,41688,187
2/28/2021,4901,6081,6560,7178,42052,187
2/3/2021,3110,4299,4579,4458,16225,69
2/4/2021,3186,4402,4690,4580,17266,70
2/5/2021,3342,4554,4866,4771,18348,74
2/6/2021,3400,4632,4955,4931,19719,82
2/7/2021,3418,4638,4969,4959,20081,82
2/8/2021,3471,4690,5038,5095,21399,83
2/9/2021,3523,4757,5126,5271,22856,88
3/1/2021,4958,6140,6648,7380,43187,190
3/10/2021,5620,6814,7542,11814,52068,238
3/11/2021,5782,7053,7743,12796,53313,244
3/12/2021,5930,7137,7927,13488,54188,252
3/13/2021,6015,7220,8018,13924,54584,258
3/14/2021,6056,7257,8084,14280,54809,262
3/15/2021,6159,7335,8242,15041,55405,271
3/16/2021,6286,7472,8461,15866,56303,277
3/17/2021,6504,7657,8736,16752,57242,291
3/18/2021,6690,7846,9007,17619,58264,300
3/19/2021,6955,8115,9347,18370,59005,328
3/2/2021,5023,6208,6756,7603,44496,194
3/20/2021,7085,8244,9576,18713,59398,338
3/21/2021,7191,8380,9752,19013,59658,352
3/22/2021,7459,8680,10098,19564,60210,398
3/23/2021,7801,9017,10548,20177,60855,437
3/24/2021,8183,9385,11073,20788,61441,504
3/25/2021,8599,9747,11541,21224,61980,558
3/26/2021,8965,10120,11957,21886,62504,618
3/27/2021,9250,10413,12285,22141,62694,687
3/28/2021,9527,10649,12546,22366,62880,763
3/29/2021,9931,10994,12964,22670,63200,833
3/3/2021,5120,6295,6867,8068,46238,207
3/30/2021,10307,11326,13388,22949,63495,913
3/31/2021,10663,11674,13850,23284,63762,1011
3/4/2021,5229,6434,7010,8666,47886,210
3/5/2021,5334,6545,7136,9256,48865,219
3/6/2021,5382,6594,7211,9710,49587,223
3/7/2021,5413,6617,7245,9977,49907,223
3/8/2021,5467,6670,7320,10523,50587,226
3/9/2021,5543,6746,7445,11206,51407,230
4/1/2021,11026,12000,14322,23565,64042,1101
4/10/2021,13842,14506,17378,25859,66487,1782
4/11/2021,13994,14628,17525,25956,66571,1862
4/12/2021,14281,14864,17824,26181,66861,1938
4/13/2021,14560,15084,18069,26465,67151,2010
4/14/2021,14859,15397,18398,26679,67327,2077
4/15/2021,15231,15729,18758,26900,67503,2144
4/16/2021,15542,16055,19013,27063,67644,2201
4/17/2021,15698,16192,19181,27183,67765,2247
4/18/2021,15785,16276,19255,27249,67811,2293
4/19/2021,15987,16431,19449,27415,68014,2354
4/2/2021,11308,12268,14629,23755,64281,1189
4/20/2021,16228,16654,19658,27607,68217,2414
4/21/2021,16517,16918,19991,27786,68379,2487
4/22/2021,16744,17130,20202,27955,68522,2549
4/23/2021,16988,17327,20394,28134,68670,2606
4/24/2021,17115,17454,20534,28219,68771,2672
4/25/2021,17213,17522,20602,28279,68830,2723
4/26/2021,17402,17696,20760,28411,68978,2786
4/27/2021,17619,17877,20964,28596,69135,2850
4/28/2021,17800,18012,21120,28743,69286,2890
4/29/2021,17994,18169,21285,28900,69442,2948
4/3/2021,11535,12460,14870,23880,64413,1271
4/30/2021,18227,18358,21464,29065,69578,3021
4/4/2021,11669,12526,14995,23942,64462,1313
4/5/2021,11958,12767,15346,24257,64801,1378
4/6/2021,12364,13078,15784,24623,65203,1477
4/7/2021,12869,13613,16365,24956,65564,1555
4/8/2021,13161,13910,16696,25305,65947,1614
4/9/2021,13499,14196,17082,25619,66259,1697
5/1/2021,18367,18445,21605,29163,69639,3087
5/10/2021,19498,19195,22442,29946,70354,3464
5/11/2021,19638,19269,22537,30024,70473,3507
5/12/2021,19777,19372,22641,30126,70565,3567
5/13/2021,19926,19467,22741,30221,70673,3832
5/14/2021,20128,19591,22861,30336,70775,4066
5/15/2021,20250,19682,22979,30443,70847,4404
5/16/2021,20312,19756,23032,30478,70876,4645
5/17/2021,20453,19865,23138,30582,70977,4821
5/18/2021,20566,19955,23253,30684,71088,5031
5/19/2021,20719,20050,23355,30801,71192,5253
5/2/2021,18440,18481,21649,29209,69669,3128
5/20/2021,20866,20173,23468,30903,71284,5417
5/21/2021,20995,20294,23598,30995,71375,5644
5/22/2021,21153,20383,23702,31075,71421,5948
5/23/2021,21237,20420,23751,31113,71454,6048
5/24/2021,21391,20516,23840,31187,71519,6182
5/25/2021,21545,20615,23946,31251,71579,6310
5/26/2021,21656,20712,24037,31337,71640,6439
5/27/2021,21773,20805,24124,31396,71717,6596
5/28/2021,21944,20892,24219,31485,71787,6795
5/29/2021,22013,20945,24270,31527,71820,6912
5/3/2021,18595,18570,21747,29306,69762,3179
5/30/2021,22061,20969,24298,31555,71836,6984
5/31/2021,22083,20989,24316,31572,71849,7010
5/4/2021,18763,18676,21878,29418,69874,3226
5/5/2021,18935,18790,22017,29522,69971,3278
5/6/2021,19093,18906,22133,29646,70079,3328
5/7/2021,19222,19026,22255,29765,70193,3372
5/8/2021,19313,19082,22316,29816,70234,3413
5/9/2021,19363,19114,22347,29864,70262,3437
6/1/2021,22224,21075,24400,31637,71920,7139
6/10/2021,23189,21620,24975,32065,72372,8136
6/11/2021,23329,21719,25047,32110,72424,8251
6/12/2021,23410,21761,25085,32140,72434,8318
6/13/2021,23495,21791,25112,32151,72452,8342
6/14/2021,23598,21855,25168,32206,72484,8428
6/15/2021,23695,21924,25212,32254,72512,8505
6/16/2021,23796,21974,25256,32295,72543,8605
6/17/2021,23917,22055,25308,32343,72577,8714
6/18/2021,24043,22141,25384,32398,72613,8823
6/19/2021,24115,22171,25421,32432,72628,8890
6/2/2021,22319,21141,24489,31703,71987,7267
6/20/2021,24161,22202,25439,32454,72639,8926
6/21/2021,24254,22250,25500,32486,72676,9039
6/22/2021,24318,22301,25547,32525,72704,9115
6/23/2021,24410,22367,25599,32566,72752,9236
6/24/2021,24517,22416,25637,32603,72777,9320
6/25/2021,24622,22490,25700,32650,72812,9433
6/26/2021,24697,22531,25731,32698,72828,9496
6/27/2021,24768,22573,25759,32724,72842,9581
6/28/2021,24846,22628,25812,32769,72869,9683
6/29/2021,24942,22683,25854,32806,72903,9804
6/3/2021,22419,21202,24567,31768,72060,7378
6/30/2021,25025,22761,25906,32852,72943,9900
6/4/2021,22574,21272,24648,31833,72125,7524
6/5/2021,22667,21317,24704,31885,72174,7639
6/6/2021,22733,21349,24724,31899,72184,7708
6/7/2021,22847,21404,24805,31942,72227,7813
6/8/2021,22934,21464,24857,31975,72277,7922
6/9/2021,23088,21553,24923,32018,72326,8011
7/1/2021,25109,22824,25946,32884,72982,10004
7/10/2021,25875,23270,26364,33198,73210,10686
7/11/2021,25912,23289,26385,33214,73218,10721
7/12/2021,25987,23329,26444,33245,73252,10814
7/13/2021,26151,23386,26497,33274,73283,10914
7/14/2021,26224,23427,26536,33313,73310,11003
7/15/2021,26300,23477,26574,33344,73339,11092
7/16/2021,26407,23555,26645,33405,73382,11200
7/17/2021,26515,23620,26699,33444,73410,11278
7/18/2021,26592,23661,26724,33470,73418,11341
7/19/2021,26679,23730,26789,33527,73465,11484
7/2/2021,25229,22908,26021,32944,73021,10085
7/20/2021,26789,23784,26862,33574,73504,11637
7/21/2021,26896,23865,26950,33638,73551,11798
7/22/2021,27034,23967,27033,33691,73601,11911
7/23/2021,27170,24088,27146,33777,73655,12048
7/24/2021,27306,24168,27207,33844,73677,12167
7/25/2021,27402,24227,27274,33873,73695,12257
7/26/2021,27568,24326,27366,33947,73748,12345
7/27/2021,27706,24420,27437,34004,73793,12459
7/28/2021,27878,24520,27525,34063,73856,12599
7/29/2021,28055,24607,27606,34120,73912,12727
7/3/2021,25317,22963,26072,32980,73051,10156
7/30/2021,28227,24745,27735,34212,73969,12908
7/31/2021,28370,24821,27820,34268,74005,13060
7/4/2021,25351,22982,26083,32984,73052,10171
7/5/2021,25456,23030,26124,33014,73071,10246
7/6/2021,25574,23083,26158,33045,73099,10328
7/7/2021,25664,23132,26206,33082,73131,10430
7/8/2021,25720,23172,26259,33120,73157,10515
7/9/2021,25806,23233,26322,33171,73186,10607
8/1/2021,28472,24882,27877,34312,74027,13145
8/10/2021,29889,25933,28669,34866,74485,14272
8/11/2021,30022,26014,28750,34919,74535,14430
8/12/2021,30215,26136,28826,34967,74576,14564
8/13/2021,30410,26293,28944,35040,74628,14733
8/14/2021,30565,26407,29025,35088,74661,14853
8/15/2021,30663,26466,29081,35119,74680,14917
8/16/2021,30854,26597,29182,35174,74736,15042
8/17/2021,31009,26713,29261,35227,74776,15184
8/18/2021,31218,26861,29373,35278,74825,15286
8/19/2021,31355,26965,29435,35323,74862,15362
8/2/2021,28617,24990,27966,34384,74088,13260
8/20/2021,31547,27090,29533,35385,74900,15471
8/21/2021,31674,27177,29591,35431,74916,15578
8/22/2021,31778,27237,29620,35453,74938,15645
8/23/2021,31961,27333,29705,35517,74975,15770
8/24/2021,32123,27439,29771,35576,75013,15835
8/25/2021,32296,27547,29861,35640,75057,15926
