date,20-34_Gila,35-44_Gila,45-54_Gila,55-64_Gila,65+_Gila,<20_Gila
1/1/2021,159,152,165,207,209,4
1/1/2022,2962,2120,2669,4880,12267,1600
1/10/2021,303,340,412,524,1044,14
1/10/2022,3017,2149,2696,4914,12296,1695
1/11/2021,317,357,429,556,1122,14
1/11/2022,3025,2156,2702,4919,12306,1714
1/12/2021,325,361,438,571,1157,14
1/12/2022,3031,2158,2706,4920,12308,1736
1/13/2021,330,367,448,579,1194,14
1/13/2022,3034,2161,2706,4921,12312,1742
1/14/2021,340,382,466,611,1341,14
1/14/2022,3039,2166,2708,4922,12312,1775
1/15/2021,395,428,509,664,1379,20
1/15/2022,3039,2167,2708,4923,12312,1776
1/16/2021,395,429,510,665,1380,20
1/16/2022,3039,2167,2708,4924,12313,1777
1/17/2021,395,429,510,665,1383,20
1/17/2022,3042,2167,2708,4927,12314,1777
1/18/2021,398,437,515,692,1453,20
1/19/2021,411,441,524,707,1510,21
1/2/2021,175,168,188,243,311,7
1/2/2022,2967,2120,2669,4882,12268,1600
1/20/2021,421,449,546,735,1616,22
1/21/2021,436,461,554,770,1827,22
1/22/2021,452,470,561,782,1890,22
1/23/2021,456,475,563,788,2004,22
1/24/2021,456,475,564,789,2013,22
1/25/2021,471,483,575,808,2078,22
1/26/2021,477,486,575,810,2092,22
1/27/2021,490,502,585,821,2267,26
1/28/2021,510,528,618,876,2519,26
1/29/2021,536,547,648,909,2634,29
1/3/2021,176,168,188,245,311,7
1/3/2022,2974,2125,2673,4885,12270,1611
1/30/2021,569,559,659,925,2754,36
1/31/2021,569,559,659,926,2758,36
1/4/2021,190,184,221,283,360,7
1/4/2022,2978,2126,2678,4887,12275,1627
1/5/2021,210,218,279,342,495,8
1/5/2022,2984,2131,2682,4889,12281,1639
1/6/2021,221,244,315,400,632,10
1/6/2022,3001,2139,2690,4897,12287,1645
1/7/2021,267,309,357,461,844,13
1/7/2022,3007,2145,2692,4906,12289,1677
1/8/2021,298,339,405,522,1025,14
1/8/2022,3008,2145,2692,4911,12290,1686
1/9/2021,303,340,412,524,1044,14
1/9/2022,3011,2146,2693,4911,12291,1687
10/1/2021,2635,1934,2486,4546,11703,1141
10/10/2021,2658,1949,2497,4564,11728,1152
10/11/2021,2659,1952,2499,4564,11734,1155
10/12/2021,2663,1954,2501,4567,11740,1157
10/13/2021,2667,1957,2502,4570,11747,1159
10/14/2021,2672,1960,2507,4578,11751,1161
10/15/2021,2679,1961,2511,4585,11752,1161
10/16/2021,2680,1961,2511,4586,11752,1161
10/17/2021,2681,1961,2511,4586,11754,1161
10/18/2021,2686,1962,2512,4589,11760,1161
10/19/2021,2689,1965,2515,4593,11760,1162
10/2/2021,2635,1936,2487,4547,11704,1141
10/20/2021,2689,1965,2521,4598,11763,1162
10/21/2021,2692,1968,2525,4607,11776,1163
10/22/2021,2695,1971,2527,4609,11787,1165
10/23/2021,2697,1971,2529,4610,11792,1170
10/24/2021,2697,1972,2530,4610,11793,1170
10/25/2021,2699,1973,2532,4615,11799,1171
10/26/2021,2702,1974,2536,4622,11804,1173
10/27/2021,2705,1974,2537,4629,11812,1173
10/28/2021,2718,1989,2543,4632,11820,1173
10/29/2021,2722,1993,2546,4636,11831,1175
10/3/2021,2635,1937,2487,4548,11705,1141
10/30/2021,2723,1995,2547,4638,11835,1175
10/31/2021,2723,1995,2549,4638,11838,1175
10/4/2021,2637,1940,2488,4551,11713,1143
10/5/2021,2641,1943,2491,4551,11719,1149
10/6/2021,2644,1943,2494,4558,11720,1150
10/7/2021,2653,1948,2494,4560,11722,1150
10/8/2021,2654,1949,2496,4561,11727,1151
10/9/2021,2654,1949,2497,4564,11728,1151
11/1/2021,2728,1998,2550,4643,11850,1175
11/10/2021,2758,2016,2572,4681,11935,1249
11/11/2021,2760,2017,2573,4684,11944,1261
11/12/2021,2769,2020,2574,4688,11951,1277
11/13/2021,2769,2020,2577,4689,11955,1285
11/14/2021,2772,2020,2579,4690,11957,1285
11/15/2021,2775,2023,2580,4700,11968,1287
11/16/2021,2780,2023,2582,4706,11982,1290
11/17/2021,2788,2028,2585,4712,11992,1291
11/18/2021,2793,2032,2590,4717,12004,1305
11/19/2021,2797,2038,2591,4723,12016,1326
11/2/2021,2731,2001,2554,4647,11858,1175
11/20/2021,2803,2038,2591,4724,12021,1328
11/21/2021,2805,2039,2591,4727,12022,1328
11/22/2021,2813,2040,2595,4736,12034,1334
