Category,value
Apache,560
Cochise,490
Coconino,427
Gila,325
Graham,161
Greenlee,30
La Paz,112
Maricopa,"14,274"
Mohave,"1,244"
Navajo,782
Pima,"3,342"
Pinal,"1,398"
Santa Cruz,208
Yavapai,"1,020"
Yuma,"1,022"
Female,10498
Male,14884
20-44y,1405
45-54y,1996
55-64y,4048
65+,17890
<20y,56
"White, non-Hispanic",13348
Hispanic or Latino,6885
"American Indian or Alaska Native, non-Hispanic",1823
"Black or African American, non-Hispanic",781
"Asian or Pacific Islander, non-Hispanic",308
Other Race,699
Unknown,1551
