"POSTCODE","ConfirmedCases","ConfirmedCaseCount","LowCase","HighCase","population","hh_pop","med_inc","med_age","per1k_low","per1k_high","ALAND10","NUMHospitals","SQMILE","pop_density","zip_class","HasHospital"
"85714","Greater Than 10","70",70,70,15693,5242,28977,31.2,13.3536818008394,13.3536818008394,17045710,1,6.58138542498003,796.488833506648,"Suburban",TRUE
"85715","1-5","1-5",1,5,17137,7731,67134,48.8,0.129349372655543,0.646746863277713,17301253,0,6.68005112888182,1157.32647113647,"Suburban",FALSE
"85719","Greater Than 10","17",17,17,48369,17495,31975,22.9,0.971706201771935,0.971706201771935,21200199,1,8.18544259554318,2137.33097456767,"Suburban",TRUE
"85718","Greater Than 10","12",12,12,26398,12569,85508,52,0.954729891001671,0.954729891001671,98725539,0,38.1181437116963,329.737987638241,"Suburban",FALSE
"85721","0","0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"85730","Greater Than 10","17",17,17,38219,15369,51622,39.2,1.10612271455527,1.10612271455527,120221813,0,46.4179015038315,331.100706884205,"Suburban",FALSE
"85756","Greater Than 10","32",32,32,42023,10889,50785,33.3,2.93874552300487,2.93874552300487,175862449,0,67.9008711664046,160.366130992846,"Suburban",FALSE
"85735","1-5","1-5",1,5,11274,4315,44338,45.2,0.231749710312862,1.15874855156431,493709864,0,190.622444186747,22.636369071906,"Rural",FALSE
"85736","1-5","1-5",1,5,4612,1863,43517,49.3,0.536768652710682,2.68384326355341,913206667,0,352.591065328953,5.28374137405296,"Rural",FALSE
"85737","1-5","1-5",1,5,21795,9541,76922,51.8,0.10481081647626,0.524054082381302,62388140,0,24.0881955217831,396.086124067368,"Suburban",FALSE
"85739","1-5","1-5",1,5,18511,8601,66362,65.9,0.116265550517382,0.581327752586908,482987553,0,186.482536765026,46.122281202328,"Rural",FALSE
"85755","6-10","6-10",6,10,16434,7012,90541,57.5,0.855675984027382,1.42612664004564,87429137,1,33.7565785156724,207.722473909626,"Suburban",TRUE
"85741","Greater Than 10","14",14,14,35219,14150,59087,35.5,0.989399293286219,0.989399293286219,26014919,0,10.0444163803465,1408.74287406949,"Suburban",FALSE
"85743","6-10","6-10",6,10,30217,11468,73507,41.9,0.523194977328218,0.871991628880363,249798335,0,96.4476763451496,118.90384957498,"Suburban",FALSE
"85745","Greater Than 10","45",45,45,39414,16110,51364,37.2,2.79329608938547,2.79329608938547,174372240,1,67.3254982548172,239.285269587252,"Suburban",TRUE
"85746","Greater Than 10","33",33,33,44823,14561,47202,32.2,2.26632786209738,2.26632786209738,197694182,0,76.3301504025441,190.763412926731,"Suburban",FALSE
"85747","6-10","6-10",6,10,25777,8616,85701,34.3,0.696378830083565,1.16063138347261,152810114,0,59.0003148633373,146.033118974997,"Suburban",FALSE
"85748","6-10","6-10",6,10,18372,7515,73410,43.7,0.798403193612774,1.33067198935462,30630645,0,11.8265581522118,635.434240738466,"Suburban",FALSE
"85749","6-10","6-10",6,10,18813,7676,87229,53.2,0.781657113079729,1.30276185513288,155690279,0,60.1123527868112,127.694219975435,"Suburban",FALSE
"85750","Greater Than 10","11",11,11,24535,11325,76467,52.7,0.971302428256071,0.971302428256071,51485227,0,19.8785572780241,569.709352726511,"Suburban",FALSE
"85757","Greater Than 10","17",17,17,20312,6184,52981,29.9,2.7490297542044,2.7490297542044,66557171,0,25.6978673899359,240.642536836417,"Suburban",FALSE
"85901","1-5","1-5",1,5,18344,7068,48223,45.4,0.141482739105829,0.707413695529145,674039715,1,260.248188908452,27.1586904394801,"Rural",TRUE
"85920","0","0",0,0,434,231,70417,62.2,0,0,277219731,0,107.035136531144,2.15816980747052,"Rural",FALSE
"85924","0","0",0,0,2696,1134,38922,60.6,0,0,2027764364,0,782.924197966732,1.44841608286603,"Rural",FALSE
"85925","0","0",0,0,4938,1714,63359,38.5,0,0,76317303,0,29.4662754228475,58.1681931429652,"Rural",FALSE
"85941","Data Suppressed","Data Suppressed",0,0,11149,2523,29571,27.7,0,0,2153378502,1,831.424087792655,3.03455244687258,"Rural",TRUE
"85928","0","0",0,0,1327,429,36250,41.2,0,0,736436045,0,284.339546606914,1.50875952754146,"Rural",FALSE
"85929","1-5","1-5",1,5,7407,3055,49107,51.4,0.327332242225859,1.6366612111293,156324792,0,60.3573396257378,50.615219606155,"Rural",FALSE
