date,20-34,35-44,45-54,55-64,65+,<20
1/1/2021,20915,22881,20942,18271,12809,190
1/10/2021,34507,35043,33103,29995,29908,436
1/11/2021,36429,36855,35062,31680,33741,493
1/12/2021,39216,39539,37857,34214,41360,590
1/13/2021,41964,42453,40979,36922,50191,675
1/14/2021,44708,45483,44220,39937,59628,741
1/15/2021,48175,48713,47598,43057,68875,847
1/16/2021,49957,50289,49281,44666,74276,891
1/17/2021,51059,51315,50346,45760,77760,923
1/18/2021,52712,52833,52091,47485,85587,960
1/19/2021,54743,54701,54137,49677,95709,1053
1/2/2021,22810,24589,22496,19685,13894,217
1/20/2021,57165,57202,57068,52656,108043,1169
1/21/2021,59862,60057,60431,56159,123822,1309
1/22/2021,64333,64197,65036,61039,139574,1460
1/23/2021,67605,66957,68115,64219,150146,1601
1/24/2021,69119,68341,69640,65902,157819,1653
1/25/2021,71483,70489,72241,68851,171491,1728
1/26/2021,74384,72996,75137,72085,188817,1832
1/27/2021,77480,75608,78065,75461,207746,1925
1/28/2021,80511,78185,81019,79101,229062,2057
1/29/2021,84343,81328,84374,82833,249067,2247
1/3/2021,23697,25338,23145,20235,14257,236
1/30/2021,87149,83457,86716,85294,260511,2413
1/31/2021,88052,84189,87583,86329,266527,2455
1/4/2021,25408,26984,24753,21733,16193,259
1/5/2021,27194,28628,26345,23305,18341,289
1/6/2021,29386,30552,28404,25346,21448,350
1/7/2021,31188,32181,30170,27140,24809,384
1/8/2021,32892,33761,31826,28796,27255,407
1/9/2021,33978,34598,32673,29593,29425,431
10/1/2021,815124,557122,575049,657510,1169818,372689
10/10/2021,824699,562178,579132,660848,1174800,377327
10/11/2021,826043,562938,579696,661360,1175614,377996
10/12/2021,826796,563303,579996,661605,1176034,378427
10/13/2021,827843,563862,580499,662015,1176704,378905
10/14/2021,829153,564507,581096,662510,1177454,379421
10/15/2021,830672,565260,581767,663037,1178059,380000
10/16/2021,831632,565679,582140,663342,1178339,381281
10/17/2021,832345,565969,582360,663502,1178506,381540
10/18/2021,833595,566682,582934,664006,1179237,382035
10/19/2021,834680,567299,583389,664483,1179885,382565
10/2/2021,816098,557609,575495,657862,1170216,373228
10/20/2021,835739,567855,583837,664929,1180515,383080
10/21/2021,836830,568444,584365,665375,1181122,383514
10/22/2021,838202,569245,585028,665977,1182399,384126
10/23/2021,839008,569690,585442,666374,1183172,384508
10/24/2021,839466,569970,585666,666628,1183679,384747
10/25/2021,840675,570639,586260,667241,1185314,385215
10/26/2021,841856,571333,586845,667834,1186855,385742
10/27/2021,843068,572002,587495,668509,1188410,386262
10/28/2021,844351,572691,588081,669189,1189909,386726
10/29/2021,845594,573456,588743,669867,1191138,387227
10/3/2021,816615,557852,575677,658018,1170437,373476
10/30/2021,846265,573811,589048,670208,1191645,387504
10/31/2021,846643,574018,589242,670382,1192001,387626
10/4/2021,818000,558523,576278,658450,1171296,374108
10/5/2021,819483,559242,576830,658927,1172209,374722
10/6/2021,820878,560018,577422,659369,1172918,375368
10/7/2021,821871,560607,577894,659807,1173499,375907
