date,20-34_Santa Cruz,35-44_Santa Cruz,45-54_Santa Cruz,55-64_Santa Cruz,65+_Santa Cruz,<20_Santa Cruz
1/1/2021,109,97,58,69,60,2
1/10/2021,264,214,162,163,194,5
1/11/2021,280,234,188,181,210,5
1/12/2021,300,249,211,209,255,5
1/13/2021,309,258,218,220,424,5
1/14/2021,320,271,227,232,586,5
1/15/2021,337,284,238,241,752,5
1/16/2021,343,286,238,241,757,5
1/17/2021,344,287,238,243,761,5
1/18/2021,346,292,240,247,768,5
1/19/2021,351,302,242,252,811,5
1/2/2021,110,97,58,70,61,2
1/20/2021,371,318,263,271,1140,7
1/21/2021,387,338,282,288,1456,7
1/22/2021,418,368,320,316,1872,8
1/23/2021,424,373,321,318,1880,8
1/24/2021,424,375,321,320,1882,8
1/25/2021,440,385,337,339,1908,8
1/26/2021,464,403,352,361,2207,9
1/27/2021,484,423,367,385,2273,11
1/28/2021,508,449,407,457,2566,11
1/29/2021,563,512,497,532,2735,12
1/3/2021,112,99,58,71,62,2
1/30/2021,584,527,511,552,2745,12
1/31/2021,596,534,516,564,2755,12
1/4/2021,131,115,68,85,68,2
1/5/2021,158,125,86,97,78,2
1/6/2021,188,158,109,118,88,3
1/7/2021,212,176,127,133,174,4
1/8/2021,261,211,159,161,193,4
1/9/2021,264,212,161,162,194,4
10/1/2021,10251,6380,6430,6288,9767,6238
10/10/2021,10296,6409,6444,6307,9785,6312
10/11/2021,10299,6416,6450,6310,9789,6314
10/12/2021,10311,6417,6452,6311,9791,6347
10/13/2021,10315,6423,6456,6315,9792,6351
10/14/2021,10323,6432,6461,6321,9797,6362
10/15/2021,10342,6438,6468,6324,9800,6368
10/16/2021,10351,6439,6468,6324,9801,6375
10/17/2021,10356,6440,6468,6324,9801,6380
10/18/2021,10364,6446,6472,6327,9806,6384
10/19/2021,10385,6455,6479,6332,9811,6396
10/2/2021,10253,6381,6431,6290,9768,6240
10/20/2021,10389,6456,6482,6333,9812,6404
10/21/2021,10400,6458,6485,6335,9814,6409
10/22/2021,10409,6465,6488,6340,9818,6419
10/23/2021,10413,6470,6495,6343,9820,6427
10/24/2021,10414,6473,6497,6344,9821,6431
10/25/2021,10419,6479,6501,6344,9826,6434
10/26/2021,10430,6484,6506,6346,9833,6437
10/27/2021,10439,6491,6508,6350,9840,6442
10/28/2021,10452,6501,6515,6357,9850,6450
