date,pcr_tests_MARICOPA,pcr_pos_test_MARICOPA,pcr_positivity_MARICOPA
2021-12-27 00:00:00,288,27,0.09375
2021-12-26 00:00:00,3750,687,0.1832
2021-12-25 00:00:00,3339,737,0.2207247678945792
2021-12-24 00:00:00,12435,2105,0.1692802573381584
2021-12-23 00:00:00,22782,3491,0.1532350100956896
2021-12-22 00:00:00,24374,3490,0.1431853614507262
2021-12-21 00:00:00,24444,3015,0.1233431516936672
2021-12-20 00:00:00,24355,2939,0.1206733730240197
2021-12-19 00:00:00,12403,1504,0.1212609852455051
2021-12-18 00:00:00,12445,1521,0.1222177581357975
2021-12-17 00:00:00,19675,2132,0.1083608640406607
2021-12-16 00:00:00,22091,2283,0.1033452537232357
2021-12-15 00:00:00,19908,2339,0.117490456098051
2021-12-14 00:00:00,22992,2405,0.1046016005567154
2021-12-13 00:00:00,22814,2542,0.1114228105549224
2021-12-12 00:00:00,11576,1485,0.1282826537664133
2021-12-11 00:00:00,12783,1514,0.1184385512008136
2021-12-10 00:00:00,19424,2119,0.109091845140033
2021-12-09 00:00:00,20921,2144,0.1024807609578892
2021-12-08 00:00:00,20931,2508,0.1198222731833166
2021-12-07 00:00:00,23589,2432,0.1030989020306075
2021-12-06 00:00:00,24714,2899,0.1173019341264061
2021-12-05 00:00:00,12043,1580,0.1311965457112016
2021-12-04 00:00:00,12175,1764,0.1448870636550308
2021-12-03 00:00:00,22218,2545,0.1145467638851382
2021-12-02 00:00:00,21922,2542,0.1159565733053554
2021-12-01 00:00:00,22175,3061,0.1380383314543405
2021-11-30 00:00:00,23187,2746,0.118428429723552
2021-11-29 00:00:00,26135,3424,0.1310120528027549
2021-11-28 00:00:00,12857,2085,0.1621684685385393
2021-11-27 00:00:00,11297,1921,0.170045144728689
2021-11-26 00:00:00,15310,2139,0.1397126061397779
2021-11-25 00:00:00,5259,713,0.1355771059136718
2021-11-24 00:00:00,19244,2580,0.1340677613801704
2021-11-23 00:00:00,23999,2779,0.11579649152048
2021-11-22 00:00:00,23906,2967,0.1241111018154438
2021-11-21 00:00:00,12045,1744,0.1447903694479037
2021-11-20 00:00:00,13210,1794,0.1358062074186223
2021-11-19 00:00:00,22423,2671,0.1191187619854614
2021-11-18 00:00:00,22310,2658,0.1191393993724787
2021-11-17 00:00:00,23584,2988,0.126696065128901
2021-11-16 00:00:00,22968,2700,0.1175548589341693
2021-11-15 00:00:00,24044,2979,0.1238978539344535
2021-11-14 00:00:00,10685,1526,0.142817033224146
2021-11-13 00:00:00,11523,1601,0.1389395122797883
2021-11-12 00:00:00,21246,2478,0.1166337192883366
2021-11-11 00:00:00,17526,1972,0.1125185438776675
2021-11-10 00:00:00,21399,2371,0.1107995700733679
2021-11-09 00:00:00,25631,2764,0.1078381647224065
2021-11-08 00:00:00,26718,3040,0.113780971629613
2021-11-07 00:00:00,12086,1685,0.1394175078603343
2021-11-06 00:00:00,12701,1790,0.140933784741359
2021-11-05 00:00:00,21809,2435,0.1116511531936357
2021-11-04 00:00:00,23141,2456,0.1061319735534333
2021-11-03 00:00:00,22718,2520,0.1109252575050621
2021-11-02 00:00:00,24694,2562,0.1037498987608326
2021-11-01 00:00:00,23377,2503,0.1070710527441502
2021-10-31 00:00:00,10182,1296,0.1272834413671185
2021-10-30 00:00:00,12052,1438,0.1193162960504481
2021-10-29 00:00:00,20016,1999,0.0998701039168665
2021-10-28 00:00:00,22095,1858,0.0840914233989591
2021-10-27 00:00:00,19853,2026,0.1020500679997985
2021-10-26 00:00:00,21165,2025,0.0956768249468462
2021-10-25 00:00:00,23272,2244,0.0964248882777587
2021-10-24 00:00:00,10582,1179,0.1114156114156114
2021-10-23 00:00:00,11219,1240,0.1105267849184419
2021-10-22 00:00:00,18380,1753,0.0953754080522307
2021-10-21 00:00:00,19548,1688,0.0863515449150808
2021-10-20 00:00:00,18925,1680,0.088771466314399
2021-10-19 00:00:00,20294,1666,0.0820932295259683
2021-10-18 00:00:00,21502,1952,0.0907822528136918
2021-10-17 00:00:00,9181,1043,0.1136041825509204
2021-10-16 00:00:00,10048,1060,0.1054936305732484
2021-10-15 00:00:00,17879,1469,0.0821634319592818
2021-10-14 00:00:00,19603,1577,0.0804468703769831
2021-10-13 00:00:00,18712,1656,0.0884993587002993
2021-10-12 00:00:00,18987,1618,0.0852162005582767
2021-10-11 00:00:00,20595,1872,0.0908958485069192
2021-10-10 00:00:00,9983,1163,0.1164980466793549
2021-10-09 00:00:00,11549,1330,0.1151614858429301
2021-10-08 00:00:00,18434,1722,0.0934143430617338
2021-10-07 00:00:00,20816,1714,0.0823405073020753
2021-10-06 00:00:00,18795,1759,0.0935887204043629
2021-10-05 00:00:00,20769,1782,0.085800953343926
2021-10-04 00:00:00,22728,2070,0.0910770855332629
2021-10-03 00:00:00,10556,1272,0.1205001894657067
2021-10-02 00:00:00,12158,1386,0.1139990129955585
2021-10-01 00:00:00,20142,1873,0.0929897726144375
2021-09-30 00:00:00,23078,1912,0.0828494670248722
2021-09-29 00:00:00,22650,2124,0.0937748344370861
2021-09-28 00:00:00,23327,2155,0.0923822180306083
