Category,value
Apache,541
Cochise,464
Coconino,416
Gila,308
Graham,156
Greenlee,27
La Paz,107
Maricopa,"13,629"
Mohave,"1,172"
Navajo,743
Pima,"3,150"
Pinal,"1,301"
Santa Cruz,206
Yavapai,945
Yuma,979
Female,9986
Male,14145
20-44y,1319
45-54y,1885
55-64y,3814
65+,17074
<20y,52
"White, non-Hispanic",12494
Hispanic or Latino,6605
"American Indian or Alaska Native, non-Hispanic",1778
"Black or African American, non-Hispanic",739
"Asian or Pacific Islander, non-Hispanic",299
Other Race,671
Unknown,1558
