date,20-34_Pinal,35-44_Pinal,45-54_Pinal,55-64_Pinal,65+_Pinal,<20_Pinal
1/1/2021,626,989,951,758,543,6
1/10/2021,1162,1720,1747,1486,2306,14
1/11/2021,1210,1801,1834,1553,2486,19
1/12/2021,1298,1917,1957,1652,2768,19
1/13/2021,1408,2054,2106,1829,3176,22
1/14/2021,1507,2235,2266,1978,3700,23
1/15/2021,1627,2392,2446,2113,4081,24
1/16/2021,1685,2481,2547,2205,4698,27
1/17/2021,1704,2511,2591,2241,4753,27
1/18/2021,1768,2624,2663,2334,4975,28
1/19/2021,1840,2700,2746,2418,5482,31
1/2/2021,707,1107,1080,864,624,7
1/20/2021,1916,2826,2854,2541,6255,36
1/21/2021,2009,2958,3026,2709,7006,40
1/22/2021,2158,3125,3210,2901,7765,43
1/23/2021,2241,3291,3372,3058,8358,46
1/24/2021,2277,3324,3433,3089,8519,48
1/25/2021,2356,3397,3521,3214,9119,50
1/26/2021,2429,3481,3618,3331,9694,51
1/27/2021,2542,3608,3776,3521,10421,52
1/28/2021,2620,3721,3896,3672,11439,52
1/29/2021,2732,3844,4036,3855,12449,60
1/3/2021,735,1152,1126,888,647,7
1/30/2021,2802,3933,4172,4012,13239,63
1/31/2021,2838,3955,4204,4041,13393,65
1/4/2021,798,1251,1219,976,876,8
1/5/2021,892,1363,1308,1072,1110,9
1/6/2021,1005,1487,1440,1198,1377,11
1/7/2021,1068,1576,1553,1303,1712,13
1/8/2021,1120,1660,1686,1438,2148,14
1/9/2021,1152,1705,1731,1475,2285,14
10/1/2021,35785,29741,31470,36767,75914,17990
10/10/2021,36463,30163,31762,36964,76162,18341
10/11/2021,36565,30231,31810,36993,76201,18401
10/12/2021,36625,30262,31836,37009,76222,18422
10/13/2021,36704,30304,31868,37024,76243,18451
10/14/2021,36783,30353,31903,37057,76264,18474
10/15/2021,36887,30413,31947,37100,76298,18521
10/16/2021,36952,30446,31976,37117,76312,18547
10/17/2021,36991,30476,31995,37130,76321,18563
10/18/2021,37071,30532,32038,37161,76365,18585
10/19/2021,37134,30568,32067,37188,76390,18629
10/2/2021,35835,29780,31503,36795,75929,18031
10/20/2021,37189,30611,32106,37216,76426,18651
10/21/2021,37280,30653,32138,37245,76451,18684
10/22/2021,37377,30718,32187,37282,76502,18720
10/23/2021,37446,30774,32218,37299,76531,18747
10/24/2021,37475,30790,32234,37307,76556,18763
10/25/2021,37544,30840,32277,37332,76631,18782
10/26/2021,37630,30893,32329,37354,76693,18824
10/27/2021,37720,30950,32374,37396,76758,18857
10/28/2021,37840,31014,32417,37439,76838,18882
10/29/2021,37936,31066,32469,37483,76883,18913
10/3/2021,35884,29808,31518,36806,75936,18049
10/30/2021,37997,31106,32497,37498,76906,18928
