date,cases_PINAL
2021-04-13 00:00:00,1
2021-04-12 00:00:00,6
2021-04-11 00:00:00,30
2021-04-10 00:00:00,29
2021-04-09 00:00:00,36
2021-04-08 00:00:00,44
2021-04-07 00:00:00,42
2021-04-06 00:00:00,42
2021-04-05 00:00:00,48
2021-04-04 00:00:00,20
2021-04-03 00:00:00,30
2021-04-02 00:00:00,47
2021-04-01 00:00:00,38
2021-03-31 00:00:00,48
2021-03-30 00:00:00,46
2021-03-29 00:00:00,52
2021-03-28 00:00:00,27
2021-03-27 00:00:00,20
2021-03-26 00:00:00,59
2021-03-25 00:00:00,59
2021-03-24 00:00:00,40
2021-03-23 00:00:00,59
2021-03-22 00:00:00,54
2021-03-21 00:00:00,25
2021-03-20 00:00:00,29
2021-03-19 00:00:00,40
2021-03-18 00:00:00,52
2021-03-17 00:00:00,54
2021-03-16 00:00:00,60
2021-03-15 00:00:00,56
2021-03-14 00:00:00,28
2021-03-13 00:00:00,26
2021-03-12 00:00:00,47
2021-03-11 00:00:00,83
2021-03-10 00:00:00,62
2021-03-09 00:00:00,71
2021-03-08 00:00:00,89
2021-03-07 00:00:00,49
2021-03-06 00:00:00,42
2021-03-05 00:00:00,60
2021-03-04 00:00:00,73
2021-03-03 00:00:00,56
2021-03-02 00:00:00,95
2021-03-01 00:00:00,99
2021-02-28 00:00:00,62
2021-02-27 00:00:00,66
2021-02-26 00:00:00,78
2021-02-25 00:00:00,72
2021-02-24 00:00:00,89
2021-02-23 00:00:00,85
2021-02-22 00:00:00,125
2021-02-21 00:00:00,81
2021-02-20 00:00:00,78
2021-02-19 00:00:00,118
2021-02-18 00:00:00,110
2021-02-17 00:00:00,122
2021-02-16 00:00:00,174
2021-02-15 00:00:00,128
2021-02-14 00:00:00,45
2021-02-13 00:00:00,57
2021-02-12 00:00:00,98
2021-02-11 00:00:00,122
2021-02-10 00:00:00,137
2021-02-09 00:00:00,139
2021-02-08 00:00:00,150
2021-02-07 00:00:00,66
2021-02-06 00:00:00,92
2021-02-05 00:00:00,132
2021-02-04 00:00:00,141
2021-02-03 00:00:00,171
2021-02-02 00:00:00,192
2021-02-01 00:00:00,284
2021-01-31 00:00:00,151
2021-01-30 00:00:00,164
2021-01-29 00:00:00,233
2021-01-28 00:00:00,250
2021-01-27 00:00:00,288
2021-01-26 00:00:00,518
2021-01-25 00:00:00,319
2021-01-24 00:00:00,184
2021-01-23 00:00:00,271
2021-01-22 00:00:00,415
2021-01-21 00:00:00,516
2021-01-20 00:00:00,888
2021-01-19 00:00:00,602
2021-01-18 00:00:00,427
2021-01-17 00:00:00,228
2021-01-16 00:00:00,313
2021-01-15 00:00:00,473
2021-01-14 00:00:00,439
2021-01-13 00:00:00,425
2021-01-12 00:00:00,529
2021-01-11 00:00:00,598
2021-01-10 00:00:00,274
2021-01-09 00:00:00,350
2021-01-08 00:00:00,554
2021-01-07 00:00:00,673
2021-01-06 00:00:00,613
2021-01-05 00:00:00,669
2021-01-04 00:00:00,784
2021-01-03 00:00:00,368
2021-01-02 00:00:00,437
2021-01-01 00:00:00,334
2020-12-31 00:00:00,523
2020-12-30 00:00:00,758
2020-12-29 00:00:00,711
2020-12-28 00:00:00,700
2020-12-27 00:00:00,366
2020-12-26 00:00:00,299
2020-12-25 00:00:00,90
2020-12-24 00:00:00,274
2020-12-23 00:00:00,430
2020-12-22 00:00:00,656
2020-12-21 00:00:00,510
2020-12-20 00:00:00,193
2020-12-19 00:00:00,311
2020-12-18 00:00:00,489
2020-12-17 00:00:00,478
2020-12-16 00:00:00,467
2020-12-15 00:00:00,332
2020-12-14 00:00:00,444
2020-12-13 00:00:00,219
2020-12-12 00:00:00,268
2020-12-11 00:00:00,416
2020-12-10 00:00:00,437
2020-12-09 00:00:00,464
2020-12-08 00:00:00,570
2020-12-07 00:00:00,727
2020-12-06 00:00:00,149
2020-12-05 00:00:00,199
2020-12-04 00:00:00,448
2020-12-03 00:00:00,444
2020-12-02 00:00:00,427
2020-12-01 00:00:00,472
2020-11-30 00:00:00,397
2020-11-29 00:00:00,211
2020-11-28 00:00:00,204
2020-11-27 00:00:00,217
2020-11-26 00:00:00,80
2020-11-25 00:00:00,271
2020-11-24 00:00:00,290
2020-11-23 00:00:00,326
2020-11-22 00:00:00,141
2020-11-21 00:00:00,134
2020-11-20 00:00:00,288
2020-11-19 00:00:00,365
2020-11-18 00:00:00,240
2020-11-17 00:00:00,244
2020-11-16 00:00:00,216
