date,20-34_Santa Cruz,35-44_Santa Cruz,45-54_Santa Cruz,55-64_Santa Cruz,65+_Santa Cruz,<20_Santa Cruz
1/1/2021,110,97,59,68,66,3
1/1/2022,11587,7456,7347,7038,10696,14421
1/10/2021,266,213,164,162,200,6
1/10/2022,11766,7560,7481,7184,10777,14821
1/11/2021,282,233,189,181,216,6
1/11/2022,11804,7576,7512,7223,10802,14840
1/12/2021,302,248,212,209,261,6
1/12/2022,11822,7590,7524,7244,10812,14868
1/13/2021,312,258,219,220,431,6
1/13/2022,11846,7607,7534,7253,10818,14923
1/14/2021,323,271,229,232,594,6
1/14/2022,11855,7620,7542,7259,10820,14961
1/15/2021,339,285,240,241,760,6
1/16/2021,345,288,240,241,765,6
1/17/2021,346,289,240,243,769,6
1/18/2021,348,294,242,247,776,6
1/19/2021,353,304,244,252,820,6
1/2/2021,111,97,59,69,67,3
1/2/2022,11597,7459,7350,7043,10701,14433
1/20/2021,373,320,265,271,1150,8
1/21/2021,388,341,284,288,1466,8
1/22/2021,419,371,322,318,1885,9
1/23/2021,425,376,323,320,1893,9
1/24/2021,425,378,323,322,1895,9
1/25/2021,441,388,339,341,1921,9
1/26/2021,465,406,355,363,2220,10
1/27/2021,485,427,370,388,2288,11
1/28/2021,510,454,410,459,2584,11
1/29/2021,564,519,501,532,2754,12
1/3/2021,113,99,59,70,68,3
1/3/2022,11618,7471,7364,7061,10709,14493
1/30/2021,585,534,515,552,2765,12
1/31/2021,597,541,520,564,2775,12
1/4/2021,132,115,69,84,74,3
1/4/2022,11640,7480,7378,7077,10722,14538
1/5/2021,159,125,87,96,84,3
1/5/2022,11663,7499,7399,7100,10734,14587
1/6/2021,190,157,111,117,94,4
1/6/2022,11695,7518,7416,7113,10749,14646
1/7/2021,214,175,129,132,180,5
1/7/2022,11720,7527,7446,7138,10761,14712
1/8/2021,263,210,161,160,199,5
1/8/2022,11737,7535,7456,7153,10764,14757
1/9/2021,266,211,163,161,200,5
1/9/2022,11751,7546,7464,7162,10767,14803
10/1/2021,10337,6416,6461,6331,9892,6220
10/10/2021,10383,6446,6474,6350,9910,6293
10/11/2021,10387,6452,6482,6353,9914,6295
10/12/2021,10399,6454,6484,6354,9916,6326
10/13/2021,10408,6460,6488,6358,9917,6330
10/14/2021,10416,6468,6494,6363,9922,6341
10/15/2021,10435,6474,6501,6366,9925,6347
10/16/2021,10444,6475,6501,6366,9926,6355
10/17/2021,10449,6476,6501,6366,9926,6360
10/18/2021,10457,6482,6505,6369,9931,6364
10/19/2021,10477,6492,6512,6374,9936,6377
10/2/2021,10339,6417,6461,6333,9893,6222
10/20/2021,10480,6493,6515,6375,9937,6385
10/21/2021,10491,6495,6519,6377,9938,6390
10/22/2021,10501,6502,6522,6382,9942,6401
10/23/2021,10505,6507,6529,6384,9945,6409
10/24/2021,10506,6510,6531,6385,9946,6413
10/25/2021,10511,6516,6535,6385,9951,6418
10/26/2021,10523,6521,6540,6387,9958,6445
10/27/2021,10532,6527,6542,6390,9966,6474
10/28/2021,10545,6538,6550,6396,9975,6554
10/29/2021,10549,6543,6552,6398,9978,6785
10/3/2021,10343,6417,6461,6333,9895,6222
10/30/2021,10554,6547,6560,6408,9980,6787
10/31/2021,10554,6550,6562,6408,9980,6790
10/4/2021,10347,6419,6467,6334,9897,6226
10/5/2021,10359,6423,6469,6338,9905,6247
10/6/2021,10363,6430,6470,6340,9908,6251
10/7/2021,10373,6442,6473,6344,9909,6276
10/8/2021,10376,6446,6473,6345,9910,6287
10/9/2021,10381,6446,6474,6347,9910,6289
11/1/2021,10561,6558,6572,6410,9986,6797
11/10/2021,10708,6683,6683,6478,10065,9986
11/11/2021,10728,6706,6701,6489,10079,10049
11/12/2021,10747,6724,6713,6494,10097,10235
11/13/2021,10757,6731,6722,6498,10102,10306
11/14/2021,10765,6741,6736,6504,10106,10406
11/15/2021,10802,6781,6776,6524,10140,10532
11/16/2021,10838,6808,6797,6536,10155,10666
11/17/2021,10854,6831,6808,6550,10169,10914
11/18/2021,10877,6847,6816,6560,10176,11077
11/19/2021,10900,6870,6833,6572,10186,11182
11/2/2021,10578,6568,6584,6416,9996,6815
11/20/2021,10916,6882,6844,6581,10190,11235
11/21/2021,10932,6887,6855,6585,10194,11280
11/22/2021,10950,6894,6866,6597,10204,11329
11/23/2021,10967,6910,6877,6610,10230,11381
11/24/2021,10987,6931,6892,6624,10265,11445
11/25/2021,10992,6931,6892,6626,10273,11445
11/26/2021,11014,6947,6907,6651,10295,11514
11/27/2021,11036,6970,6916,6660,10297,11576
11/28/2021,11052,6981,6926,6664,10301,11618
11/29/2021,11069,6995,6936,6676,10318,11777
11/3/2021,10585,6575,6585,6421,10000,6881
11/30/2021,11108,7049,6992,6697,10344,12586
11/4/2021,10607,6597,6601,6434,10010,7530
11/5/2021,10630,6625,6625,6445,10019,8219
11/6/2021,10631,6626,6626,6445,10024,8236
11/7/2021,10637,6629,6630,6447,10025,8253
11/8/2021,10651,6642,6636,6454,10031,8849
11/9/2021,10680,6663,6658,6469,10057,9152
12/1/2020,,,1,,,
12/1/2021,11127,7070,7002,6711,10377,12658
12/10/2020,,1,1,,,
12/10/2021,11252,7185,7093,6827,10512,13397
12/11/2020,,1,1,,,
12/11/2021,11265,7193,7098,6837,10517,13426
12/12/2020,,1,1,,,
12/12/2021,11275,7201,7110,6846,10521,13451
12/13/2020,,1,1,,,
12/13/2021,11284,7214,7116,6856,10531,13495
12/14/2020,,1,1,,,
12/14/2021,11342,7265,7190,6877,10539,13716
12/15/2020,,1,1,,,
12/15/2021,11365,7280,7198,6887,10558,13762
12/16/2020,,1,1,,,
12/16/2021,11375,7298,7211,6897,10568,13803
12/17/2020,5,1,2,2,,
12/17/2021,11390,7310,7218,6904,10573,13838
12/18/2020,6,4,3,4,,
12/18/2021,11398,7319,7222,6909,10578,13876
12/19/2020,6,7,3,4,1,
12/19/2021,11407,7330,7228,6913,10584,13907
12/2/2020,,,1,,,
12/2/2021,11142,7086,7015,6740,10411,12723
12/20/2020,7,7,3,4,1,
12/20/2021,11419,7344,7235,6927,10594,13957
12/21/2020,8,8,3,4,2,
12/21/2021,11433,7353,7247,6937,10597,14008
12/22/2020,22,17,9,13,11,
12/22/2021,11453,7368,7253,6942,10612,14056
12/23/2020,29,25,11,18,14,
12/23/2021,11464,7373,7260,6950,10616,14085
12/24/2020,40,29,15,22,16,
12/24/2021,11472,7376,7265,6951,10620,14094
12/25/2020,40,29,15,22,16,
12/25/2021,11472,7376,7265,6951,10620,14094
12/26/2020,44,31,15,22,16,
12/26/2021,11478,7383,7271,6955,10621,14109
12/27/2020,44,31,15,22,16,
12/27/2021,11501,7401,7287,6980,10635,14161
12/28/2020,55,44,24,27,21,
12/28/2021,11537,7414,7308,7001,10659,14216
12/29/2020,77,65,34,35,22,
12/29/2021,11556,7436,7325,7018,10676,14321
12/3/2020,,1,1,,,
12/3/2021,11158,7107,7034,6752,10423,12821
12/30/2020,95,82,42,49,37,2
12/30/2021,11578,7449,7341,7031,10685,14402
12/31/2020,110,97,53,59,51,2
12/31/2021,11584,7454,7346,7037,10695,14416
12/4/2020,,1,1,,,
12/4/2021,11175,7122,7046,6765,10433,12844
12/5/2020,,1,1,,,
12/5/2021,11183,7130,7055,6776,10439,12883
12/6/2020,,1,1,,,
12/6/2021,11192,7137,7066,6787,10446,12906
12/7/2020,,1,1,,,
12/7/2021,11213,7147,7076,6800,10470,12996
