date,Santa Cruz_cume,Santa Cruz
2020-12-01,1,
2020-12-03,2,1
2020-12-17,10,8
2020-12-18,17,7
2020-12-19,21,4
2020-12-20,23,2
2020-12-21,26,3
2020-12-22,73,47
2020-12-23,99,26
2020-12-24,124,25
2020-12-26,130,6
2020-12-28,173,43
2020-12-29,235,62
2020-12-30,310,75
2020-12-31,375,65
2021-01-01,406,31
2021-01-02,409,3
2021-01-03,415,6
2021-01-04,483,68
2021-01-05,560,77
2021-01-06,681,121
2021-01-07,851,170
2021-01-08,1018,167
2021-01-09,1027,9
2021-01-10,1032,5
2021-01-11,1133,101
2021-01-12,1274,141
2021-01-13,1487,213
2021-01-14,1708,221
2021-01-15,1928,220
2021-01-16,1943,15
2021-01-17,1952,9
2021-01-18,1980,28
2021-01-19,2091,111
2021-01-20,2529,438
2021-01-21,2939,410
2021-01-22,3496,557
2021-01-23,3525,29
2021-01-24,3533,8
2021-01-25,3659,126
2021-01-26,4101,442
2021-01-27,4312,211
2021-01-28,4826,514
2021-01-29,5302,476
2021-01-30,5388,86
2021-01-31,5436,48
2021-02-01,5635,199
2021-02-02,6262,627
2021-02-03,6500,238
2021-02-04,7095,595
2021-02-05,7810,715
2021-02-06,7849,39
2021-02-07,7863,14
2021-02-08,8046,183
2021-02-09,8613,567
2021-02-10,9282,669
2021-02-11,9922,640
2021-02-12,10567,645
2021-02-13,11048,481
2021-02-14,11482,434
2021-02-15,11597,115
2021-02-16,11709,112
2021-02-17,11764,55
2021-02-18,11821,57
2021-02-19,11940,119
2021-02-20,11984,44
2021-02-21,12002,18
2021-02-22,12076,74
2021-02-23,12716,640
2021-02-24,13563,847
2021-02-25,14342,779
2021-02-26,15205,863
2021-02-27,15353,148
2021-02-28,15441,88
2021-03-01,15748,307
2021-03-02,16724,976
2021-03-03,17546,822
2021-03-04,18420,874
2021-03-05,19268,848
2021-03-06,19404,136
2021-03-07,19472,68
2021-03-08,19720,248
2021-03-09,20442,722
2021-03-10,21281,839
2021-03-11,22085,804
2021-03-12,22844,759
2021-03-13,23392,548
2021-03-14,23825,433
2021-03-15,24087,262
2021-03-16,24884,797
2021-03-17,25704,820
2021-03-18,26473,769
2021-03-19,27422,949
2021-03-20,27552,130
2021-03-21,27677,125
2021-03-22,27958,281
2021-03-23,28784,826
2021-03-24,29614,830
2021-03-25,30399,785
2021-03-26,31282,883
2021-03-27,31445,163
2021-03-28,31528,83
2021-03-29,31836,308
2021-03-30,32835,999
2021-03-31,33796,961
2021-04-01,34841,1045
2021-04-02,35660,819
2021-04-03,35791,131
2021-04-04,35863,72
2021-04-05,36566,703
2021-04-06,37417,851
2021-04-07,38342,925
2021-04-08,39258,916
2021-04-09,40130,872
2021-04-10,40774,644
2021-04-11,40854,80
2021-04-12,41314,460
2021-04-13,42231,917
2021-04-14,43210,979
2021-04-15,44169,959
2021-04-16,45240,1071
2021-04-17,45410,170
2021-04-18,45515,105
2021-04-19,45835,320
2021-04-20,46711,876
2021-04-21,47563,852
2021-04-22,48428,865
2021-04-23,49309,881
2021-04-24,49757,448
2021-04-25,49828,71
2021-04-26,50480,652
2021-04-27,51334,854
2021-04-28,52063,729
2021-04-29,52804,741
2021-04-30,53457,653
2021-05-01,53588,131
2021-05-02,53650,62
2021-05-03,54180,530
2021-05-04,54810,630
2021-05-05,55581,771
2021-05-06,56221,640
2021-05-07,56924,703
2021-05-08,57016,92
2021-05-09,57058,42
2021-05-10,57506,448
