Category,value
Apache,557
Cochise,486
Coconino,426
Gila,320
Graham,160
Greenlee,30
La Paz,112
Maricopa,"14,154"
Mohave,"1,235"
Navajo,775
Pima,"3,300"
Pinal,"1,381"
Santa Cruz,207
Yavapai,"1,011"
Yuma,"1,017"
Female,10419
Male,14739
20-44y,1386
45-54y,1979
55-64y,4007
65+,17744
<20y,55
"White, non-Hispanic",13192
Hispanic or Latino,6818
"American Indian or Alaska Native, non-Hispanic",1817
"Black or African American, non-Hispanic",768
"Asian or Pacific Islander, non-Hispanic",307
Other Race,695
Unknown,1574
