date,Graham_cume,Graham
2020-12-17,80,
2020-12-18,147,67
2020-12-20,148,1
2020-12-21,195,47
2020-12-22,241,46
2020-12-23,372,131
2020-12-24,433,61
2020-12-26,443,10
2020-12-27,446,3
2020-12-28,601,155
2020-12-29,754,153
2020-12-30,873,119
2020-12-31,959,86
2021-01-01,969,10
2021-01-02,972,3
2021-01-04,1114,142
2021-01-05,1229,115
2021-01-06,1351,122
2021-01-07,1593,242
2021-01-08,1863,270
2021-01-09,1865,2
2021-01-11,2002,137
2021-01-12,2169,167
2021-01-13,2380,211
2021-01-14,2676,296
2021-01-15,3289,613
2021-01-16,3348,59
2021-01-17,3351,3
2021-01-18,3500,149
2021-01-19,3795,295
2021-01-20,4083,288
2021-01-21,4344,261
2021-01-22,4626,282
2021-01-23,4870,244
2021-01-24,4873,3
2021-01-25,5055,182
2021-01-26,5231,176
2021-01-27,5516,285
2021-01-28,5817,301
2021-01-29,6227,410
2021-01-30,6328,101
2021-01-31,6329,1
2021-02-01,6517,188
2021-02-02,6720,203
2021-02-03,6990,270
2021-02-04,7266,276
2021-02-05,7615,349
2021-02-06,7881,266
2021-02-07,7882,1
2021-02-08,8096,214
2021-02-09,8311,215
2021-02-10,8581,270
2021-02-11,8987,406
2021-02-12,9722,735
2021-02-13,9946,224
2021-02-14,9947,1
2021-02-15,10122,175
2021-02-16,10330,208
2021-02-17,10563,233
2021-02-18,10974,411
2021-02-19,11332,358
2021-02-20,11661,329
2021-02-21,11662,1
2021-02-22,11820,158
2021-02-23,12059,239
2021-02-24,12397,338
2021-02-25,12744,347
2021-02-26,13063,319
2021-02-27,13101,38
2021-02-28,13114,13
2021-03-01,13332,218
2021-03-02,13599,267
2021-03-03,13932,333
2021-03-04,14210,278
2021-03-05,14425,215
2021-03-06,14693,268
2021-03-07,14696,3
2021-03-08,14875,179
2021-03-09,15122,247
2021-03-10,15470,348
2021-03-11,15799,329
2021-03-12,16244,445
2021-03-13,16513,269
2021-03-14,16516,3
2021-03-15,16777,261
2021-03-16,16968,191
2021-03-17,17270,302
2021-03-18,17534,264
2021-03-19,17732,198
2021-03-20,17752,20
2021-03-21,17757,5
2021-03-22,17953,196
2021-03-23,18221,268
2021-03-24,18534,313
2021-03-25,18805,271
2021-03-26,19059,254
2021-03-27,19180,121
2021-03-28,19184,4
2021-03-29,19418,234
2021-03-30,19621,203
2021-03-31,19986,365
2021-04-01,20299,313
2021-04-02,20422,123
2021-04-03,20443,21
2021-04-04,20453,10
2021-04-05,20621,168
2021-04-06,20859,238
2021-04-07,21248,389
2021-04-08,21582,334
2021-04-09,21728,146
2021-04-10,21868,140
2021-04-11,21876,8
2021-04-12,21989,113
2021-04-13,22150,161
2021-04-14,22416,266
2021-04-15,22586,170
2021-04-16,22773,187
2021-04-17,22801,28
2021-04-18,22804,3
2021-04-19,22918,114
2021-04-20,23123,205
2021-04-21,23376,253
2021-04-22,23617,241
2021-04-23,23801,184
2021-04-24,23914,113
2021-04-25,23919,5
2021-04-26,24083,164
2021-04-27,24250,167
2021-04-28,24451,201
2021-04-29,24691,240
2021-04-30,24764,73
2021-05-01,24792,28
2021-05-02,24797,5
2021-05-03,24868,71
2021-05-04,24997,129
2021-05-05,25229,232
2021-05-06,25441,212
2021-05-07,25518,77
2021-05-08,25569,51
2021-05-09,25570,1
2021-05-10,25614,44
2021-05-11,25691,77
2021-05-12,25854,163
2021-05-13,26010,156
2021-05-14,26130,120
2021-05-15,26152,22
2021-05-16,26158,6
2021-05-17,26249,91
2021-05-18,26339,90
2021-05-19,26499,160
2021-05-20,26648,149
2021-05-21,26758,110
2021-05-22,26821,63
2021-05-23,26825,4
2021-05-24,26892,67
2021-05-25,26975,83
2021-05-26,27040,65
2021-05-27,27133,93
2021-05-28,27220,87
2021-05-29,27229,9
2021-05-30,27233,4
2021-05-31,27241,8
2021-06-01,27324,83
2021-06-02,27406,82
2021-06-03,27479,73
2021-06-04,27570,91
2021-06-05,27587,17
2021-06-06,27597,10
2021-06-07,27633,36
2021-06-08,27688,55
2021-06-09,27723,35
2021-06-10,27857,134
2021-06-11,27900,43
2021-06-12,27935,35
2021-06-13,27938,3
2021-06-14,28017,79
2021-06-15,28072,55
2021-06-16,28119,47
2021-06-17,28180,61
2021-06-18,28255,75
2021-06-19,28273,18
2021-06-20,28280,7
2021-06-21,28322,42
2021-06-22,28368,46
2021-06-23,28400,32
2021-06-24,28447,47
2021-06-25,28513,66
2021-06-26,28527,14
2021-06-27,28529,2
2021-06-28,28588,59
2021-06-29,28638,50
2021-06-30,28712,74
2021-07-01,28761,49
2021-07-02,28803,42
2021-07-03,28826,23
2021-07-05,28854,28
2021-07-06,28889,35
2021-07-07,28946,57
2021-07-08,29024,78
2021-07-09,29081,57
2021-07-10,29106,25
2021-07-11,29112,6
2021-07-12,29158,46
2021-07-13,29203,45
2021-07-14,29263,60
2021-07-15,29325,62
2021-07-16,29387,62
2021-07-17,29403,16
2021-07-18,29411,8
2021-07-19,29481,70
2021-07-20,29551,70
2021-07-21,29628,77
2021-07-22,29733,105
2021-07-23,29849,116
2021-07-24,29894,45
2021-07-25,29900,6
2021-07-26,30029,129
2021-07-27,30130,101
2021-07-28,30217,87
2021-07-29,30315,98
2021-07-30,30413,98
2021-07-31,30453,40
2021-08-01,30466,13
2021-08-02,30540,74
2021-08-03,30598,58
2021-08-04,30735,137
2021-08-05,30838,103
2021-08-06,30945,107
2021-08-07,30971,26
2021-08-08,30982,11
2021-08-09,31076,94
2021-08-10,31138,62
2021-08-11,31238,100
2021-08-12,31385,147
2021-08-13,31544,159
2021-08-14,31567,23
2021-08-15,31578,11
2021-08-16,31685,107
2021-08-17,31818,133
2021-08-18,31941,123
2021-08-19,32121,180
2021-08-20,32340,219
2021-08-21,32536,196
2021-08-22,32551,15
2021-08-23,32740,189
2021-08-24,32885,145
2021-08-25,33070,185
2021-08-26,33281,211
2021-08-27,33526,245
2021-08-28,33570,44
2021-08-29,33633,63
2021-08-30,33806,173
2021-08-31,33912,106
2021-09-01,34019,107
2021-09-02,34152,133
2021-09-03,34314,162
2021-09-04,34348,34
2021-09-05,34357,9
2021-09-06,34371,14
2021-09-07,34448,77
2021-09-08,34556,108
2021-09-09,34694,138
2021-09-10,34854,160
2021-09-11,34918,64
2021-09-12,34937,19
2021-09-13,35034,97
2021-09-14,35139,105
2021-09-15,35223,84
2021-09-16,35341,118
2021-09-17,35483,142
2021-09-18,35552,69
2021-09-19,35558,6
2021-09-20,35641,83
2021-09-21,35700,59
2021-09-22,35801,101
2021-09-23,35948,147
2021-09-24,36051,103
2021-09-25,36077,26
2021-09-26,36082,5
2021-09-27,36140,58
2021-09-28,36196,56
2021-09-29,36280,84
2021-09-30,36395,115
2021-10-01,36476,81
2021-10-02,36497,21
2021-10-03,36505,8
2021-10-04,36554,49
2021-10-05,36613,59
2021-10-06,36663,50
2021-10-07,36754,91
2021-10-08,36824,70
2021-10-09,36854,30
2021-10-10,36866,12
2021-10-11,36924,58
2021-10-12,36986,62
2021-10-13,37051,65
2021-10-14,37129,78
2021-10-15,37199,70
2021-10-16,37238,39
2021-10-17,37244,6
2021-10-18,37285,41
2021-10-19,37321,36
2021-10-20,37368,47
2021-10-21,37451,83
2021-10-22,37526,75
2021-10-23,37568,42
2021-10-24,37580,12
2021-10-25,37650,70
2021-10-26,37723,73
2021-10-27,37794,71
2021-10-28,37965,171
2021-10-29,38075,110
2021-10-30,38202,127
2021-10-31,38214,12
2021-11-01,38338,124
2021-11-02,38414,76
2021-11-03,38541,127
2021-11-04,38710,169
2021-11-05,38870,160
2021-11-06,38896,26
2021-11-07,38911,15
2021-11-08,39043,132
2021-11-09,39157,114
2021-11-10,39245,88
2021-11-11,39351,106
2021-11-12,39485,134
2021-11-13,39586,101
2021-11-14,39593,7
2021-11-15,39723,130
2021-11-16,39801,78
2021-11-17,39895,94
2021-11-18,40147,252
2021-11-19,40336,189
2021-11-20,40374,38
2021-11-21,40402,28
2021-11-22,40583,181
2021-11-23,40666,83
2021-11-24,40756,90
2021-11-26,40812,56
2021-11-27,40836,24
2021-11-28,40845,9
2021-11-29,40991,146
2021-11-30,41176,185
2021-12-01,41358,182
2021-12-02,41584,226
2021-12-03,41863,279
2021-12-04,41971,108
2021-12-05,41986,15
2021-12-06,42149,163
2021-12-07,42256,107
2021-12-08,42329,73
2021-12-09,42531,202
2021-12-10,42715,184
2021-12-11,42741,26
2021-12-12,42760,19
2021-12-13,42885,125
2021-12-14,42928,43
