date,20-34_Yavapai,35-44_Yavapai,45-54_Yavapai,55-64_Yavapai,65+_Yavapai,<20_Yavapai
1/1/2021,313,409,436,645,434,6
1/10/2021,567,696,801,1118,968,10
1/11/2021,576,704,810,1134,996,11
1/12/2021,595,728,840,1181,1086,11
1/13/2021,639,776,927,1275,1276,12
1/14/2021,672,821,982,1347,1392,14
1/15/2021,687,832,994,1367,1441,14
1/16/2021,708,864,1038,1413,1588,16
1/17/2021,710,866,1041,1418,1604,17
1/18/2021,717,869,1054,1438,1754,18
1/19/2021,751,922,1107,1514,1907,19
1/2/2021,333,442,459,677,445,6
1/20/2021,793,971,1172,1608,2186,19
1/21/2021,917,1127,1348,1848,2876,19
1/22/2021,1052,1261,1524,2099,3812,21
1/23/2021,1092,1317,1578,2206,4951,24
1/24/2021,1108,1334,1600,2282,6145,25
1/25/2021,1131,1358,1632,2360,6790,25
1/26/2021,1142,1369,1662,2404,7149,25
1/27/2021,1214,1423,1735,2587,8405,26
1/28/2021,1262,1495,1842,2788,9792,33
1/29/2021,1340,1554,1938,2961,11026,38
1/3/2021,333,444,459,678,447,6
1/30/2021,1388,1579,1997,3047,11660,39
1/31/2021,1426,1605,2047,3132,12362,41
1/4/2021,342,448,469,690,453,6
1/5/2021,349,456,484,709,475,6
1/6/2021,357,463,495,734,512,7
1/7/2021,440,562,637,871,711,8
1/8/2021,533,666,763,1077,921,10
1/9/2021,566,695,800,1118,965,10
10/1/2021,10916,7940,10395,19641,54398,4528
10/10/2021,11060,8010,10472,19719,54522,4571
10/11/2021,11076,8021,10475,19733,54552,4577
10/12/2021,11086,8024,10482,19740,54563,4587
10/13/2021,11101,8029,10489,19750,54575,4601
10/14/2021,11118,8042,10499,19767,54599,4604
10/15/2021,11138,8049,10507,19779,54619,4611
10/16/2021,11149,8054,10512,19785,54627,4621
10/17/2021,11163,8062,10521,19790,54633,4625
10/18/2021,11179,8069,10526,19798,54648,4630
10/19/2021,11199,8078,10531,19808,54659,4639
10/2/2021,10935,7946,10403,19649,54411,4534
10/20/2021,11216,8084,10536,19817,54686,4641
10/21/2021,11238,8093,10546,19833,54700,4647
10/22/2021,11255,8101,10559,19853,54745,4653
10/23/2021,11256,8103,10570,19862,54785,4655
10/24/2021,11260,8108,10574,19866,54804,4659
10/25/2021,11275,8115,10583,19879,54882,4664
10/26/2021,11281,8125,10592,19893,54970,4668
10/27/2021,11297,8129,10603,19909,55055,4671
10/28/2021,11321,8138,10612,19929,55142,4676
10/29/2021,11339,8150,10625,19937,55226,4682
10/3/2021,10943,7947,10404,19651,54414,4537
10/30/2021,11352,8152,10628,19943,55244,4683
10/31/2021,11356,8157,10629,19947,55261,4684
10/4/2021,10961,7956,10421,19663,54430,4540
10/5/2021,10982,7965,10430,19678,54456,4544
10/6/2021,10999,7976,10438,19686,54476,4546
10/7/2021,11013,7989,10447,19695,54488,4548
10/8/2021,11033,7998,10460,19710,54511,4566
10/9/2021,11048,8007,10468,19715,54518,4570
11/1/2021,11369,8167,10637,19963,55331,4690
11/10/2021,11525,8260,10741,20134,55905,4972
11/11/2021,11548,8270,10753,20169,55977,5046
11/12/2021,11570,8294,10768,20203,56081,5109
11/13/2021,11579,8309,10774,20214,56110,5119
11/14/2021,11589,8314,10784,20223,56136,5125
11/15/2021,11608,8328,10795,20249,56201,5151
11/16/2021,11627,8342,10809,20269,56279,5237
11/17/2021,11646,8356,10819,20293,56365,5327
11/18/2021,11673,8373,10837,20322,56474,5370
11/19/2021,11700,8392,10853,20354,56544,5387
11/2/2021,11388,8176,10648,19979,55383,4695
11/20/2021,11712,8401,10863,20373,56582,5403
11/21/2021,11722,8404,10874,20384,56613,5408
11/22/2021,11744,8417,10888,20420,56682,5456
11/23/2021,11765,8433,10914,20443,56753,5535
11/24/2021,11790,8443,10931,20471,56802,5562
11/25/2021,11790,8443,10931,20471,56802,5562
11/26/2021,11805,8458,10941,20481,56825,5575
11/27/2021,11819,8467,10952,20494,56856,5591
11/28/2021,11830,8476,10961,20507,56876,5598
11/29/2021,11836,8487,10974,20536,56940,5621
11/3/2021,11400,8188,10662,19998,55438,4702
11/30/2021,11853,8499,10989,20565,56984,5655
11/4/2021,11418,8197,10671,20015,55507,4727
11/5/2021,11437,8208,10686,20044,55594,4774
11/6/2021,11449,8217,10700,20060,55640,4787
11/7/2021,11460,8227,10704,20066,55665,4796
11/8/2021,11474,8239,10718,20098,55745,4843
11/9/2021,11506,8250,10728,20115,55839,4920
12/1/2020,,,,,1,
12/1/2021,11881,8516,11006,20596,57062,5677
12/10/2020,1,,,,1,
12/10/2021,12047,8625,11154,20873,57517,5909
12/11/2020,1,,,,1,
12/11/2021,12056,8632,11164,20882,57533,5921
12/12/2020,1,,,,2,
12/12/2021,12068,8638,11170,20887,57557,5925
12/13/2020,1,,,,2,
12/13/2021,12092,8650,11183,20913,57589,5951
12/14/2020,1,,,,2,
12/14/2021,12097,8653,11186,20918,57599,5972
12/15/2020,1,,,,2,
12/16/2020,1,1,1,1,2,
12/17/2020,1,1,2,1,5,
12/18/2020,1,1,2,1,5,
12/19/2020,2,1,2,1,7,
12/2/2020,,,,,1,
12/2/2021,11908,8535,11031,20640,57134,5715
12/20/2020,2,1,2,4,7,
12/21/2020,2,3,2,5,7,
12/22/2020,34,72,102,120,57,
12/23/2020,109,163,181,268,105,1
12/24/2020,119,174,188,282,112,2
12/25/2020,123,177,192,284,115,2
12/26/2020,128,183,199,299,120,2
12/27/2020,131,186,201,304,121,2
12/28/2020,147,191,209,326,147,2
12/29/2020,184,236,266,398,238,4
12/3/2020,,,,,1,
12/3/2021,11938,8551,11054,20685,57201,5748
12/30/2020,288,389,405,593,393,6
12/31/2020,310,407,434,640,419,6
12/4/2020,,,,,1,
12/4/2021,11950,8560,11068,20701,57223,5759
12/5/2020,,,,,1,
12/5/2021,11959,8563,11073,20710,57242,5766
12/6/2020,1,,,,1,
12/6/2021,11970,8573,11093,20750,57300,5786
12/7/2020,1,,,,1,
12/7/2021,11988,8588,11101,20776,57356,5813
12/8/2020,1,,,,1,
12/8/2021,12008,8600,11114,20808,57402,5843
12/9/2020,1,,,,1,
12/9/2021,12023,8611,11129,20846,57464,5875
2/1/2021,1481,1657,2110,3277,13875,46
2/10/2021,1806,1963,2505,4185,24763,57
2/11/2021,1844,2003,2556,4291,25962,58
2/12/2021,1885,2042,2611,4398,27130,60
2/13/2021,1930,2078,2654,4505,27983,64
2/14/2021,1963,2102,2692,4577,28763,65
2/15/2021,1986,2115,2718,4640,29343,65
2/16/2021,2020,2149,2753,4725,30273,67
2/17/2021,2038,2171,2769,4765,30662,67
2/18/2021,2044,2177,2776,4772,30810,67
2/19/2021,2056,2183,2801,4781,30904,67
2/2/2021,1547,1718,2181,3423,15449,48
2/20/2021,2060,2185,2805,4790,30958,67
2/21/2021,2067,2185,2807,4793,31007,68
2/22/2021,2072,2186,2820,4807,31061,68
2/23/2021,2106,2209,2855,4881,31541,70
2/24/2021,2170,2278,2929,5058,32767,71
2/25/2021,2230,2323,2991,5176,33439,71
2/26/2021,2266,2362,3029,5278,33798,72
2/27/2021,2279,2372,3041,5302,33979,73
2/28/2021,2285,2375,3049,5323,34057,73
2/3/2021,1588,1755,2240,3568,17135,49
2/4/2021,1620,1791,2293,3635,18217,51
2/5/2021,1663,1831,2328,3710,19153,52
2/6/2021,1702,1858,2370,3797,20005,53
2/7/2021,1724,1874,2393,3860,20868,53
2/8/2021,1745,1900,2423,3952,22065,54
2/9/2021,1767,1924,2458,4045,23283,55
