Category,value
Apache,529
Cochise,433
Coconino,401
Gila,292
Graham,144
Greenlee,23
La Paz,105
Maricopa,"13,251"
Mohave,"1,113"
Navajo,713
Pima,"3,022"
Pinal,"1,253"
Santa Cruz,202
Yavapai,895
Yuma,948
Female,9643
Male,13668
20-44y,1256
45-54y,1808
55-64y,3656
65+,16554
<20y,50
"White, non-Hispanic",12069
Hispanic or Latino,6413
"American Indian or Alaska Native, non-Hispanic",1747
"Black or African American, non-Hispanic",713
"Asian or Pacific Islander, non-Hispanic",288
Other Race,647
Unknown,1447
