date,pcr_tests,pcr_positivity,ser_tests,ser_positivity,pcr_tests_APACHE,pcr_positivity_APACHE,ser_tests_APACHE,ser_positivity_APACHE,pcr_tests_YUMA,pcr_positivity_YUMA,ser_tests_YUMA,ser_positivity_YUMA,pcr_tests_YAVAPAI,pcr_positivity_YAVAPAI,ser_tests_YAVAPAI,ser_positivity_YAVAPAI,pcr_tests_SANTA_CRUZ,pcr_positivity_SANTA_CRUZ,ser_tests_SANTA_CRUZ,ser_positivity_SANTA_CRUZ,pcr_tests_PINAL,pcr_positivity_PINAL,ser_tests_PINAL,ser_positivity_PINAL,pcr_tests_PIMA,pcr_positivity_PIMA,ser_tests_PIMA,ser_positivity_PIMA,pcr_tests_NAVAJO,pcr_positivity_NAVAJO,ser_tests_NAVAJO,ser_positivity_NAVAJO,pcr_tests_MOHAVE,pcr_positivity_MOHAVE,ser_tests_MOHAVE,ser_positivity_MOHAVE,pcr_tests_MARICOPA,pcr_positivity_MARICOPA,ser_tests_MARICOPA,ser_positivity_MARICOPA,pcr_tests_LA_PAZ,pcr_positivity_LA_PAZ,ser_tests_LA_PAZ,ser_positivity_LA_PAZ,pcr_tests_GREENLEE,pcr_positivity_GREENLEE,ser_tests_GREENLEE,ser_positivity_GREENLEE,pcr_tests_GRAHAM,pcr_positivity_GRAHAM,ser_tests_GRAHAM,ser_positivity_GRAHAM,pcr_tests_GILA,pcr_positivity_GILA,ser_tests_GILA,ser_positivity_GILA,pcr_tests_COCONINO,pcr_positivity_COCONINO,ser_tests_COCONINO,ser_positivity_COCONINO,pcr_tests_COCHISE,pcr_positivity_COCHISE,ser_tests_COCHISE,ser_positivity_COCHISE
2020-08-06 00:00:00,11,0.0,3.0,0.3333333333333333,,,,,2.0,0.0,1.0,1.0,,,,,,,,,,,,,1.0,0.0,,,,,,,1.0,0.0,,,7.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-05 00:00:00,1920,0.0729166666666667,246.0,0.2398373983739838,21.0,0.0,,,112.0,0.1517857142857143,5.0,1.0,46.0,0.1521739130434783,5.0,0.2,24.0,0.0833333333333333,,,92.0,0.0652173913043478,18.0,0.2222222222222222,183.0,0.0710382513661202,,,21.0,0.0476190476190476,,,14.0,0.0,1.0,0.0,1318.0,0.0652503793626707,210.0,0.2285714285714286,2.0,0.0,,,,,,,10.0,0.2,,,42.0,0.0952380952380952,2.0,0.5,10.0,0.0,,,8.0,0.0,,
2020-08-04 00:00:00,6473,0.0826510118955662,1515.0,0.1452145214521452,66.0,0.0303030303030303,3.0,0.0,251.0,0.1235059760956175,28.0,0.3214285714285715,128.0,0.0703125,21.0,0.1428571428571429,46.0,0.0652173913043478,5.0,0.2,391.0,0.0716112531969309,124.0,0.0645161290322581,1209.0,0.0595533498759305,131.0,0.0992366412213741,73.0,0.0684931506849315,7.0,0.1428571428571429,69.0,0.1159420289855073,37.0,0.1351351351351352,3612.0,0.0924695459579181,1107.0,0.1589882565492322,7.0,0.0,,,5.0,0.2,,,26.0,0.1538461538461539,1.0,0.0,70.0,0.2142857142857143,16.0,0.0,83.0,0.036144578313253004,8.0,0.0,92.0,0.0760869565217391,11.0,0.1818181818181818
2020-08-03 00:00:00,9496,0.0920387531592249,1659.0,0.1500904159132007,112.0,0.0625,3.0,0.3333333333333333,453.0,0.141280353200883,23.0,0.3478260869565218,182.0,0.0879120879120879,50.0,0.04,39.0,0.1025641025641026,4.0,0.5,437.0,0.1052631578947368,116.0,0.0775862068965517,1914.0,0.0783699059561129,162.0,0.0864197530864198,151.0,0.119205298013245,4.0,0.25,101.0,0.1089108910891089,29.0,0.2068965517241379,5071.0,0.0995858804969434,1218.0,0.1642036124794746,10.0,0.0,2.0,0.0,4.0,0.25,,,38.0,0.1052631578947368,1.0,0.0,121.0,0.0247933884297521,11.0,0.0,145.0,0.0896551724137931,8.0,0.25,124.0,0.032258064516129,13.0,0.1538461538461539
2020-08-02 00:00:00,4392,0.0908469945355191,411.0,0.0948905109489051,11.0,0.1818181818181818,1.0,0.0,61.0,0.0983606557377049,3.0,0.0,80.0,0.0875,3.0,0.6666666666666666,15.0,0.2,3.0,0.0,282.0,0.0851063829787234,52.0,0.0384615384615385,461.0,0.0672451193058568,50.0,0.06,24.0,0.25,1.0,0.0,38.0,0.1315789473684211,,,3104.0,0.0934278350515464,280.0,0.1035714285714286,2.0,0.0,1.0,0.0,8.0,0.0,,,14.0,0.5714285714285714,,,24.0,0.1666666666666667,7.0,0.0,34.0,0.0294117647058824,,,26.0,0.0,3.0,0.0
2020-08-01 00:00:00,6376,0.0834378920953576,553.0,0.1175406871609403,19.0,0.1578947368421053,1.0,0.0,52.0,0.1730769230769231,2.0,0.0,275.0,0.0327272727272727,3.0,0.3333333333333333,269.0,0.0223048327137546,2.0,1.0,281.0,0.0889679715302491,61.0,0.0655737704918033,1034.0,0.086073500967118,90.0,0.0333333333333333,36.0,0.1666666666666667,1.0,0.0,55.0,0.0909090909090909,,,4077.0,0.0897718910963944,369.0,0.1463414634146342,5.0,0.0,1.0,0.0,2.0,0.0,,,9.0,0.3333333333333333,,,40.0,0.1,15.0,0.0,27.0,0.0,,,33.0,0.0303030303030303,5.0,0.2
2020-07-31 00:00:00,9153,0.0847809461378783,1615.0,0.1609907120743034,256.0,0.05859375,1.0,1.0,388.0,0.1056701030927835,35.0,0.2571428571428571,259.0,0.0772200772200772,39.0,0.1025641025641026,210.0,0.0190476190476191,5.0,0.0,419.0,0.081145584725537,139.0,0.158273381294964,1552.0,0.08634020618556701,179.0,0.1731843575418995,149.0,0.0939597315436242,5.0,0.2,106.0,0.1320754716981132,23.0,0.2173913043478261,5057.0,0.0903697844571881,1136.0,0.1584507042253521,6.0,0.3333333333333333,2.0,1.0,7.0,0.0,,,18.0,0.1111111111111111,1.0,0.0,135.0,0.037037037037037,16.0,0.0,123.0,0.0731707317073171,14.0,0.2142857142857143,145.0,0.0689655172413793,10.0,0.1
2020-07-30 00:00:00,7285,0.1083047357584077,1516.0,0.1800791556728232,99.0,0.0505050505050505,2.0,1.0,404.0,0.1831683168316832,29.0,0.3103448275862069,294.0,0.0680272108843538,71.0,0.028169014084507005,43.0,0.1395348837209302,5.0,0.4,348.0,0.1522988505747127,85.0,0.1294117647058824,892.0,0.0975336322869955,154.0,0.0909090909090909,292.0,0.0342465753424658,5.0,0.2,162.0,0.0864197530864198,22.0,0.3181818181818182,4005.0,0.117103620474407,1098.0,0.1958105646630237,10.0,0.1,2.0,0.5,5.0,0.2,1.0,0.0,26.0,0.0769230769230769,1.0,0.0,95.0,0.1473684210526316,9.0,0.3333333333333333,196.0,0.0612244897959184,8.0,0.0,124.0,0.0725806451612903,15.0,0.2666666666666667
2020-07-29 00:00:00,7486,0.1040609137055838,1561.0,0.1620755925688661,107.0,0.0373831775700935,2.0,0.0,345.0,0.1768115942028986,33.0,0.484848484848485,279.0,0.1003584229390681,85.0,0.0470588235294118,36.0,0.1111111111111111,7.0,0.4285714285714286,389.0,0.0874035989717224,99.0,0.1313131313131313,941.0,0.0828905419766206,109.0,0.1559633027522936,125.0,0.08800000000000001,1.0,0.0,110.0,0.0636363636363636,28.0,0.1071428571428571,4439.0,0.1148907411579185,1137.0,0.1671064204045734,9.0,0.2222222222222222,2.0,0.5,12.0,0.0,3.0,0.0,31.0,0.0967741935483871,1.0,0.0,93.0,0.1397849462365591,10.0,0.0,160.0,0.0625,14.0,0.1428571428571429,137.0,0.0364963503649635,21.0,0.1904761904761905
2020-07-28 00:00:00,7790,0.1188703465982028,2011.0,0.1486822476379911,102.0,0.0980392156862745,1.0,1.0,510.0,0.1980392156862745,38.0,0.2631578947368421,232.0,0.0387931034482759,40.0,0.05,35.0,0.0857142857142857,5.0,0.2,473.0,0.1226215644820296,111.0,0.1171171171171171,954.0,0.1048218029350105,193.0,0.150259067357513,126.0,0.0396825396825397,4.0,0.25,90.0,0.2,35.0,0.0571428571428571,4661.0,0.1231495387255954,1515.0,0.1531353135313531,7.0,0.1428571428571429,1.0,1.0,15.0,0.0,3.0,0.0,27.0,0.1851851851851852,4.0,0.75,112.0,0.2410714285714286,14.0,0.0,113.0,0.0353982300884956,11.0,0.0909090909090909,118.0,0.0508474576271187,25.0,0.08
