date,Navajo_cume,Navajo
2020-12-01,2,
2020-12-02,3,1
2020-12-06,4,1
2020-12-07,5,1
2020-12-10,7,2
2020-12-13,8,1
2020-12-14,10,2
2020-12-15,26,16
2020-12-16,73,47
2020-12-17,172,99
2020-12-18,264,92
2020-12-19,266,2
2020-12-20,269,3
2020-12-21,282,13
2020-12-22,368,86
2020-12-23,567,199
2020-12-24,675,108
2020-12-25,679,4
2020-12-26,681,2
2020-12-27,682,1
2020-12-28,1029,347
2020-12-29,1419,390
2020-12-30,1815,396
2020-12-31,2192,377
2021-01-01,2292,100
2021-01-02,2295,3
2021-01-03,2299,4
2021-01-04,2578,279
2021-01-05,3050,472
2021-01-06,3592,542
2021-01-07,4364,772
2021-01-08,4804,440
2021-01-09,4816,12
2021-01-10,4818,2
2021-01-11,5303,485
2021-01-12,5808,505
2021-01-13,6226,418
2021-01-14,6727,501
2021-01-15,7265,538
2021-01-16,7283,18
2021-01-17,7293,10
2021-01-18,7473,180
2021-01-19,7987,514
2021-01-20,8624,637
2021-01-21,9446,822
2021-01-22,9957,511
2021-01-23,10196,239
2021-01-24,10217,21
2021-01-25,10864,647
2021-01-26,11473,609
2021-01-27,12332,859
2021-01-28,13551,1219
2021-01-29,14334,783
2021-01-30,14472,138
2021-01-31,14495,23
2021-02-01,15323,828
2021-02-02,16178,855
2021-02-03,17396,1218
2021-02-04,18474,1078
2021-02-05,19250,776
2021-02-06,20287,1037
2021-02-07,20300,13
2021-02-08,21083,783
2021-02-09,21956,873
2021-02-10,22955,999
2021-02-11,24130,1175
2021-02-12,25116,986
2021-02-13,25756,640
2021-02-14,25816,60
2021-02-15,26033,217
2021-02-16,26989,956
2021-02-17,28119,1130
2021-02-18,28989,870
2021-02-19,29606,617
2021-02-20,29749,143
2021-02-21,29801,52
2021-02-22,30330,529
2021-02-23,31037,707
2021-02-24,31714,677
2021-02-25,32695,981
2021-02-26,33521,826
2021-02-27,34206,685
2021-02-28,34242,36
2021-03-01,34927,685
2021-03-02,35547,620
2021-03-03,36381,834
2021-03-04,37142,761
2021-03-05,37660,518
2021-03-06,38402,742
2021-03-07,38444,42
2021-03-08,38929,485
2021-03-09,39477,548
2021-03-10,40563,1086
2021-03-11,41676,1113
2021-03-12,42441,765
2021-03-13,43061,620
2021-03-14,43130,69
2021-03-15,43746,616
2021-03-16,44365,619
2021-03-17,45138,773
2021-03-18,46114,976
2021-03-19,46635,521
2021-03-20,46804,169
2021-03-21,46871,67
2021-03-22,47359,488
2021-03-23,48112,753
2021-03-24,48943,831
2021-03-25,49843,900
2021-03-26,50446,603
2021-03-27,50616,170
2021-03-28,50676,60
2021-03-29,51160,484
2021-03-30,51611,451
2021-03-31,52431,820
2021-04-01,52914,483
2021-04-02,53327,413
2021-04-03,53538,211
2021-04-04,53573,35
2021-04-05,53947,374
2021-04-06,54397,450
2021-04-07,54836,439
2021-04-08,55551,715
2021-04-09,55964,413
2021-04-10,56172,208
2021-04-11,56241,69
2021-04-12,56810,569
2021-04-13,57202,392
2021-04-14,57690,488
2021-04-15,58232,542
2021-04-16,58629,397
2021-04-17,58736,107
2021-04-18,58787,51
2021-04-19,59194,407
2021-04-20,59524,330
2021-04-21,59890,366
2021-04-22,60249,359
2021-04-23,60569,320
2021-04-24,60720,151
2021-04-25,60753,33
2021-04-26,61020,267
2021-04-27,61315,295
2021-04-28,61643,328
2021-04-29,62022,379
2021-04-30,62275,253
2021-05-01,62360,85
2021-05-02,62379,19
2021-05-03,62559,180
2021-05-04,62829,270
2021-05-05,63026,197
2021-05-06,63364,338
2021-05-07,63532,168
2021-05-08,63598,66
2021-05-09,63615,17
2021-05-10,63814,199
2021-05-11,64008,194
2021-05-12,64225,217
2021-05-13,64565,340
2021-05-14,65059,494
2021-05-15,65128,69
2021-05-16,65173,45
2021-05-17,65506,333
2021-05-18,65852,346
2021-05-19,66274,422
2021-05-20,66692,418
2021-05-21,66974,282
2021-05-22,67258,284
2021-05-23,67307,49
2021-05-24,67531,224
2021-05-25,67812,281
2021-05-26,68030,218
2021-05-27,68261,231
2021-05-28,68419,158
2021-05-29,68454,35
2021-05-30,68476,22
2021-05-31,68508,32
2021-06-01,68736,228
2021-06-02,68891,155
2021-06-03,69129,238
2021-06-04,69462,333
2021-06-05,69502,40
2021-06-06,69542,40
2021-06-07,69778,236
2021-06-08,69976,198
2021-06-09,70348,372
2021-06-10,70659,311
2021-06-11,70904,245
2021-06-12,71099,195
2021-06-13,71117,18
2021-06-14,71353,236
2021-06-15,71625,272
2021-06-16,71841,216
2021-06-17,72004,163
2021-06-18,72154,150
2021-06-19,72191,37
2021-06-20,72228,37
2021-06-21,72361,133
2021-06-22,72590,229
2021-06-23,72735,145
2021-06-24,72890,155
2021-06-25,73020,130
2021-06-26,73057,37
2021-06-27,73077,20
2021-06-28,73219,142
2021-06-29,73387,168
2021-06-30,73576,189
2021-07-01,73727,151
2021-07-02,73860,133
2021-07-03,73878,18
2021-07-04,73885,7
2021-07-05,73933,48
2021-07-06,74096,163
2021-07-07,74237,141
2021-07-08,74356,119
2021-07-09,74503,147
2021-07-10,74522,19
2021-07-11,74535,13
2021-07-12,74706,171
2021-07-13,74843,137
2021-07-14,75036,193
2021-07-15,75151,115
2021-07-16,75307,156
2021-07-17,75353,46
2021-07-18,75377,24
2021-07-19,75591,214
2021-07-20,75781,190
2021-07-21,75960,179
2021-07-22,76139,179
2021-07-23,76288,149
2021-07-24,76341,53
2021-07-25,76360,19
2021-07-26,76516,156
2021-07-27,76682,166
2021-07-28,76859,177
2021-07-29,77032,173
2021-07-30,77167,135
2021-07-31,77208,41
2021-08-01,77244,36
2021-08-02,77449,205
2021-08-03,77642,193
2021-08-04,77824,182
2021-08-05,77974,150
2021-08-06,78209,235
2021-08-07,78261,52
2021-08-08,78293,32
2021-08-09,78486,193
2021-08-10,78680,194
2021-08-11,78894,214
2021-08-12,79098,204
2021-08-13,79378,280
2021-08-14,79453,75
2021-08-15,79484,31
2021-08-16,79733,249
2021-08-17,79966,233
2021-08-18,80162,196
2021-08-19,80346,184
2021-08-20,80593,247
2021-08-21,80641,48
2021-08-22,80682,41
2021-08-23,80867,185
2021-08-24,81060,193
2021-08-25,81250,190
2021-08-26,81429,179
2021-08-27,81699,270
2021-08-28,81776,77
2021-08-29,81852,76
2021-08-30,81999,147
2021-08-31,82140,141
2021-09-01,82303,163
2021-09-02,82445,142
2021-09-03,82651,206
2021-09-04,82695,44
2021-09-05,82718,23
2021-09-06,82734,16
2021-09-07,82941,207
2021-09-08,83096,155
2021-09-09,83257,161
2021-09-10,83454,197
2021-09-11,83509,55
2021-09-12,83525,16
2021-09-13,83736,211
2021-09-14,83900,164
2021-09-15,84025,125
2021-09-16,84159,134
2021-09-17,84327,168
2021-09-18,84366,39
2021-09-19,84393,27
2021-09-20,84510,117
2021-09-21,84610,100
2021-09-22,84748,138
2021-09-23,84872,124
2021-09-24,85031,159
2021-09-25,85098,67
2021-09-26,85126,28
2021-09-27,85275,149
2021-09-28,85500,225
2021-09-29,85688,188
2021-09-30,85953,265
2021-10-01,86153,200
2021-10-02,86251,98
2021-10-03,86260,9
2021-10-04,86379,119
2021-10-05,86587,208
2021-10-06,86765,178
2021-10-07,87000,235
2021-10-08,87175,175
2021-10-09,87203,28
2021-10-10,87215,12
2021-10-11,87319,104
2021-10-12,87462,143
2021-10-13,87664,202
2021-10-14,87864,200
2021-10-15,88031,167
2021-10-16,88093,62
2021-10-17,88115,22
2021-10-18,88237,122
2021-10-19,88408,171
2021-10-20,88633,225
2021-10-21,88802,169
2021-10-22,89052,250
2021-10-23,89164,112
2021-10-24,89213,49
2021-10-25,89551,338
2021-10-26,89935,384
2021-10-27,90462,527
2021-10-28,91154,692
2021-10-29,91645,491
2021-10-30,91811,166
2021-10-31,91867,56
2021-11-01,92251,384
2021-11-02,92665,414
2021-11-03,92997,332
2021-11-04,93555,558
2021-11-05,94058,503
2021-11-06,94411,353
2021-11-07,94488,77
2021-11-08,94902,414
2021-11-09,95508,606
2021-11-10,96474,966
2021-11-11,96720,246
2021-11-12,97229,509
2021-11-13,97361,132
2021-11-14,97420,59
2021-11-15,97892,472
2021-11-16,98380,488
2021-11-17,98830,450
2021-11-18,99273,443
2021-11-19,99741,468
2021-11-20,100054,313
2021-11-21,100108,54
2021-11-22,100589,481
2021-11-23,101016,427
2021-11-24,101296,280
2021-11-26,101592,296
2021-11-27,101690,98
2021-11-28,101753,63
2021-11-29,102242,489
2021-11-30,102895,653
2021-12-01,103761,866
2021-12-02,104170,409
2021-12-03,104756,586
2021-12-04,105288,532
2021-12-05,105354,66
2021-12-06,105733,379
2021-12-07,106043,310
2021-12-08,106375,332
2021-12-09,106739,364
2021-12-10,107092,353
2021-12-11,107360,268
2021-12-12,107421,61
2021-12-13,107806,385
2021-12-14,108174,368
2021-12-15,108433,259
2021-12-16,108726,293
2021-12-17,109069,343
2021-12-18,109228,159
2021-12-19,109289,61
2021-12-20,109577,288
2021-12-21,109880,303
2021-12-22,110346,466
2021-12-23,110638,292
2021-12-24,110676,38
2021-12-25,110677,1
2021-12-26,110717,40
2021-12-27,111042,325
2021-12-28,111343,301
2021-12-29,111654,311
2021-12-30,111983,329
2021-12-31,112037,54
2022-01-01,112045,8
2022-01-02,112067,22
2022-01-03,112332,265
2022-01-04,112604,272
2022-01-05,112862,258
2022-01-06,113090,228
2022-01-07,113377,287
2022-01-08,113544,167
2022-01-09,113583,39
2022-01-10,113779,196
2022-01-11,114015,236
2022-01-12,114358,343
2022-01-13,114624,266
2022-01-14,115032,408
2022-01-15,115099,67
2022-01-16,115130,31
2022-01-17,115194,64
2022-01-18,115360,166
2022-01-19,115600,240
2022-01-20,115829,229
2022-01-21,116110,281
2022-01-22,116153,43
2022-01-23,116199,46
2022-01-24,116376,177
2022-01-25,116613,237
2022-01-26,116793,180
2022-01-27,116981,188
2022-01-28,117157,176
2022-01-29,117194,37
2022-01-30,117209,15
2022-01-31,117382,173
2022-02-01,117479,97
2022-02-02,117567,88
2022-02-03,117739,172
2022-02-04,117883,144
2022-02-05,117914,31
2022-02-06,117929,15
2022-02-07,118021,92
