Category,value
Apache,575
Cochise,522
Coconino,445
Gila,346
Graham,166
Greenlee,30
La Paz,124
Maricopa,"15,100"
Mohave,"1,321"
Navajo,825
Pima,"3,529"
Pinal,"1,480"
Santa Cruz,215
Yavapai,"1,098"
Yuma,"1,080"
Female,11107
Male,15734
20-44y,1487
45-54y,2139
55-64y,4272
65+,18899
<20y,59
"White, non-Hispanic",14187
Hispanic or Latino,7199
"American Indian or Alaska Native, non-Hispanic",1883
"Black or African American, non-Hispanic",826
"Asian or Pacific Islander, non-Hispanic",319
Other Race,735
Unknown,1707
