,Age groups aggregated-[federated.0szwy780qoq0z219gndil05kam3w].[Age Group1 (group)]-alias,AGG(total([Total number of people (LOD) (First RECIP) ]))-alias,AGG(WINDOW_MAX([Total Population Denom]))-alias
0,<20,325400,1842004
1,20-34,730199,1480898
2,35-44,509550,881451
3,45-54,537251,851820
4,55-64,631497,868629
5,65+,1125816,1264218
