date,cases_PIMA
2021-03-17 00:00:00,2
2021-03-16 00:00:00,30
2021-03-15 00:00:00,76
2021-03-14 00:00:00,34
2021-03-13 00:00:00,53
2021-03-12 00:00:00,84
2021-03-11 00:00:00,81
2021-03-10 00:00:00,103
2021-03-09 00:00:00,89
2021-03-08 00:00:00,101
2021-03-07 00:00:00,53
2021-03-06 00:00:00,54
2021-03-05 00:00:00,90
2021-03-04 00:00:00,105
2021-03-03 00:00:00,103
2021-03-02 00:00:00,115
2021-03-01 00:00:00,141
2021-02-28 00:00:00,61
2021-02-27 00:00:00,75
2021-02-26 00:00:00,105
2021-02-25 00:00:00,125
2021-02-24 00:00:00,134
2021-02-23 00:00:00,122
2021-02-22 00:00:00,162
2021-02-21 00:00:00,90
2021-02-20 00:00:00,105
2021-02-19 00:00:00,153
2021-02-18 00:00:00,182
2021-02-17 00:00:00,199
2021-02-16 00:00:00,202
2021-02-15 00:00:00,214
2021-02-14 00:00:00,90
2021-02-13 00:00:00,162
2021-02-12 00:00:00,261
2021-02-11 00:00:00,225
2021-02-10 00:00:00,323
2021-02-09 00:00:00,296
2021-02-08 00:00:00,335
2021-02-07 00:00:00,153
2021-02-06 00:00:00,185
2021-02-05 00:00:00,354
2021-02-04 00:00:00,357
2021-02-03 00:00:00,328
2021-02-02 00:00:00,527
2021-02-01 00:00:00,563
2021-01-31 00:00:00,230
2021-01-30 00:00:00,345
2021-01-29 00:00:00,496
2021-01-28 00:00:00,611
2021-01-27 00:00:00,653
2021-01-26 00:00:00,609
2021-01-25 00:00:00,837
2021-01-24 00:00:00,335
2021-01-23 00:00:00,463
2021-01-22 00:00:00,870
2021-01-21 00:00:00,896
2021-01-20 00:00:00,920
2021-01-19 00:00:00,1005
2021-01-18 00:00:00,646
2021-01-17 00:00:00,602
2021-01-16 00:00:00,711
2021-01-15 00:00:00,972
2021-01-14 00:00:00,946
2021-01-13 00:00:00,1102
2021-01-12 00:00:00,1210
2021-01-11 00:00:00,1450
2021-01-10 00:00:00,778
2021-01-09 00:00:00,842
2021-01-08 00:00:00,1284
2021-01-07 00:00:00,1300
2021-01-06 00:00:00,1457
2021-01-05 00:00:00,1679
2021-01-04 00:00:00,1749
2021-01-03 00:00:00,883
2021-01-02 00:00:00,946
2021-01-01 00:00:00,298
2020-12-31 00:00:00,1246
2020-12-30 00:00:00,1449
2020-12-29 00:00:00,1465
2020-12-28 00:00:00,1628
2020-12-27 00:00:00,831
2020-12-26 00:00:00,844
2020-12-25 00:00:00,158
2020-12-24 00:00:00,622
2020-12-23 00:00:00,1023
2020-12-22 00:00:00,1319
2020-12-21 00:00:00,1430
2020-12-20 00:00:00,566
2020-12-19 00:00:00,1086
2020-12-18 00:00:00,1283
2020-12-17 00:00:00,1371
2020-12-16 00:00:00,1347
2020-12-15 00:00:00,1218
2020-12-14 00:00:00,1440
2020-12-13 00:00:00,595
2020-12-12 00:00:00,768
2020-12-11 00:00:00,1325
2020-12-10 00:00:00,1292
2020-12-09 00:00:00,1256
2020-12-08 00:00:00,1136
2020-12-07 00:00:00,1247
2020-12-06 00:00:00,543
2020-12-05 00:00:00,715
2020-12-04 00:00:00,1075
2020-12-03 00:00:00,1061
2020-12-02 00:00:00,1009
2020-12-01 00:00:00,1083
2020-11-30 00:00:00,1115
2020-11-29 00:00:00,447
2020-11-28 00:00:00,495
2020-11-27 00:00:00,495
2020-11-26 00:00:00,146
2020-11-25 00:00:00,680
2020-11-24 00:00:00,721
2020-11-23 00:00:00,969
2020-11-22 00:00:00,271
2020-11-21 00:00:00,408
2020-11-20 00:00:00,575
2020-11-19 00:00:00,770
2020-11-18 00:00:00,671
2020-11-17 00:00:00,597
2020-11-16 00:00:00,628
2020-11-15 00:00:00,244
2020-11-14 00:00:00,344
2020-11-13 00:00:00,396
2020-11-12 00:00:00,409
2020-11-11 00:00:00,317
