Category,Apache
Total_doses_administered,20617
Total_people_one_dose,11829
Total_people_complete,9734
Total_doses_ordered,16600
total_pouluation,71808
Male-65 years and older,1656
Male-55-64 years,866
Male-45-54 years,527
Male-20-44 years,967
Male-Less than 20 years,1766
Female-65 years and older,1698
Female-55-64 years,962
Female-45-54 years,588
Female-20-44 years,916
Female-Less than 20 years,1878
"Asian or Pacific Islander, non-Hispanic",0.0118353199763294
"Black or African American, non-Hispanic",0.0159776819680446
Unknown,0.0760841998478316
Other Race,0.0774368078451264
Hispanic or Latino,0.1032208977935582
"White, non-Hispanic",0.240256995519486
"American Indian or Alaska Native, non-Hispanic",0.4751880970496238
