Category,value
tests,4530601
Yuma,136529
Yavapai,108912
Santa Cruz,29692
Pinal,278533
Pima,672155
Navajo,57492
Mohave,100560
Maricopa,2704122
La Paz,7306
Greenlee,2008
Graham,12077
Gila,28642
Coconino,92881
Cochise,57243
Apache,28633
Unknown,10646
65 years and older,728753
55 - 64 years,556070
45 - 54 years,583042
20 - 44 years,1823058
Less than 20 years,829032
positive,0.1286559995020528
