date,Pima_cume,Pima
2020-12-01 00:00:00,11,
2020-12-02 00:00:00,12,1
2020-12-03 00:00:00,15,3
2020-12-04 00:00:00,16,1
2020-12-05 00:00:00,17,1
2020-12-09 00:00:00,20,3
2020-12-10 00:00:00,21,1
2020-12-11 00:00:00,24,3
2020-12-12 00:00:00,25,1
2020-12-13 00:00:00,26,1
2020-12-14 00:00:00,30,4
2020-12-15 00:00:00,47,17
2020-12-16 00:00:00,51,4
2020-12-17 00:00:00,1284,1233
2020-12-18 00:00:00,2689,1405
2020-12-19 00:00:00,3428,739
2020-12-20 00:00:00,3432,4
2020-12-21 00:00:00,4955,1523
2020-12-22 00:00:00,6459,1504
2020-12-23 00:00:00,8305,1846
2020-12-24 00:00:00,9341,1036
2020-12-25 00:00:00,9342,1
2020-12-26 00:00:00,10131,789
2020-12-27 00:00:00,10296,165
2020-12-28 00:00:00,12143,1847
2020-12-29 00:00:00,14221,2078
2020-12-30 00:00:00,16474,2253
2020-12-31 00:00:00,18132,1658
2021-01-01 00:00:00,18300,168
2021-01-02 00:00:00,18913,613
2021-01-03 00:00:00,19347,434
2021-01-04 00:00:00,21152,1805
2021-01-05 00:00:00,22887,1735
2021-01-06 00:00:00,25041,2154
2021-01-07 00:00:00,27286,2245
2021-01-08 00:00:00,29936,2650
2021-01-09 00:00:00,31455,1519
2021-01-10 00:00:00,31857,402
2021-01-11 00:00:00,34632,2775
2021-01-12 00:00:00,37358,2726
2021-01-13 00:00:00,39825,2467
2021-01-14 00:00:00,42245,2420
2021-01-15 00:00:00,46279,4034
2021-01-16 00:00:00,47677,1398
2021-01-17 00:00:00,48179,502
2021-01-18 00:00:00,52132,3953
2021-01-19 00:00:00,56218,4086
2021-01-20 00:00:00,60905,4687
2021-01-21 00:00:00,66218,5313
2021-01-22 00:00:00,72748,6530
2021-01-23 00:00:00,75301,2553
2021-01-24 00:00:00,76300,999
2021-01-25 00:00:00,83604,7304
2021-01-26 00:00:00,90593,6989
2021-01-27 00:00:00,98131,7538
2021-01-28 00:00:00,105042,6911
2021-01-29 00:00:00,112312,7270
2021-01-30 00:00:00,116119,3807
2021-01-31 00:00:00,117623,1504
2021-02-01 00:00:00,122995,5372
2021-02-02 00:00:00,129278,6283
2021-02-03 00:00:00,136233,6955
2021-02-04 00:00:00,143466,7233
2021-02-05 00:00:00,152208,8742
2021-02-06 00:00:00,156558,4350
2021-02-07 00:00:00,157644,1086
2021-02-08 00:00:00,164473,6829
2021-02-09 00:00:00,170646,6173
2021-02-10 00:00:00,178114,7468
2021-02-11 00:00:00,185827,7713
2021-02-12 00:00:00,194575,8748
2021-02-13 00:00:00,198853,4278
2021-02-14 00:00:00,199769,916
2021-02-15 00:00:00,205859,6090
2021-02-16 00:00:00,212712,6853
2021-02-17 00:00:00,220229,7517
2021-02-18 00:00:00,227421,7192
2021-02-19 00:00:00,231703,4282
2021-02-20 00:00:00,233775,2072
2021-02-21 00:00:00,234416,641
2021-02-22 00:00:00,238174,3758
2021-02-23 00:00:00,242680,4506
2021-02-24 00:00:00,249055,6375
2021-02-25 00:00:00,257226,8171
2021-02-26 00:00:00,267331,10105
2021-02-27 00:00:00,271685,4354
2021-02-28 00:00:00,273774,2089
2021-03-01 00:00:00,280604,6830
2021-03-02 00:00:00,287206,6602
2021-03-03 00:00:00,295305,8099
2021-03-04 00:00:00,301554,6249
2021-03-05 00:00:00,309383,7829
2021-03-06 00:00:00,314058,4675
2021-03-07 00:00:00,316319,2261
2021-03-08 00:00:00,324200,7881
2021-03-09 00:00:00,332093,7893
2021-03-10 00:00:00,341897,9804
2021-03-11 00:00:00,351413,9516
2021-03-12 00:00:00,361772,10359
2021-03-13 00:00:00,366898,5126
2021-03-14 00:00:00,368647,1749
2021-03-15 00:00:00,375266,6619
2021-03-16 00:00:00,382839,7573
2021-03-17 00:00:00,391608,8769
2021-03-18 00:00:00,400103,8495
2021-03-19 00:00:00,409104,9001
2021-03-20 00:00:00,413433,4329
2021-03-21 00:00:00,416946,3513
2021-03-22 00:00:00,423348,6402
2021-03-23 00:00:00,430561,7213
2021-03-24 00:00:00,439286,8725
2021-03-25 00:00:00,449288,10002
2021-03-26 00:00:00,459534,10246
2021-03-27 00:00:00,465150,5616
2021-03-28 00:00:00,468057,2907
2021-03-29 00:00:00,474750,6693
2021-03-30 00:00:00,483065,8315
2021-03-31 00:00:00,492631,9566
2021-04-01 00:00:00,499968,7337
2021-04-02 00:00:00,508605,8637
2021-04-03 00:00:00,513614,5009
2021-04-04 00:00:00,515393,1779
2021-04-05 00:00:00,523258,7865
2021-04-06 00:00:00,531940,8682
2021-04-07 00:00:00,542725,10785
2021-04-08 00:00:00,553184,10459
2021-04-09 00:00:00,564319,11135
2021-04-10 00:00:00,569891,5572
2021-04-11 00:00:00,571817,1926
2021-04-12 00:00:00,580174,8357
2021-04-13 00:00:00,587374,7200
2021-04-14 00:00:00,595617,8243
2021-04-15 00:00:00,604192,8575
2021-04-16 00:00:00,613202,9010
2021-04-17 00:00:00,616747,3545
2021-04-18 00:00:00,619223,2476
2021-04-19 00:00:00,625500,6277
2021-04-20 00:00:00,632056,6556
2021-04-21 00:00:00,639379,7323
2021-04-22 00:00:00,646741,7362
2021-04-23 00:00:00,654847,8106
2021-04-24 00:00:00,659641,4794
2021-04-25 00:00:00,661184,1543
2021-04-26 00:00:00,668521,7337
2021-04-27 00:00:00,675652,7131
2021-04-28 00:00:00,682628,6976
2021-04-29 00:00:00,689352,6724
2021-04-30 00:00:00,695311,5959
2021-05-01 00:00:00,697235,1924
2021-05-02 00:00:00,698424,1189
2021-05-03 00:00:00,704004,5580
2021-05-04 00:00:00,709200,5196
2021-05-05 00:00:00,715084,5884
2021-05-06 00:00:00,720055,4971
2021-05-07 00:00:00,725282,5227
2021-05-08 00:00:00,727531,2249
2021-05-09 00:00:00,728500,969
2021-05-10 00:00:00,732249,3749
2021-05-11 00:00:00,735275,3026
2021-05-12 00:00:00,738789,3514
2021-05-13 00:00:00,743213,4424
2021-05-14 00:00:00,748473,5260
2021-05-15 00:00:00,751593,3120
2021-05-16 00:00:00,753332,1739
2021-05-17 00:00:00,757444,4112
2021-05-18 00:00:00,760622,3178
2021-05-19 00:00:00,763828,3206
2021-05-20 00:00:00,766844,3016
2021-05-21 00:00:00,771278,4434
2021-05-22 00:00:00,773974,2696
2021-05-23 00:00:00,775537,1563
2021-05-24 00:00:00,778347,2810
2021-05-25 00:00:00,781301,2954
2021-05-26 00:00:00,784079,2778
2021-05-27 00:00:00,786575,2496
2021-05-28 00:00:00,789876,3301
2021-05-29 00:00:00,791659,1783
2021-05-30 00:00:00,792554,895
2021-05-31 00:00:00,793220,666
2021-06-01 00:00:00,795929,2709
2021-06-02 00:00:00,798301,2372
2021-06-03 00:00:00,800849,2548
2021-06-04 00:00:00,804130,3281
2021-06-05 00:00:00,806750,2620
2021-06-06 00:00:00,808383,1633
2021-06-07 00:00:00,811043,2660
2021-06-08 00:00:00,813320,2277
2021-06-09 00:00:00,815565,2245
2021-06-10 00:00:00,817734,2169
2021-06-11 00:00:00,820356,2622
2021-06-12 00:00:00,822063,1707
2021-06-13 00:00:00,822595,532
2021-06-14 00:00:00,824382,1787
2021-06-15 00:00:00,824980,598
