date,ED_covid,ICU_covid,inpatient_beds_covid,ventilators_covid,deaths,hospitalizations,icu_covid,icu_non_covid,icu_empty,inpatient_covid,inpatient_non_covid,inpatient_empty,vents_in_use,vents_available
2021-06-15,769.0,120.0,554.0,58.0,,,120.0,1349.0,259.0,554.0,7024.0,1050.0,541.0,1822.0
2021-06-14,787.0,120.0,509.0,66.0,2.0,24.0,120.0,1318.0,290.0,509.0,7019.0,1099.0,527.0,1842.0
2021-06-13,796.0,128.0,520.0,69.0,,20.0,128.0,1350.0,256.0,520.0,6938.0,1169.0,527.0,1841.0
2021-06-12,825.0,131.0,512.0,63.0,2.0,23.0,131.0,1353.0,251.0,512.0,7165.0,969.0,520.0,1849.0
2021-06-11,908.0,126.0,529.0,61.0,,27.0,126.0,1358.0,250.0,529.0,7195.0,929.0,495.0,1855.0
2021-06-10,907.0,144.0,525.0,62.0,,43.0,144.0,1346.0,244.0,525.0,7190.0,940.0,508.0,1848.0
2021-06-09,879.0,143.0,559.0,64.0,,20.0,143.0,1343.0,246.0,559.0,7167.0,928.0,516.0,1851.0
2021-06-08,865.0,148.0,600.0,60.0,4.0,32.0,148.0,1306.0,273.0,600.0,6946.0,972.0,506.0,1869.0
2021-06-07,796.0,130.0,602.0,60.0,1.0,28.0,130.0,1327.0,270.0,602.0,6820.0,1083.0,510.0,1866.0
2021-06-06,823.0,141.0,560.0,55.0,4.0,25.0,141.0,1343.0,248.0,560.0,6901.0,1034.0,515.0,1837.0
2021-06-05,896.0,140.0,552.0,58.0,2.0,28.0,140.0,1363.0,234.0,552.0,7035.0,996.0,525.0,1828.0
2021-06-04,859.0,145.0,566.0,58.0,1.0,36.0,145.0,1367.0,227.0,566.0,7077.0,945.0,528.0,1814.0
2021-06-03,887.0,158.0,590.0,62.0,7.0,45.0,158.0,1349.0,238.0,590.0,7062.0,947.0,572.0,1812.0
2021-06-02,887.0,167.0,532.0,62.0,3.0,41.0,167.0,1285.0,287.0,532.0,7110.0,956.0,535.0,1817.0
2021-06-01,858.0,153.0,544.0,68.0,11.0,39.0,153.0,1272.0,317.0,544.0,6906.0,1145.0,547.0,1806.0
2021-05-31,801.0,150.0,549.0,71.0,4.0,41.0,150.0,1308.0,288.0,549.0,6860.0,1187.0,543.0,1813.0
2021-05-30,855.0,150.0,553.0,68.0,8.0,40.0,150.0,1307.0,281.0,553.0,6907.0,1123.0,543.0,1794.0
2021-05-29,865.0,158.0,545.0,68.0,11.0,31.0,158.0,1312.0,268.0,545.0,7005.0,1039.0,546.0,1809.0
2021-05-28,855.0,171.0,555.0,68.0,5.0,42.0,171.0,1311.0,257.0,555.0,7090.0,955.0,533.0,1816.0
2021-05-27,876.0,170.0,576.0,73.0,8.0,39.0,170.0,1313.0,263.0,576.0,7088.0,935.0,540.0,1818.0
2021-05-26,927.0,154.0,545.0,68.0,5.0,51.0,154.0,1331.0,261.0,545.0,7145.0,909.0,537.0,1837.0
2021-05-25,1006.0,151.0,545.0,64.0,4.0,56.0,151.0,1327.0,268.0,545.0,7082.0,970.0,498.0,1823.0
2021-05-24,815.0,144.0,551.0,57.0,4.0,51.0,144.0,1296.0,301.0,551.0,6942.0,1102.0,500.0,1830.0
2021-05-23,788.0,144.0,529.0,56.0,7.0,43.0,144.0,1305.0,299.0,529.0,6934.0,1132.0,504.0,1989.0
2021-05-22,863.0,137.0,535.0,57.0,6.0,37.0,137.0,1339.0,268.0,535.0,7006.0,1046.0,507.0,1991.0
2021-05-21,950.0,160.0,573.0,64.0,8.0,41.0,160.0,1332.0,255.0,573.0,6999.0,1029.0,522.0,1846.0
2021-05-20,928.0,167.0,581.0,68.0,6.0,44.0,167.0,1310.0,269.0,581.0,7022.0,1004.0,522.0,1858.0
2021-05-19,935.0,174.0,591.0,70.0,12.0,49.0,174.0,1311.0,253.0,591.0,7041.0,996.0,517.0,1833.0
2021-05-18,900.0,176.0,607.0,73.0,9.0,52.0,176.0,1299.0,261.0,607.0,6950.0,1071.0,530.0,1828.0
2021-05-17,806.0,193.0,578.0,78.0,9.0,46.0,193.0,1264.0,276.0,578.0,6819.0,1223.0,524.0,1844.0
2021-05-16,869.0,199.0,594.0,82.0,13.0,46.0,199.0,1255.0,280.0,594.0,6869.0,1122.0,511.0,1857.0
2021-05-15,945.0,189.0,596.0,79.0,6.0,36.0,189.0,1277.0,272.0,596.0,6930.0,1069.0,512.0,1847.0
2021-05-14,891.0,188.0,595.0,81.0,6.0,48.0,188.0,1286.0,268.0,595.0,7052.0,956.0,519.0,1846.0
2021-05-13,927.0,193.0,594.0,82.0,9.0,52.0,193.0,1291.0,259.0,594.0,7034.0,977.0,526.0,1839.0
2021-05-12,1283.0,198.0,585.0,86.0,11.0,36.0,198.0,1297.0,248.0,585.0,7021.0,999.0,549.0,1830.0
2021-05-11,1001.0,190.0,599.0,81.0,11.0,56.0,190.0,1301.0,252.0,599.0,6994.0,1014.0,540.0,1823.0
2021-05-10,824.0,185.0,577.0,86.0,10.0,58.0,185.0,1273.0,280.0,577.0,6876.0,1143.0,544.0,1811.0
