date,20-34_Maricopa,35-44_Maricopa,45-54_Maricopa,55-64_Maricopa,65+_Maricopa,<20_Maricopa
12/11/2020,64,58,64,48,61,2
12/11/2021,545857,380125,391117,407820,661548,300200
12/12/2020,66,58,66,52,61,2
12/12/2021,546164,380310,391275,407963,661693,300632
12/13/2020,67,59,69,53,65,2
12/13/2021,546897,380667,391579,408295,662153,301625
12/14/2020,69,62,70,55,73,2
12/14/2021,547559,381001,391906,408649,662666,302522
12/15/2020,73,72,79,66,81,2
12/15/2021,548298,381400,392281,408967,663137,303804
12/16/2020,87,90,97,73,87,2
12/16/2021,549052,381803,392625,409342,663686,305011
12/17/2020,302,440,418,315,220,3
12/17/2021,549783,382164,393024,409720,664180,306591
12/18/2020,679,933,833,580,351,3
12/18/2021,550299,382418,393287,409947,664420,308177
12/19/2020,1025,1405,1250,866,485,8
12/19/2021,550691,382603,393451,410129,664604,308668
12/2/2020,51,46,49,33,43,2
12/2/2021,539638,376596,387793,404678,657855,287474
12/20/2020,1220,1662,1504,1073,584,10
12/20/2021,551509,383019,393841,410545,665088,310204
12/21/2020,1902,2529,2291,1648,882,13
12/21/2021,552311,383424,394189,410927,665614,311711
12/22/2020,2819,3657,3305,2368,1216,16
12/22/2021,553113,383830,394564,411299,666057,313160
12/23/2020,3844,4975,4509,3202,1602,20
12/23/2021,553891,384166,394944,411659,666479,314322
12/24/2020,4211,5358,4870,3502,1750,20
12/24/2021,554123,384268,395052,411774,666601,314529
12/25/2020,4211,5358,4872,3502,1754,20
12/25/2021,554126,384271,395054,411776,666602,314529
12/26/2020,5313,6681,6027,4466,2195,28
12/26/2021,554431,384400,395209,411911,666760,314842
12/27/2020,5812,7216,6569,4904,2419,34
12/27/2021,555175,384767,395579,412283,667195,316191
12/28/2020,6927,8445,7719,5936,3064,43
12/28/2021,555971,385108,395906,412626,667594,317734
12/29/2020,8652,10242,9424,7386,4150,65
12/29/2021,556654,385448,396256,412989,667956,319394
12/3/2020,55,47,52,34,46,2
12/3/2021,540471,377055,388299,405106,658320,289137
12/30/2020,10487,12222,11435,9082,5196,83
12/30/2021,557266,385762,396570,413289,668295,320854
12/31/2020,11422,13163,12353,9872,5631,90
12/31/2021,557566,385903,396747,413437,668406,321385
12/4/2020,55,49,52,34,50,2
12/4/2021,541034,377424,388613,405401,658563,291295
12/5/2020,55,49,52,34,52,2
12/5/2021,541457,377618,388783,405558,658744,291762
12/6/2020,55,49,52,34,52,2
12/6/2021,542313,378089,389217,405990,659308,292887
12/7/2020,55,50,56,37,54,2
12/7/2021,543114,378529,389654,406418,659843,294091
12/8/2020,58,51,58,40,55,2
12/8/2021,543856,378934,390032,406808,660352,295614
12/9/2020,58,51,62,41,59,2
12/9/2021,544560,379326,390415,407215,660901,297029
2/1/2021,54163,52401,55562,51230,155535,1137
2/1/2022,575243,394426,404220,419967,673939,352791
2/10/2021,63070,60517,64405,61835,247895,1578
2/10/2022,578459,395941,405430,420901,674731,357987
2/11/2021,64140,61454,65442,63263,259071,1631
2/11/2022,578806,396117,405586,421000,674808,358565
2/12/2021,65937,62910,67008,65239,274533,1708
2/12/2022,579002,396216,405672,421062,674835,358891
2/13/2021,67808,64538,68908,67300,284791,1799
2/13/2022,579135,396262,405711,421097,674848,359033
2/14/2021,68461,65031,69523,68065,290019,1819
2/14/2022,579202,396302,405740,421130,674871,359157
2/15/2021,69129,65653,70191,68971,299636,1861
2/16/2021,70262,66447,71096,70131,310192,1897
2/17/2021,71241,67340,72041,71314,321488,1962
2/18/2021,72092,68060,72822,72398,332653,1990
2/19/2021,73223,68991,73731,73584,341964,2046
2/2/2021,55124,53291,56446,52438,165762,1172
2/2/2022,575642,394628,404389,420082,674055,353548
2/20/2021,74921,70397,75106,75176,350163,2136
2/21/2021,75527,70972,75702,75904,355337,2169
2/22/2021,76142,71542,76236,76582,361294,2211
2/23/2021,77263,72413,77263,77866,369663,2265
2/24/2021,78455,73489,78420,79340,379510,2338
2/25/2021,79565,74438,79421,80627,389623,2411
2/26/2021,81112,75733,80726,82340,399131,2484
2/27/2021,82367,76802,81812,83671,405762,2555
2/28/2021,82934,77240,82303,84672,409722,2592
2/3/2021,55948,54103,57305,53436,176337,1219
2/3/2022,576037,394792,404541,420215,674179,354183
2/4/2021,56895,54969,58341,54609,187274,1262
2/4/2022,576474,395034,404717,420349,674281,354977
2/5/2021,58154,56078,59498,55941,196397,1314
2/5/2022,576766,395192,404844,420441,674326,355567
