date,Mohave_cume,Mohave
2020-12-01,1,
2020-12-10,2,1
2020-12-12,4,2
2020-12-16,6,2
2020-12-18,8,2
2020-12-21,20,12
2020-12-22,81,61
2020-12-23,291,210
2020-12-24,427,136
2020-12-26,592,165
2020-12-27,653,61
2020-12-28,922,269
2020-12-29,1306,384
2020-12-30,1642,336
2020-12-31,1918,276
2021-01-01,1999,81
2021-01-02,2047,48
2021-01-03,2073,26
2021-01-04,2265,192
2021-01-05,2398,133
2021-01-06,2653,255
2021-01-07,2908,255
2021-01-08,3168,260
2021-01-09,3225,57
2021-01-10,3277,52
2021-01-11,3476,199
2021-01-12,3766,290
2021-01-13,4071,305
2021-01-14,4454,383
2021-01-15,4870,416
2021-01-16,5227,357
2021-01-17,5258,31
2021-01-18,5629,371
2021-01-19,5954,325
2021-01-20,6521,567
2021-01-21,6982,461
2021-01-22,7400,418
2021-01-23,8208,808
2021-01-24,8824,616
2021-01-25,9375,551
2021-01-26,10007,632
2021-01-27,10816,809
2021-01-28,11722,906
2021-01-29,12270,548
2021-01-30,12732,462
2021-01-31,13262,530
2021-02-01,13934,672
2021-02-02,14567,633
2021-02-03,15730,1163
2021-02-04,16452,722
2021-02-05,17078,626
2021-02-06,17392,314
2021-02-07,17577,185
2021-02-08,17976,399
2021-02-09,18423,447
2021-02-10,19389,966
2021-02-11,20033,644
2021-02-12,20945,912
2021-02-13,21445,500
2021-02-14,21554,109
2021-02-15,22097,543
2021-02-16,22665,568
2021-02-17,23201,536
2021-02-18,23584,383
2021-02-19,24003,419
2021-02-20,24163,160
2021-02-21,24228,65
2021-02-22,24535,307
2021-02-23,24777,242
2021-02-24,25525,748
2021-02-25,26555,1030
2021-02-26,27457,902
2021-02-27,28286,829
2021-02-28,28827,541
2021-03-01,29730,903
2021-03-02,30692,962
2021-03-03,32965,2273
2021-03-04,34478,1513
2021-03-05,36042,1564
2021-03-06,36881,839
2021-03-07,37314,433
2021-03-08,38120,806
2021-03-09,39099,979
2021-03-10,41044,1945
2021-03-11,42640,1596
2021-03-12,44069,1429
2021-03-13,44902,833
2021-03-14,45274,372
2021-03-15,46085,811
2021-03-16,47094,1009
2021-03-17,48909,1815
2021-03-18,50231,1322
2021-03-19,51431,1200
2021-03-20,52613,1182
2021-03-21,53168,555
2021-03-22,54433,1265
2021-03-23,55675,1242
2021-03-24,57213,1538
2021-03-25,58642,1429
2021-03-26,60195,1553
2021-03-27,61240,1045
2021-03-28,62071,831
2021-03-29,63614,1543
2021-03-30,65130,1516
2021-03-31,67387,2257
2021-04-01,69140,1753
2021-04-02,70666,1526
2021-04-03,71396,730
2021-04-04,71688,292
2021-04-05,72922,1234
2021-04-06,74299,1377
2021-04-07,75992,1693
2021-04-08,77490,1498
2021-04-09,79103,1613
2021-04-10,80081,978
2021-04-11,80517,436
2021-04-12,82513,1996
2021-04-13,83586,1073
2021-04-14,85335,1749
2021-04-15,86849,1514
2021-04-16,88112,1263
2021-04-17,88995,883
2021-04-18,89431,436
2021-04-19,90458,1027
2021-04-20,91635,1177
2021-04-21,93021,1386
2021-04-22,94295,1274
2021-04-23,95606,1311
2021-04-24,96409,803
2021-04-25,96741,332
2021-04-26,97946,1205
2021-04-27,99300,1354
2021-04-28,100559,1259
2021-04-29,101737,1178
2021-04-30,102967,1230
2021-05-01,103645,678
2021-05-02,103887,242
2021-05-03,104706,819
2021-05-04,105568,862
2021-05-05,106518,950
2021-05-06,107332,814
2021-05-07,108182,850
2021-05-08,108785,603
2021-05-09,108920,135
2021-05-10,109502,582
2021-05-11,110113,611
2021-05-12,110650,537
2021-05-13,111424,774
2021-05-14,112113,689
2021-05-15,112530,417
2021-05-16,112702,172
2021-05-17,113939,1237
2021-05-18,114542,603
2021-05-19,115208,666
2021-05-20,115900,692
2021-05-21,116583,683
2021-05-22,116954,371
2021-05-23,117081,127
2021-05-24,117527,446
2021-05-25,117980,453
2021-05-26,118354,374
2021-05-27,118751,397
2021-05-28,119278,527
2021-05-29,119412,134
2021-05-30,119484,72
2021-05-31,119562,78
2021-06-01,120021,459
2021-06-02,120379,358
2021-06-03,120726,347
2021-06-04,121137,411
2021-06-05,121343,206
2021-06-06,121418,75
2021-06-07,121829,411
2021-06-08,122102,273
2021-06-09,122523,421
2021-06-10,122869,346
2021-06-11,123319,450
2021-06-12,123592,273
2021-06-13,123680,88
2021-06-14,123997,317
2021-06-15,124349,352
2021-06-16,124670,321
2021-06-17,124930,260
2021-06-18,125286,356
2021-06-19,125467,181
2021-06-20,125557,90
2021-06-21,125799,242
2021-06-22,126059,260
2021-06-23,126325,266
2021-06-24,126547,222
2021-06-25,126869,322
2021-06-26,127011,142
2021-06-27,127079,68
2021-06-28,127290,211
2021-06-29,127522,232
2021-06-30,127784,262
2021-07-01,128025,241
2021-07-02,128338,313
2021-07-03,128435,97
2021-07-04,128460,25
2021-07-05,128653,193
2021-07-06,128861,208
2021-07-07,129073,212
2021-07-08,129304,231
2021-07-09,129585,281
2021-07-10,129774,189
2021-07-11,129842,68
2021-07-12,130076,234
2021-07-13,130287,211
2021-07-14,130494,207
2021-07-15,130673,179
2021-07-16,130991,318
2021-07-17,131176,185
2021-07-18,131260,84
2021-07-19,131530,270
2021-07-20,131792,262
2021-07-21,132092,300
2021-07-22,132398,306
2021-07-23,132811,413
2021-07-24,133018,207
2021-07-25,133122,104
2021-07-26,133408,286
2021-07-27,133709,301
2021-07-28,134008,299
2021-07-29,134295,287
2021-07-30,134735,440
2021-07-31,134967,232
2021-08-01,135057,90
2021-08-02,135365,308
2021-08-03,135643,278
2021-08-04,135946,303
2021-08-05,136226,280
2021-08-06,136716,490
2021-08-07,136938,222
2021-08-08,137076,138
2021-08-09,137447,371
2021-08-10,137736,289
2021-08-11,138023,287
2021-08-12,138322,299
2021-08-13,138804,482
2021-08-14,139064,260
2021-08-15,139219,155
2021-08-16,139598,379
2021-08-17,139961,363
2021-08-18,140277,316
2021-08-19,140609,332
2021-08-20,141176,567
2021-08-21,141409,233
2021-08-22,141557,148
2021-08-23,141888,331
2021-08-24,142185,297
2021-08-25,142545,360
2021-08-26,142871,326
2021-08-27,143313,442
2021-08-28,143563,250
2021-08-29,143705,142
2021-08-30,144079,374
2021-08-31,144348,269
2021-09-01,144597,249
2021-09-02,144842,245
2021-09-03,145236,394
2021-09-04,145421,185
2021-09-05,145521,100
2021-09-06,145586,65
2021-09-07,145878,292
2021-09-08,146136,258
2021-09-09,146417,281
2021-09-10,146755,338
2021-09-11,146945,190
2021-09-12,147028,83
2021-09-13,147337,309
2021-09-14,147606,269
2021-09-15,147823,217
2021-09-16,148120,297
2021-09-17,148496,376
2021-09-18,148663,167
2021-09-19,148718,55
2021-09-20,148934,216
2021-09-21,149168,234
2021-09-22,149357,189
2021-09-23,149574,217
2021-09-24,149882,308
2021-09-25,150033,151
2021-09-26,150113,80
2021-09-27,150374,261
2021-09-28,150662,288
2021-09-29,150910,248
2021-09-30,151105,195
2021-10-01,151408,303
2021-10-02,151560,152
2021-10-03,151616,56
2021-10-04,151812,196
2021-10-05,152024,212
2021-10-06,152203,179
2021-10-07,152391,188
2021-10-08,152664,273
2021-10-09,152770,106
2021-10-10,152822,52
2021-10-11,153042,220
2021-10-12,153220,178
2021-10-13,153373,153
2021-10-14,153572,199
2021-10-15,153798,226
2021-10-16,153915,117
2021-10-17,153967,52
2021-10-18,154136,169
2021-10-19,154353,217
2021-10-20,154487,134
2021-10-21,154672,185
2021-10-22,155275,603
2021-10-23,155781,506
2021-10-24,156013,232
2021-10-25,156925,912
2021-10-26,157677,752
2021-10-27,158459,782
2021-10-28,159244,785
2021-10-29,160019,775
2021-10-30,160398,379
2021-10-31,160585,187
2021-11-01,161299,714
2021-11-02,161896,597
2021-11-03,162564,668
2021-11-04,163271,707
2021-11-05,164026,755
2021-11-06,164422,396
2021-11-07,164575,153
2021-11-08,165290,715
2021-11-09,165884,594
2021-11-10,166584,700
2021-11-11,167270,686
2021-11-12,168053,783
2021-11-13,168390,337
2021-11-14,168552,162
2021-11-15,169199,647
2021-11-16,169815,616
2021-11-17,170450,635
2021-11-18,171131,681
2021-11-19,171996,865
2021-11-20,172438,442
2021-11-21,172707,269
2021-11-22,173355,648
2021-11-23,174068,713
2021-11-24,174551,483
2021-11-25,174553,2
2021-11-26,175058,505
2021-11-27,175406,348
2021-11-28,175626,220
2021-11-29,176338,712
2021-11-30,177073,735
2021-12-01,177831,758
2021-12-02,178606,775
2021-12-03,179511,905
2021-12-04,179958,447
2021-12-05,180194,236
2021-12-06,180903,709
2021-12-07,181566,663
2021-12-08,182191,625
2021-12-09,182889,698
2021-12-10,183705,816
2021-12-11,184142,437
2021-12-12,184443,301
2021-12-13,185018,575
2021-12-14,185499,481
2021-12-15,186030,531
2021-12-16,186568,538
2021-12-17,187322,754
2021-12-18,187660,338
2021-12-19,187854,194
2021-12-20,188609,755
2021-12-21,189300,691
2021-12-22,189964,664
2021-12-23,190499,535
2021-12-24,190623,124
2021-12-26,190760,137
2021-12-27,191250,490
2021-12-28,191722,472
2021-12-29,192175,453
2021-12-30,192653,478
2021-12-31,192892,239
2022-01-01,192914,22
2022-01-02,193060,146
