date,pcr_tests_LA_PAZ,pcr_pos_tests_LA_PAZ,pcr_positivity_LA_PAZ,ser_tests_LA_PAZ,ser_pos_tests_LA_PAZ,ser_positivity_LA_PAZ
2021-02-28 00:00:00,8,1,0.125,,,
2021-02-27 00:00:00,4,0,0,,,
2021-02-26 00:00:00,7,0,0,1,1,1
2021-02-25 00:00:00,11,0,0,,,
2021-02-24 00:00:00,4,1,0.25,1,1,1
2021-02-23 00:00:00,18,0,0,,,
2021-02-22 00:00:00,7,1,0.1428571428571429,1,0,0
2021-02-21 00:00:00,4,0,0,,,
2021-02-20 00:00:00,1,1,1,,,
2021-02-19 00:00:00,16,1,0.0625,4,4,1
2021-02-18 00:00:00,12,0,0,1,1,1
2021-02-17 00:00:00,14,0,0,3,3,1
2021-02-16 00:00:00,13,0,0,3,2,0.6666666666666666
2021-02-15 00:00:00,9,2,0.2222222222222222,1,0,0
2021-02-14 00:00:00,4,1,0.25,,,
2021-02-13 00:00:00,5,0,0,,,
2021-02-12 00:00:00,6,1,0.1666666666666667,2,2,1
2021-02-11 00:00:00,19,1,0.0526315789473684,,,
2021-02-10 00:00:00,20,1,0.05,1,1,1
2021-02-09 00:00:00,72,1,0.0138888888888889,2,2,1
2021-02-08 00:00:00,16,3,0.1875,1,1,1
2021-02-06 00:00:00,5,2,0.4,,,
2021-02-05 00:00:00,15,2,0.1333333333333333,3,3,1
2021-02-04 00:00:00,132,2,0.0151515151515152,,,
2021-02-03 00:00:00,12,0,0,1,0,0
2021-02-02 00:00:00,14,0,0,1,1,1
2021-02-01 00:00:00,27,10,0.3703703703703704,,,
2021-01-31 00:00:00,4,0,0,,,
2021-01-30 00:00:00,8,2,0.25,,,
2021-01-29 00:00:00,15,2,0.1333333333333333,2,0,0
2021-01-28 00:00:00,50,11,0.22,,,
2021-01-27 00:00:00,26,4,0.1538461538461539,1,0,0
2021-01-26 00:00:00,35,7,0.2,3,3,1
2021-01-25 00:00:00,35,4,0.1142857142857143,5,1,0.2
2021-01-24 00:00:00,1,0,0,,,
2021-01-23 00:00:00,9,2,0.2222222222222222,,,
2021-01-22 00:00:00,10,2,0.2,6,3,0.5
2021-01-21 00:00:00,26,4,0.1538461538461539,4,0,0
2021-01-20 00:00:00,40,6,0.15,5,2,0.4
2021-01-19 00:00:00,51,12,0.2352941176470588,,,
2021-01-18 00:00:00,7,1,0.1428571428571429,1,1,1
2021-01-17 00:00:00,9,3,0.3333333333333333,,,
2021-01-16 00:00:00,13,5,0.3846153846153847,1,0,0
2021-01-15 00:00:00,18,5,0.2777777777777778,4,2,0.5
2021-01-14 00:00:00,37,10,0.2702702702702703,1,0,0
2021-01-13 00:00:00,60,12,0.2,5,0,0
