date,ventilators_covid
2022-01-19,320
2022-01-18,329
2022-01-17,337
2022-01-16,356
2022-01-15,353
2022-01-14,365
2022-01-13,362
2022-01-12,367
2022-01-11,366
2022-01-10,366
2022-01-09,357
2022-01-08,356
2022-01-07,382
2022-01-06,364
2022-01-05,355
2022-01-04,342
2022-01-03,352
2022-01-02,368
2022-01-01,364
2021-12-31,374
2021-12-30,381
2021-12-29,391
2021-12-28,403
2021-12-27,392
2021-12-26,406
2021-12-25,409
2021-12-24,405
2021-12-23,422
2021-12-22,426
2021-12-21,425
2021-12-20,438
2021-12-19,436
2021-12-18,428
2021-12-17,428
2021-12-16,420
2021-12-15,424
2021-12-14,430
2021-12-13,448
2021-12-12,452
2021-12-11,442
2021-12-10,433
2021-12-09,429
2021-12-08,440
2021-12-07,441
2021-12-06,420
2021-12-05,418
2021-12-04,439
2021-12-03,424
2021-12-02,437
2021-12-01,419
2021-11-30,400
2021-11-29,412
2021-11-28,416
2021-11-27,403
2021-11-26,421
2021-11-25,381
2021-11-24,405
2021-11-23,397
2021-11-22,392
2021-11-21,391
2021-11-20,388
2021-11-19,356
2021-11-18,363
2021-11-17,359
2021-11-16,346
2021-11-15,334
2021-11-14,313
2021-11-13,301
2021-11-12,294
2021-11-11,295
2021-11-10,283
2021-11-09,266
2021-11-08,258
2021-11-07,272
2021-11-06,276
2021-11-05,267
2021-11-04,282
2021-11-03,271
2021-11-02,269
2021-11-01,264
2021-10-31,258
2021-10-30,265
2021-10-29,278
2021-10-28,272
2021-10-27,258
2021-10-26,263
2021-10-25,277
2021-10-24,280
2021-10-23,278
2021-10-22,286
2021-10-21,294
2021-10-20,297
2021-10-19,294
2021-10-18,275
2021-10-17,244
2021-10-16,261
2021-10-15,257
2021-10-14,245
2021-10-13,274
2021-10-12,294
2021-10-11,297
2021-10-10,299
2021-10-09,297
2021-10-08,272
2021-10-07,306
2021-10-06,308
2021-10-05,308
2021-10-04,302
2021-10-03,303
2021-10-02,317
2021-10-01,318
2021-09-30,314
2021-09-29,324
2021-09-28,331
2021-09-27,349
2021-09-26,344
2021-09-25,340
2021-09-24,328
2021-09-23,328
2021-09-22,345
2021-09-21,348
2021-09-20,351
2021-09-19,337
2021-09-18,368
2021-09-17,367
2021-09-16,372
2021-09-15,378
2021-09-14,360
2021-09-13,359
2021-09-12,352
2021-09-11,361
2021-09-10,358
2021-09-09,364
2021-09-08,374
2021-09-07,359
2021-09-06,371
2021-09-05,355
2021-09-04,367
2021-09-03,345
2021-09-02,353
2021-09-01,329
2021-08-31,352
2021-08-30,348
2021-08-29,341
2021-08-28,349
2021-08-27,343
2021-08-26,341
2021-08-25,335
2021-08-24,306
2021-08-23,304
2021-08-22,287
2021-08-21,272
2021-08-20,261
2021-08-19,262
2021-08-18,255
2021-08-17,240
2021-08-16,235
2021-08-15,226
2021-08-14,221
2021-08-13,227
2021-08-12,212
2021-08-11,207
2021-08-10,219
2021-08-09,198
2021-08-08,185
2021-08-07,180
2021-08-06,174
2021-08-05,170
2021-08-04,159
2021-08-03,155
2021-08-02,155
2021-08-01,147
2021-07-31,149
2021-07-30,137
2021-07-29,140
2021-07-28,143
2021-07-27,141
2021-07-26,135
2021-07-25,136
2021-07-24,128
2021-07-23,124
2021-07-22,120
2021-07-21,114
2021-07-20,113
2021-07-19,106
2021-07-18,94
2021-07-17,86
2021-07-16,90
2021-07-15,88
2021-07-14,77
2021-07-13,78
2021-07-12,76
2021-07-11,72
2021-07-10,68
2021-07-09,66
2021-07-08,69
2021-07-07,69
2021-07-06,66
2021-07-05,67
2021-07-04,63
2021-07-03,59
2021-07-02,59
2021-07-01,58
2021-06-30,59
2021-06-29,61
2021-06-28,58
2021-06-27,58
2021-06-26,62
2021-06-25,67
2021-06-24,66
2021-06-23,60
2021-06-22,64
2021-06-21,62
2021-06-20,60
2021-06-19,60
2021-06-18,59
2021-06-17,62
2021-06-16,63
2021-06-15,58
2021-06-14,66
2021-06-13,69
2021-06-12,63
2021-06-11,61
2021-06-10,62
2021-06-09,64
2021-06-08,60
2021-06-07,60
2021-06-06,55
2021-06-05,58
2021-06-04,58
2021-06-03,62
2021-06-02,62
2021-06-01,68
2021-05-31,71
2021-05-30,68
2021-05-29,68
2021-05-28,68
2021-05-27,73
2021-05-26,68
2021-05-25,64
2021-05-24,57
2021-05-23,56
2021-05-22,57
2021-05-21,64
2021-05-20,68
2021-05-19,70
