date,inpatient_covid,inpatient_non_covid,inpatient_empty
2021-06-29,559,7149,935
2021-06-28,532,7049,1066
2021-06-27,503,7049,1101
2021-06-26,506,7100,1047
2021-06-25,525,7188,940
2021-06-24,523,7152,924
2021-06-23,497,7257,906
2021-06-22,502,7234,913
2021-06-21,487,7111,1057
2021-06-20,522,7145,973
2021-06-19,514,7210,928
2021-06-18,503,7231,917
2021-06-17,499,7214,916
2021-06-16,480,7126,1022
2021-06-15,554,7024,1050
2021-06-14,509,7019,1099
2021-06-13,520,6938,1169
2021-06-12,512,7165,969
2021-06-11,529,7195,929
2021-06-10,525,7190,940
2021-06-09,559,7167,928
2021-06-08,600,6946,972
2021-06-07,602,6820,1083
2021-06-06,560,6901,1034
2021-06-05,552,7035,996
2021-06-04,566,7077,945
2021-06-03,590,7062,947
2021-06-02,532,7110,956
2021-06-01,544,6906,1145
2021-05-31,549,6860,1187
2021-05-30,553,6907,1123
2021-05-29,545,7005,1039
2021-05-28,555,7090,955
2021-05-27,576,7088,935
2021-05-26,545,7145,909
2021-05-25,545,7082,970
2021-05-24,551,6942,1102
2021-05-23,529,6934,1132
2021-05-22,535,7006,1046
2021-05-21,573,6999,1029
2021-05-20,581,7022,1004
2021-05-19,591,7041,996
2021-05-18,607,6950,1071
2021-05-17,578,6819,1223
2021-05-16,594,6869,1122
2021-05-15,596,6930,1069
2021-05-14,595,7052,956
2021-05-13,594,7034,977
2021-05-12,585,7021,999
2021-05-11,599,6994,1014
2021-05-10,577,6876,1143
2021-05-09,565,6870,1154
2021-05-08,592,6967,1034
2021-05-07,612,7061,929
2021-05-06,666,7015,919
2021-05-05,672,7008,915
2021-05-04,636,6896,1061
2021-05-03,615,6857,1120
2021-05-02,607,6875,1093
2021-05-01,605,6944,1034
2021-04-30,635,6967,989
2021-04-29,618,6987,984
2021-04-28,643,6905,1038
2021-04-27,622,6852,1105
2021-04-26,615,6787,1178
2021-04-25,611,6841,1127
2021-04-24,591,6965,1028
2021-04-23,592,7073,922
2021-04-22,594,7099,912
2021-04-21,585,7095,929
2021-04-20,584,6997,1005
2021-04-19,562,6786,1233
2021-04-18,555,6932,1070
2021-04-17,549,6927,1104
2021-04-16,567,6956,1054
2021-04-15,569,6983,1025
2021-04-14,584,6968,1025
2021-04-13,531,6959,1084
2021-04-12,565,6786,1229
2021-04-11,552,6899,1109
2021-04-10,532,6942,1092
2021-04-09,576,7010,985
2021-04-08,571,7028,974
2021-04-07,541,7047,996
2021-04-06,574,6985,1023
2021-04-05,546,6990,1034
2021-04-04,516,7025,1038
2021-04-03,538,7062,985
2021-04-02,541,7112,931
2021-04-01,572,7083,924
