Category,value
tests,502650
Yuma,10445
Yavapai,12929
Santa Cruz,1864
Pinal,32108
Pima,51681
Navajo,4190
Mohave,10421
Maricopa,348546
La Paz,1569
Greenlee,202
Graham,1080
Gila,5329
Coconino,6372
Cochise,5438
Apache,1182
Unknown,429
65 years and older,118843
55 - 64 years,95513
45 - 54 years,88787
20 - 44 years,174807
Less than 20 years,24271
positive,0.1724679200238735
