date,20-34_Cochise,35-44_Cochise,45-54_Cochise,55-64_Cochise,65+_Cochise,<20_Cochise
1/1/2021,337,319,272,280,202,3
1/10/2021,459,453,382,389,632,6
1/11/2021,471,467,403,406,830,6
1/12/2021,477,472,408,416,1043,6
1/13/2021,496,505,430,440,1353,6
1/14/2021,501,513,443,451,1601,6
1/15/2021,506,520,453,461,2028,6
1/16/2021,522,525,461,473,2384,6
1/17/2021,525,526,464,474,2397,6
1/18/2021,528,531,471,483,2574,6
1/19/2021,545,543,483,498,2779,6
1/2/2021,338,322,275,283,205,3
1/20/2021,554,558,498,521,3156,6
1/21/2021,560,572,511,542,3533,6
1/22/2021,573,580,519,550,3700,6
1/23/2021,599,617,554,584,4058,6
1/24/2021,609,621,561,604,4130,6
1/25/2021,631,640,597,648,4317,6
1/26/2021,653,683,646,706,4533,8
1/27/2021,682,720,688,753,4916,8
1/28/2021,732,758,743,828,5530,9
1/29/2021,774,801,812,898,5896,10
1/3/2021,350,336,286,297,230,3
1/30/2021,776,806,814,903,5914,10
1/31/2021,781,809,818,911,5941,10
1/4/2021,356,345,291,299,251,3
1/5/2021,375,372,305,314,260,3
1/6/2021,396,391,323,339,276,4
1/7/2021,404,397,334,347,306,4
1/8/2021,434,430,363,370,336,5
1/9/2021,452,451,382,387,629,6
12/1/2020,,,,1,1,
12/10/2020,,,,1,1,
12/11/2020,,,,1,1,
12/12/2020,,,,1,1,
12/13/2020,,,,1,1,
12/14/2020,,,,1,1,
12/15/2020,,,1,1,1,
12/16/2020,,,2,1,1,
12/17/2020,,,7,4,4,
12/18/2020,1,2,8,7,4,
12/19/2020,1,4,10,8,5,
12/2/2020,,,,1,1,
12/20/2020,1,4,10,8,5,
12/21/2020,3,5,11,12,7,
12/22/2020,74,78,62,60,18,
12/23/2020,181,177,154,150,43,1
12/24/2020,211,206,179,165,53,1
12/25/2020,211,206,179,165,53,1
12/26/2020,213,211,181,176,54,1
12/27/2020,213,211,181,176,54,1
12/28/2020,229,226,200,196,65,1
12/29/2020,246,245,212,215,72,1
12/3/2020,,,,1,1,
12/30/2020,290,283,246,248,127,1
12/31/2020,335,317,270,279,185,3
12/4/2020,,,,1,1,
12/5/2020,,,,1,1,
12/6/2020,,,,1,1,
12/7/2020,,,,1,1,
12/8/2020,,,,1,1,
12/9/2020,,,,1,1,
2/1/2021,789,825,829,930,6099,10
2/10/2021,1052,1062,1075,1226,8007,19
2/11/2021,1168,1178,1206,1385,9038,23
2/12/2021,1238,1236,1270,1463,9713,29
2/13/2021,1262,1251,1294,1494,9897,30
2/14/2021,1262,1252,1294,1494,9909,30
2/15/2021,1265,1263,1308,1509,10063,30
2/16/2021,1272,1269,1317,1532,10294,32
2/17/2021,1278,1277,1331,1556,10470,32
2/18/2021,1283,1289,1348,1578,10660,32
2/19/2021,1287,1294,1360,1593,10843,33
2/2/2021,796,837,840,947,6240,11
2/20/2021,1292,1300,1369,1600,10855,33
2/21/2021,1293,1300,1372,1604,10861,33
2/22/2021,1295,1304,1378,1612,10896,33
2/23/2021,1297,1304,1379,1613,10941,33
2/24/2021,1329,1326,1407,1636,11172,34
2/25/2021,1369,1349,1458,1738,11914,36
2/26/2021,1405,1379,1496,1817,12367,39
2/27/2021,1465,1435,1556,1905,12679,41
2/28/2021,1467,1437,1558,1907,12708,41
2/3/2021,822,866,865,977,6507,12
2/4/2021,842,884,881,1004,6769,13
2/5/2021,877,924,939,1043,6957,14
2/6/2021,880,925,945,1056,7040,14
2/7/2021,881,928,946,1058,7057,14
2/8/2021,891,937,956,1073,7171,15
2/9/2021,927,971,1000,1126,7470,16
3/1/2021,1469,1443,1565,1936,12938,44
3/10/2021,1725,1716,1910,3841,15607,60
3/11/2021,1777,1768,1976,4075,15896,63
3/12/2021,1815,1805,2004,4248,16073,66
3/13/2021,1838,1828,2028,4384,16225,67
3/14/2021,1840,1830,2029,4393,16241,67
3/15/2021,1901,1870,2070,4693,16466,69
3/16/2021,1963,1926,2154,4898,16657,77
3/17/2021,2006,1975,2217,5119,16892,89
3/18/2021,2145,2057,2384,5430,17266,102
3/19/2021,2218,2122,2504,5688,17504,113
3/2/2021,1477,1455,1581,1979,13176,44
3/20/2021,2277,2174,2715,6012,17740,117
3/21/2021,2282,2181,2729,6020,17746,117
3/22/2021,2311,2225,2832,6186,17874,119
3/23/2021,2349,2256,2903,6263,17945,128
3/24/2021,2424,2322,2997,6427,18082,153
3/25/2021,2751,2588,3266,6704,18324,204
3/26/2021,2945,2692,3417,6875,18482,235
3/27/2021,3081,2823,3560,6939,18524,248
3/28/2021,3087,2828,3562,6943,18530,252
3/29/2021,3148,2861,3611,7049,18596,263
3/3/2021,1512,1498,1629,2101,13681,48
3/30/2021,3250,2930,3664,7108,18650,294
3/31/2021,3395,3040,3855,7211,18761,320
3/4/2021,1569,1562,1701,2635,14273,50
3/5/2021,1603,1591,1736,2865,14634,54
3/6/2021,1615,1604,1769,3130,15085,54
3/7/2021,1617,1607,1776,3149,15105,55
3/8/2021,1628,1619,1786,3283,15261,55
3/9/2021,1682,1685,1873,3647,15439,58
4/1/2021,3595,3219,4019,7386,18931,350
4/10/2021,4995,4201,4890,8225,19753,635
4/11/2021,5021,4209,4897,8241,19763,644
4/12/2021,5125,4292,4962,8316,19850,665
4/13/2021,5187,4334,5007,8358,19912,682
4/14/2021,5287,4411,5054,8404,19958,692
4/15/2021,5448,4589,5189,8505,20046,705
4/16/2021,5548,4671,5266,8576,20114,719
4/17/2021,5591,4709,5291,8606,20140,727
4/18/2021,5599,4712,5295,8610,20142,733
4/19/2021,5667,4746,5350,8664,20179,744
4/2/2021,3786,3347,4159,7482,19045,381
4/20/2021,5715,4784,5383,8707,20234,751
4/21/2021,5828,4855,5433,8769,20284,771
4/22/2021,5936,4949,5504,8844,20334,795
4/23/2021,6036,5011,5574,8890,20363,812
4/24/2021,6080,5035,5598,8910,20384,833
4/25/2021,6085,5040,5603,8913,20388,837
4/26/2021,6128,5074,5645,8948,20429,855
4/27/2021,6164,5100,5675,8985,20456,869
4/28/2021,6240,5139,5743,9023,20502,882
4/29/2021,6340,5213,5810,9077,20573,899
4/3/2021,3898,3436,4226,7522,19088,403
4/30/2021,6407,5248,5846,9119,20625,912
4/4/2021,3907,3438,4231,7527,19091,412
4/5/2021,3968,3488,4286,7595,19157,427
4/6/2021,4138,3567,4357,7684,19266,466
4/7/2021,4418,3818,4541,7854,19411,510
4/8/2021,4655,3997,4686,8027,19585,554
4/9/2021,4856,4114,4818,8142,19687,606
5/1/2021,6431,5269,5858,9131,20640,926
5/10/2021,6724,5478,6059,9320,20826,1196
5/11/2021,6753,5491,6078,9328,20846,1230
5/12/2021,6784,5514,6099,9357,20876,1277
5/13/2021,6868,5556,6137,9385,20927,1367
5/14/2021,6908,5586,6159,9419,20953,1467
5/15/2021,6928,5593,6178,9431,20962,1604
5/16/2021,6943,5604,6185,9432,20964,1618
5/17/2021,6994,5640,6207,9453,20996,1697
5/18/2021,7060,5679,6231,9480,21025,1768
5/19/2021,7151,5737,6280,9531,21082,1879
5/2/2021,6435,5273,5860,9132,20646,931
5/20/2021,7222,5789,6319,9568,21122,2037
5/21/2021,7276,5832,6355,9599,21142,2135
5/22/2021,7348,5877,6400,9612,21152,2195
5/23/2021,7364,5883,6402,9614,21156,2203
5/24/2021,7411,5905,6425,9636,21171,2264
5/25/2021,7446,5931,6442,9652,21188,2319
5/26/2021,7482,5959,6461,9674,21213,2406
5/27/2021,7549,5991,6496,9700,21241,2502
5/28/2021,7626,6022,6536,9731,21256,2564
5/29/2021,7643,6029,6543,9736,21256,2575
5/3/2021,6455,5298,5880,9155,20667,937
5/30/2021,7651,6035,6545,9741,21260,2588
5/31/2021,7659,6038,6548,9742,21261,2604
5/4/2021,6493,5330,5905,9174,20686,944
5/5/2021,6539,5358,5938,9217,20716,994
5/6/2021,6605,5413,5978,9264,20775,1062
5/7/2021,6663,5440,6020,9283,20805,1113
5/8/2021,6692,5454,6038,9297,20813,1157
5/9/2021,6699,5459,6044,9298,20817,1161
6/1/2021,7690,6067,6563,9764,21277,2639
6/10/2021,7973,6240,6696,9889,21399,3044
6/11/2021,7992,6252,6709,9900,21412,3092
6/12/2021,8007,6262,6713,9903,21418,3123
6/13/2021,8017,6264,6714,9906,21420,3124
6/14/2021,8037,6275,6728,9916,21421,3150
6/15/2021,8060,6289,6737,9923,21432,3191
6/16/2021,8090,6302,6747,9931,21442,3225
6/17/2021,8125,6326,6765,9952,21454,3268
6/18/2021,8175,6349,6787,9968,21473,3295
6/19/2021,8206,6378,6800,9971,21475,3318
6/2/2021,7746,6097,6589,9794,21299,2709
6/20/2021,8209,6379,6802,9973,21476,3318
6/21/2021,8232,6389,6808,9977,21486,3340
6/22/2021,8246,6400,6812,9988,21490,3360
6/23/2021,8277,6415,6824,9999,21503,3411
6/24/2021,8316,6431,6840,10017,21515,3446
6/25/2021,8362,6449,6861,10032,21519,3494
6/26/2021,8377,6455,6862,10034,21521,3515
6/27/2021,8388,6459,6866,10037,21523,3517
6/28/2021,8408,6467,6877,10043,21530,3554
6/29/2021,8429,6477,6881,10050,21542,3587
6/3/2021,7794,6132,6611,9829,21324,2791
6/30/2021,8826,6657,6913,10069,21551,3637
