date,Arizona_cume,Arizona
2020-12-01,284,
2020-12-02,311,27
2020-12-03,338,27
2020-12-04,349,11
2020-12-05,353,4
2020-12-06,357,4
2020-12-07,380,23
2020-12-08,398,18
2020-12-09,418,20
2020-12-10,443,25
2020-12-11,461,18
2020-12-12,478,17
2020-12-13,491,13
2020-12-14,516,25
2020-12-15,621,105
2020-12-16,1279,658
2020-12-17,4568,3289
2020-12-18,8328,3760
2020-12-19,10912,2584
2020-12-20,12025,1113
2020-12-21,17636,5611
2020-12-22,25516,7880
2020-12-23,35468,9952
2020-12-24,39364,3896
2020-12-25,39511,147
2020-12-26,46077,6566
2020-12-27,48753,2676
2020-12-28,58310,9557
2020-12-29,71703,13393
2020-12-30,86936,15233
2020-12-31,95187,8251
2021-01-01,98380,3193
2021-01-02,106190,7810
2021-01-03,109470,3280
2021-01-04,118609,9139
2021-01-05,128058,9449
2021-01-06,140506,12448
2021-01-07,153605,13099
2021-01-08,166008,12403
2021-01-09,174054,8046
2021-01-10,177408,3354
2021-01-11,194050,16642
2021-01-12,217845,23795
2021-01-13,243770,25925
2021-01-14,269136,25366
2021-01-15,295025,25889
2021-01-16,310976,15951
2021-01-17,320431,9455
2021-01-18,340057,19626
2021-01-19,367733,27676
2021-01-20,401137,33404
2021-01-21,437596,36459
2021-01-22,476544,38948
2021-01-23,505570,29026
2021-01-24,521958,16388
2021-01-25,552475,30517
2021-01-26,590118,37643
2021-01-27,631073,40955
2021-01-28,672398,41325
2021-01-29,713421,41023
2021-01-30,740040,26619
2021-01-31,751993,11953
2021-02-01,787681,35688
2021-02-02,828055,40374
2021-02-03,873444,45389
2021-02-04,922013,48569
2021-02-05,967557,45544
2021-02-06,1007088,39531
2021-02-07,1023668,16580
2021-02-08,1063623,39955
2021-02-09,1108839,45216
2021-02-10,1161458,52619
2021-02-11,1214437,52979
2021-02-12,1277470,63033
2021-02-13,1324218,46748
2021-02-14,1341863,17645
2021-02-15,1374373,32510
2021-02-16,1420581,46208
2021-02-17,1469255,48674
2021-02-18,1516213,46958
2021-02-19,1560340,44127
2021-02-20,1596480,36140
2021-02-21,1612039,15559
2021-02-22,1642003,29964
2021-02-23,1687477,45474
2021-02-24,1745912,58435
2021-02-25,1807727,61815
2021-02-26,1876122,68395
2021-02-27,1928707,52585
2021-02-28,1955382,26675
2021-03-01,2008631,53249
2021-03-02,2061079,52448
2021-03-03,2121302,60223
2021-03-04,2181216,59914
2021-03-05,2242238,61022
2021-03-06,2288731,46493
2021-03-07,2315264,26533
2021-03-08,2367988,52724
2021-03-09,2426439,58451
2021-03-10,2496091,69652
2021-03-11,2569138,73047
2021-03-12,2644316,75178
2021-03-13,2697986,53670
2021-03-14,2727247,29261
2021-03-15,2777058,49811
2021-03-16,2833670,56612
2021-03-17,2898682,65012
2021-03-18,2964682,66000
2021-03-19,3026868,62186
2021-03-20,3075469,48601
2021-03-21,3107828,32359
2021-03-22,3153307,45479
2021-03-23,3203852,50545
2021-03-24,3269384,65532
2021-03-25,3343015,73631
2021-03-26,3415619,72604
2021-03-27,3470381,54762
2021-03-28,3509456,39075
2021-03-29,3572687,63231
2021-03-30,3641947,69260
2021-03-31,3721446,79499
2021-04-01,3803702,82256
2021-04-02,3874653,70951
2021-04-03,3925373,50720
2021-04-04,3946829,21456
2021-04-05,4006917,60088
2021-04-06,4074622,67705
2021-04-07,4151396,76774
2021-04-08,4229836,78440
