date,20-34_Pima,35-44_Pima,45-54_Pima,55-64_Pima,65+_Pima,<20_Pima
1/1/2021,4368,4448,3685,3472,2148,26
1/10/2021,6664,6413,5563,5396,4646,63
1/11/2021,6980,6689,5832,5685,5024,74
1/12/2021,7312,6944,6096,5944,5538,83
1/13/2021,7530,7182,6337,6192,5978,93
1/14/2021,7838,7492,6654,6485,6400,98
1/15/2021,8467,8064,7235,7051,7704,108
1/16/2021,8710,8258,7419,7217,7976,111
1/17/2021,8793,8318,7464,7275,8107,114
1/18/2021,9140,8630,7781,7566,9675,120
1/19/2021,9513,8917,8108,7888,11350,130
1/2/2021,4539,4570,3787,3583,2257,28
1/20/2021,10009,9466,8615,8369,13477,143
1/21/2021,10416,9911,9105,8853,16587,152
1/22/2021,11120,10593,9863,9590,19636,167
1/23/2021,11400,10826,10058,9789,21444,172
1/24/2021,11546,10956,10168,9892,21765,175
1/25/2021,12277,11590,10914,10644,25018,190
1/26/2021,12992,12172,11577,11289,28049,199
1/27/2021,13723,12769,12245,12015,31226,208
1/28/2021,14572,13409,12916,12746,34547,224
1/29/2021,15498,14133,13646,13498,37640,246
1/3/2021,4631,4658,3857,3639,2303,30
1/30/2021,16158,14562,14000,13898,40375,254
1/31/2021,16326,14675,14116,14034,41121,259
1/4/2021,4977,4962,4117,3923,2547,39
1/5/2021,5315,5282,4385,4208,2855,43
1/6/2021,5738,5623,4808,4572,3188,50
1/7/2021,6041,5856,5026,4849,3589,55
1/8/2021,6314,6139,5312,5132,3842,58
1/9/2021,6566,6314,5478,5321,4575,63
12/1/2020,11,6,9,7,15,
12/10/2020,14,9,14,12,22,
12/11/2020,14,10,17,14,24,
12/12/2020,14,10,17,16,25,
12/13/2020,15,10,17,17,25,
12/14/2020,15,13,20,17,26,
12/15/2020,19,16,24,22,32,
12/16/2020,20,18,26,23,33,
12/17/2020,266,328,337,280,117,
12/18/2020,585,687,631,552,231,1
12/19/2020,793,896,775,654,294,1
12/2/2020,12,6,11,7,15,
12/20/2020,795,898,779,657,299,1
12/21/2020,1211,1275,1061,935,429,3
