date,20-34_Apache,35-44_Apache,45-54_Apache,55-64_Apache,65+_Apache,<20_Apache
1/1/2021,149,138,186,193,234,4
1/10/2021,183,187,259,305,658,11
1/11/2021,187,192,268,321,743,12
1/12/2021,196,203,280,349,862,12
1/13/2021,198,214,301,380,954,14
1/14/2021,214,237,319,435,1179,17
1/15/2021,221,239,337,459,1255,22
1/16/2021,221,239,338,462,1269,22
1/17/2021,221,239,339,462,1269,22
1/18/2021,228,246,351,472,1296,22
1/19/2021,236,255,365,495,1373,23
1/2/2021,149,140,187,193,234,4
1/20/2021,249,270,388,525,1448,62
1/21/2021,264,290,417,599,1570,113
1/22/2021,299,326,459,675,1677,126
1/23/2021,301,327,459,678,1695,128
1/24/2021,301,327,459,679,1697,128
1/25/2021,305,342,464,690,1757,128
1/26/2021,314,352,474,712,1842,135
1/27/2021,326,362,491,730,1927,151
1/28/2021,348,384,545,833,2045,157
1/29/2021,362,398,567,859,2081,164
1/3/2021,149,140,187,193,234,4
1/30/2021,363,398,567,860,2082,171
1/31/2021,363,399,567,868,2084,175
1/4/2021,152,142,191,194,252,4
1/5/2021,156,147,199,208,301,7
1/6/2021,165,162,213,235,472,11
1/7/2021,171,178,241,286,611,11
1/8/2021,183,187,259,304,652,11
1/9/2021,183,187,259,305,657,11
12/1/2020,,,2,,,
12/10/2020,2,2,3,3,,1
12/11/2020,2,2,3,3,,1
12/12/2020,2,2,3,3,,1
12/13/2020,2,2,3,3,1,1
12/14/2020,2,2,3,3,1,1
12/15/2020,3,3,3,5,1,1
12/16/2020,6,9,9,16,3,1
12/17/2020,13,21,23,26,3,1
12/18/2020,18,23,27,30,3,1
12/19/2020,18,23,27,30,3,1
12/2/2020,,1,2,,,
12/20/2020,18,23,27,30,3,1
12/21/2020,19,24,30,32,4,1
12/22/2020,19,25,33,33,4,1
12/23/2020,52,47,60,73,31,2
12/24/2020,55,48,61,75,33,2
12/25/2020,55,48,61,76,34,2
12/26/2020,55,48,63,76,34,2
12/27/2020,55,48,63,76,34,2
12/28/2020,70,54,72,91,55,2
12/29/2020,113,109,141,147,161,2
12/3/2020,1,1,2,1,,
12/30/2020,141,127,169,185,202,4
12/31/2020,149,138,186,193,231,4
12/4/2020,1,1,2,2,,
12/5/2020,1,1,2,2,,
12/6/2020,1,1,2,2,,
12/7/2020,1,1,3,2,,1
12/8/2020,1,1,3,3,,1
12/9/2020,2,2,3,3,,1
2/1/2021,370,416,585,906,2153,193
2/10/2021,694,639,879,1308,2627,402
2/11/2021,854,734,937,1396,2684,490
2/12/2021,888,773,968,1417,2716,523
2/13/2021,935,805,985,1426,2728,538
2/14/2021,936,805,985,1426,2728,538
2/15/2021,938,807,990,1438,2749,538
2/16/2021,976,836,1014,1460,2767,550
2/17/2021,1054,884,1054,1499,2803,572
2/18/2021,1103,908,1073,1533,2837,589
2/19/2021,1135,930,1099,1548,2854,632
2/2/2021,376,420,594,938,2225,207
2/20/2021,1167,936,1111,1566,2860,655
2/21/2021,1167,936,1112,1566,2860,662
2/22/2021,1216,957,1142,1593,2884,673
2/23/2021,1254,979,1160,1620,2902,681
2/24/2021,1293,997,1177,1647,2930,693
2/25/2021,1321,1015,1187,1669,2958,855
2/26/2021,1359,1028,1194,1684,2969,871
2/27/2021,1375,1037,1202,1694,2974,883
2/28/2021,1376,1037,1202,1694,2974,883
2/3/2021,421,457,648,1009,2306,226
2/4/2021,481,502,722,1112,2403,247
2/5/2021,537,545,767,1166,2444,263
2/6/2021,564,564,808,1196,2458,327
2/7/2021,564,565,808,1196,2459,327
2/8/2021,577,584,828,1218,2510,331
2/9/2021,594,600,842,1258,2578,336
3/1/2021,1406,1058,1217,1726,3007,937
3/10/2021,1595,1169,1318,1874,3152,1223
3/11/2021,1631,1185,1334,1902,3185,1242
3/12/2021,1643,1189,1337,1911,3197,1269
3/13/2021,1644,1190,1337,1912,3198,1272
3/14/2021,1644,1190,1337,1912,3200,1272
3/15/2021,1670,1201,1349,1935,3229,1294
3/16/2021,1692,1213,1357,1951,3250,1335
3/17/2021,1725,1224,1368,1963,3271,1357
3/18/2021,1738,1230,1376,1973,3293,1365
3/19/2021,1766,1236,1380,1992,3299,1377
3/2/2021,1445,1072,1238,1746,3032,975
3/20/2021,1766,1237,1382,1993,3303,1380
3/21/2021,1766,1237,1382,1994,3305,1380
3/22/2021,1785,1248,1389,2012,3323,1385
3/23/2021,1795,1254,1392,2022,3340,1395
3/24/2021,1823,1288,1424,2073,3409,1414
3/25/2021,1830,1291,1432,2079,3418,1429
3/26/2021,1832,1295,1436,2085,3424,1436
3/27/2021,1836,1295,1437,2085,3426,1441
3/28/2021,1837,1295,1437,2086,3426,1442
3/29/2021,1848,1302,1446,2099,3439,1446
3/3/2021,1467,1089,1249,1762,3063,1017
3/30/2021,1853,1306,1451,2104,3447,1457
3/31/2021,1859,1316,1466,2119,3458,1477
3/4/2021,1491,1111,1267,1782,3077,1100
3/5/2021,1514,1128,1280,1801,3084,1130
3/6/2021,1521,1136,1284,1805,3089,1148
3/7/2021,1521,1136,1284,1805,3091,1148
3/8/2021,1552,1146,1292,1823,3100,1166
3/9/2021,1570,1158,1303,1849,3123,1194
4/1/2021,1867,1322,1475,2134,3466,1486
4/10/2021,1952,1373,1528,2196,3533,1617
4/11/2021,1954,1373,1529,2197,3533,1619
4/12/2021,1966,1388,1540,2209,3543,1626
4/13/2021,1971,1391,1544,2213,3561,1643
4/14/2021,1978,1394,1546,2215,3567,1656
4/15/2021,1986,1403,1549,2219,3574,1668
4/16/2021,1990,1408,1552,2223,3579,1678
4/17/2021,1990,1410,1553,2223,3582,1681
4/18/2021,1990,1411,1554,2223,3583,1681
4/19/2021,1997,1411,1557,2224,3585,1687
4/2/2021,1874,1326,1478,2138,3468,1497
4/20/2021,2006,1418,1562,2232,3594,1697
4/21/2021,2011,1430,1565,2238,3602,1705
4/22/2021,2020,1436,1568,2249,3613,1716
4/23/2021,2021,1439,1569,2252,3614,1729
4/24/2021,2023,1439,1572,2252,3615,1734
4/25/2021,2025,1439,1572,2253,3617,1735
4/26/2021,2030,1440,1574,2257,3620,1740
4/27/2021,2035,1445,1581,2262,3630,1754
4/28/2021,2048,1446,1586,2264,3638,1761
4/29/2021,2058,1450,1593,2272,3644,1770
4/3/2021,1879,1329,1480,2141,3469,1505
4/30/2021,2064,1454,1594,2274,3650,1779
4/4/2021,1880,1330,1480,2141,3469,1506
4/5/2021,1889,1340,1487,2150,3489,1517
4/6/2021,1902,1349,1497,2159,3507,1537
4/7/2021,1920,1355,1507,2169,3520,1565
4/8/2021,1933,1363,1515,2181,3529,1579
4/9/2021,1941,1369,1521,2187,3532,1604
5/1/2021,2071,1459,1595,2275,3651,1787
5/10/2021,2106,1470,1614,2286,3682,1830
5/11/2021,2111,1471,1616,2288,3688,1834
5/12/2021,2115,1472,1618,2295,3697,1852
5/13/2021,2121,1477,1620,2298,3703,1947
5/14/2021,2126,1479,1623,2300,3704,2117
5/15/2021,2127,1479,1623,2300,3704,2515
5/16/2021,2128,1479,1623,2300,3704,2521
5/17/2021,2136,1485,1624,2303,3706,2713
5/18/2021,2141,1485,1631,2314,3708,2882
5/19/2021,2149,1489,1633,2316,3710,2990
5/2/2021,2071,1459,1596,2275,3651,1787
5/20/2021,2161,1491,1639,2324,3715,3053
5/21/2021,2166,1491,1639,2324,3719,3107
5/22/2021,2167,1491,1641,2326,3720,3144
5/23/2021,2168,1491,1643,2328,3721,3144
5/24/2021,2171,1493,1646,2329,3724,3209
5/25/2021,2178,1496,1652,2335,3731,3256
5/26/2021,2180,1500,1653,2337,3733,3344
5/27/2021,2185,1504,1656,2339,3737,3396
5/28/2021,2189,1504,1658,2342,3739,3447
5/29/2021,2190,1505,1663,2343,3740,3451
5/3/2021,2075,1461,1598,2278,3659,1793
5/30/2021,2191,1508,1663,2343,3740,3451
5/31/2021,2191,1510,1663,2343,3740,3451
5/4/2021,2082,1463,1603,2285,3668,1803
5/5/2021,2084,1467,1606,2285,3669,1808
5/6/2021,2095,1468,1608,2286,3676,1817
5/7/2021,2101,1470,1610,2286,3678,1824
5/8/2021,2102,1470,1610,2286,3679,1825
5/9/2021,2103,1470,1610,2286,3679,1825
6/1/2021,2193,1514,1667,2344,3746,3483
6/10/2021,2216,1531,1682,2358,3764,3784
6/11/2021,2221,1531,1684,2359,3765,3811
6/12/2021,2224,1532,1684,2359,3766,3817
6/13/2021,2224,1532,1685,2359,3766,3819
6/14/2021,2227,1535,1685,2359,3766,3841
6/15/2021,2238,1536,1686,2360,3770,3864
6/16/2021,2243,1538,1687,2360,3772,3886
6/17/2021,2246,1538,1687,2362,3773,3907
6/18/2021,2246,1540,1689,2364,3775,3921
6/19/2021,2246,1541,1689,2364,3776,3922
6/2/2021,2196,1515,1667,2345,3747,3531
6/20/2021,2246,1541,1689,2364,3776,3922
6/21/2021,2247,1541,1689,2364,3777,3952
6/22/2021,2251,1541,1689,2368,3778,3984
6/23/2021,2251,1544,1689,2369,3779,4002
6/24/2021,2252,1544,1691,2369,3781,4016
6/25/2021,2255,1546,1691,2373,3782,4034
6/26/2021,2255,1547,1691,2373,3782,4037
6/27/2021,2256,1548,1692,2373,3782,4037
6/28/2021,2257,1550,1692,2373,3782,4063
6/29/2021,2261,1550,1693,2375,3783,4085
6/3/2021,2199,1519,1669,2346,3749,3547
6/30/2021,2264,1552,1694,2376,3787,4117
6/4/2021,2200,1522,1672,2349,3753,3586
6/5/2021,2201,1522,1673,2349,3753,3613
6/6/2021,2202,1523,1674,2350,3753,3613
6/7/2021,2207,1526,1674,2351,3754,3650
6/8/2021,2213,1529,1677,2352,3759,3702
6/9/2021,2216,1530,1678,2357,3762,3765
7/1/2021,2271,1552,1696,2378,3790,4133
7/10/2021,2286,1564,1702,2389,3799,4236
7/11/2021,2286,1564,1702,2390,3799,4236
7/12/2021,2290,1566,1704,2393,3801,4274
7/13/2021,2298,1568,1706,2394,3803,4290
7/14/2021,2308,1570,1707,2396,3807,4327
7/15/2021,2311,1573,1708,2399,3811,4348
7/16/2021,2317,1575,1709,2401,3811,4377
7/17/2021,2317,1576,1709,2401,3811,4378
7/18/2021,2318,1578,1710,2401,3812,4380
7/19/2021,2322,1580,1710,2402,3812,4398
7/2/2021,2274,1555,1697,2378,3793,4142
7/20/2021,2330,1583,1714,2406,3819,4423
7/21/2021,2333,1586,1721,2412,3821,4450
7/22/2021,2337,1593,1725,2417,3827,4469
7/23/2021,2348,1599,1730,2424,3831,4505
7/24/2021,2351,1599,1730,2424,3831,4505
7/25/2021,2354,1600,1730,2424,3831,4505
7/26/2021,2364,1608,1730,2427,3833,4542
7/27/2021,2371,1612,1732,2438,3841,4584
7/28/2021,2379,1613,1740,2446,3845,4631
7/29/2021,2386,1617,1740,2450,3849,4669
7/3/2021,2276,1555,1698,2378,3793,4142
7/30/2021,2390,1623,1743,2452,3855,4704
7/31/2021,2391,1625,1748,2455,3856,4704
7/4/2021,2277,1555,1698,2378,3793,4142
7/5/2021,2277,1555,1698,2378,3793,4143
7/6/2021,2280,1559,1699,2387,3796,4171
7/7/2021,2281,1562,1699,2387,3796,4191
7/8/2021,2283,1563,1699,2387,3797,4221
7/9/2021,2286,1564,1702,2389,3799,4234
8/1/2021,2391,1625,1748,2456,3856,4704
8/10/2021,2463,1664,1793,2487,3885,4970
8/11/2021,2474,1673,1796,2490,3890,5006
8/12/2021,2485,1677,1805,2492,3899,5038
8/13/2021,2505,1689,1814,2499,3905,5076
8/14/2021,2506,1697,1816,2501,3908,5080
8/15/2021,2509,1697,1817,2503,3908,5081
8/16/2021,2524,1703,1820,2507,3911,5104
8/17/2021,2537,1719,1831,2518,3915,5120
8/18/2021,2543,1728,1846,2525,3919,5141
8/19/2021,2556,1735,1851,2530,3926,5155
8/2/2021,2402,1629,1753,2461,3859,4745
8/20/2021,2569,1740,1859,2537,3932,5172
8/21/2021,2572,1744,1861,2538,3933,5172
8/22/2021,2572,1745,1861,2538,3934,5176
8/23/2021,2579,1752,1865,2544,3938,5194
8/24/2021,2593,1760,1875,2551,3944,5204
8/25/2021,2603,1767,1880,2554,3949,5213
8/26/2021,2621,1772,1889,2564,3961,5223
8/27/2021,2636,1780,1895,2579,3966,5245
8/28/2021,2638,1783,1898,2580,3971,5246
8/29/2021,2638,1784,1898,2581,3971,5246
8/3/2021,2412,1637,1760,2468,3869,4791
8/30/2021,2645,1786,1900,2584,3973,5255
8/31/2021,2654,1792,1904,2591,3977,5260
8/4/2021,2423,1643,1764,2470,3875,4827
8/5/2021,2431,1645,1769,2472,3877,4854
8/6/2021,2440,1651,1777,2479,3880,4897
8/7/2021,2443,1652,1782,2479,3882,4898
8/8/2021,2444,1652,1782,2479,3882,4900
8/9/2021,2454,1660,1790,2481,3883,4947
9/1/2021,2663,1798,1912,2595,3981,5271
9/10/2021,2725,1840,1944,2632,4018,5316
9/11/2021,2726,1844,1946,2633,4019,5316
9/12/2021,2727,1844,1947,2635,4021,5316
9/13/2021,2735,1848,1949,2637,4025,5323
9/14/2021,2744,1850,1955,2642,4026,5331
9/15/2021,2748,1853,1958,2645,4030,5340
9/16/2021,2753,1855,1961,2650,4033,5341
9/17/2021,2762,1862,1968,2656,4037,5354
9/18/2021,2762,1862,1969,2656,4037,5354
9/19/2021,2763,1862,1969,2656,4037,5354
9/2/2021,2670,1809,1916,2606,3990,5271
9/20/2021,2770,1866,1973,2659,4039,5356
9/21/2021,2779,1874,1979,2666,4041,5357
9/22/2021,2785,1875,1985,2668,4044,5360
9/23/2021,2788,1881,1988,2668,4044,5365
9/24/2021,2801,1889,1990,2672,4048,5374
9/25/2021,2804,1894,1993,2676,4056,5374
