date,20-34_La Paz,35-44_La Paz,45-54_La Paz,55-64_La Paz,65+_La Paz,<20_La Paz
1/1/2021,11,6,21,15,16,
1/1/2022,745,564,711,1391,4970,760
1/10/2021,28,20,43,37,33,
1/10/2022,761,568,720,1410,5012,771
1/11/2021,28,20,43,38,36,
1/11/2022,762,569,720,1413,5012,772
1/12/2021,28,20,45,39,42,
1/12/2022,763,570,721,1415,5019,774
1/13/2021,56,48,82,82,66,
1/13/2022,763,570,721,1415,5019,779
1/14/2021,57,48,82,83,71,1
1/14/2022,764,571,722,1417,5022,780
1/15/2021,59,49,82,83,74,1
1/15/2022,764,572,722,1417,5022,781
1/16/2021,59,50,82,84,75,1
1/16/2022,764,572,722,1418,5022,781
1/17/2021,59,50,82,84,77,1
1/17/2022,766,572,723,1419,5022,781
1/18/2021,60,51,82,87,84,1
1/18/2022,767,573,723,1420,5023,782
1/19/2021,60,51,82,87,89,1
1/19/2022,767,573,723,1422,5025,784
1/2/2021,11,6,21,15,16,
1/2/2022,745,564,711,1391,4971,762
1/20/2021,67,55,89,109,105,1
1/20/2022,768,573,723,1424,5025,784
1/21/2021,67,55,90,112,112,1
1/21/2022,770,574,723,1425,5031,790
1/22/2021,67,58,90,112,112,1
1/22/2022,770,574,723,1425,5031,790
1/23/2021,68,59,90,112,115,1
1/23/2022,770,574,723,1425,5032,790
1/24/2021,68,59,90,113,115,1
1/25/2021,69,61,91,115,138,1
1/26/2021,71,61,91,117,159,1
1/27/2021,72,61,94,119,520,1
1/28/2021,75,64,97,125,908,1
1/29/2021,76,64,98,126,928,1
1/3/2021,11,6,21,15,16,
1/3/2022,748,565,712,1393,4977,762
1/30/2021,77,66,98,126,933,1
1/31/2021,77,66,98,127,941,1
1/4/2021,11,8,21,16,16,
1/4/2022,748,565,712,1394,4981,764
1/5/2021,11,8,21,16,18,
1/5/2022,751,565,712,1396,4985,767
1/6/2021,17,12,29,26,21,
1/6/2022,753,565,715,1406,4998,767
1/7/2021,28,20,43,37,33,
1/7/2022,754,566,717,1407,5008,767
1/8/2021,28,20,43,37,33,
