date,Maricopa_cume,Maricopa
2020-12-01,183,
2020-12-02,202,19
2020-12-03,214,12
2020-12-04,220,6
2020-12-05,222,2
2020-12-07,232,10
2020-12-08,241,9
2020-12-09,250,9
2020-12-10,266,16
2020-12-11,274,8
2020-12-12,282,8
2020-12-13,290,8
2020-12-14,304,14
2020-12-15,343,39
2020-12-16,399,56
2020-12-17,1658,1259
2020-12-18,3339,1681
2020-12-19,4999,1660
2020-12-20,6009,1010
2020-12-21,9189,3180
2020-12-22,13296,4107
2020-12-23,18010,4714
2020-12-24,19579,1569
2020-12-25,19585,6
2020-12-26,24549,4964
2020-12-27,26786,2237
2020-12-28,31966,5180
2020-12-29,39813,7847
2020-12-30,48431,8618
2020-12-31,52499,4068
2021-01-01,54126,1627
2021-01-02,60206,6080
2021-01-03,62771,2565
2021-01-04,67526,4755
2021-01-05,71907,4381
2021-01-06,76874,4967
2021-01-07,82258,5384
2021-01-08,86876,4618
2021-01-09,91536,4660
2021-01-10,94158,2622
2021-01-11,103779,9621
2021-01-12,119859,16080
2021-01-13,137124,17265
2021-01-14,153817,16693
2021-01-15,169188,15371
2021-01-16,180735,11547
2021-01-17,189120,8385
2021-01-18,202056,12936
2021-01-19,219814,17758
2021-01-20,238787,18973
2021-01-21,258865,20078
2021-01-22,281125,22260
2021-01-23,300139,19014
2021-01-24,312488,12349
2021-01-25,328911,16423
2021-01-26,351380,22469
2021-01-27,371963,20583
2021-01-28,391072,19109
2021-01-29,412791,21719
2021-01-30,428413,15622
2021-01-31,436530,8117
2021-02-01,455284,18754
2021-02-02,477805,22521
2021-02-03,500158,22353
2021-02-04,525597,25439
2021-02-05,548459,22862
2021-02-06,572586,24127
2021-02-07,585562,12976
2021-02-08,609514,23952
2021-02-09,637087,27573
2021-02-10,663360,26273
2021-02-11,689932,26572
2021-02-12,725728,35796
2021-02-13,753823,28095
2021-02-14,767117,13294
2021-02-15,786911,19794
2021-02-16,814801,27890
2021-02-17,843576,28775
2021-02-18,872127,28551
2021-02-19,900988,28861
2021-02-20,926542,25554
2021-02-21,939819,13277
2021-02-22,958933,19114
2021-02-23,988076,29143
2021-02-24,1019305,31229
2021-02-25,1049307,30002
2021-02-26,1086247,36940
2021-02-27,1116969,30722
2021-02-28,1134515,17546
2021-03-01,1161791,27276
2021-03-02,1189821,28030
2021-03-03,1219855,30034
2021-03-04,1250781,30926
2021-03-05,1282990,32209
2021-03-06,1310247,27257
2021-03-07,1327836,17589
2021-03-08,1357571,29735
2021-03-09,1389427,31856
2021-03-10,1424850,35423
2021-03-11,1461603,36753
2021-03-12,1503049,41446
2021-03-13,1534498,31449
2021-03-14,1554425,19927
2021-03-15,1582724,28299
2021-03-16,1613814,31090
2021-03-17,1650018,36204
2021-03-18,1686135,36117
2021-03-19,1720656,34521
2021-03-20,1752344,31688
2021-03-21,1774498,22154
2021-03-22,1800802,26304
2021-03-23,1827717,26915
2021-03-24,1863776,36059
2021-03-25,1904801,41025
2021-03-26,1945364,40563
2021-03-27,1980924,35560
2021-03-28,2008212,27288
2021-03-29,2047347,39135
2021-03-30,2087545,40198
2021-03-31,2132534,44989
2021-04-01,2180829,48295
2021-04-02,2223147,42318
2021-04-03,2254975,31828
2021-04-04,2267396,12421
2021-04-05,2302257,34861
2021-04-06,2341207,38950
2021-04-07,2385323,44116
2021-04-08,2430669,45346
2021-04-09,2471731,41062
2021-04-10,2503555,31824
2021-04-11,2525815,22260
2021-04-12,2556862,31047
2021-04-13,2587403,30541
2021-04-14,2621735,34332
2021-04-15,2658605,36870
2021-04-16,2695033,36428
2021-04-17,2723307,28274
2021-04-18,2744514,21207
2021-04-19,2777037,32523
2021-04-20,2810313,33276
2021-04-21,2847864,37551
2021-04-22,2885674,37810
2021-04-23,2919391,33717
2021-04-24,2943584,24193
2021-04-25,2961095,17511
2021-04-26,2987776,26681
2021-04-27,3014813,27037
2021-04-28,3042607,27794
2021-04-29,3068339,25732
2021-04-30,3094298,25959
2021-05-01,3112848,18550
2021-05-02,3128285,15437
2021-05-03,3144886,16601
2021-05-04,3168828,23942
2021-05-05,3187766,18938
2021-05-06,3210619,22853
2021-05-07,3234463,23844
2021-05-08,3253216,18753
2021-05-09,3262666,9450
2021-05-10,3278678,16012
2021-05-11,3295583,16905
2021-05-12,3313924,18341
2021-05-13,3338278,24354
2021-05-14,3362602,24324
2021-05-15,3382382,19780
2021-05-16,3394278,11896
2021-05-17,3413846,19568
2021-05-18,3431133,17287
2021-05-19,3454422,23289
2021-05-20,3473609,19187
2021-05-21,3495136,21527
2021-05-22,3512546,17410
2021-05-23,3520163,7617
2021-05-24,3534441,14278
2021-05-25,3547247,12806
2021-05-26,3561434,14187
2021-05-27,3574438,13004
2021-05-28,3588899,14461
2021-05-29,3598275,9376
2021-05-30,3603575,5300
2021-05-31,3606511,2936
2021-06-01,3619764,13253
2021-06-02,3631417,11653
2021-06-03,3645759,14342
2021-06-04,3661798,16039
2021-06-05,3675387,13589
2021-06-06,3682102,6715
2021-06-07,3694101,11999
2021-06-08,3705559,11458
2021-06-09,3716938,11379
2021-06-10,3729868,12930
2021-06-11,3746225,16357
2021-06-12,3757665,11440
2021-06-13,3763362,5697
2021-06-14,3773990,10628
2021-06-15,3784199,10209
2021-06-16,3794330,10131
2021-06-17,3803819,9489
2021-06-18,3815673,11854
2021-06-19,3823046,7373
2021-06-20,3826986,3940
2021-06-21,3833951,6965
2021-06-22,3841794,7843
2021-06-23,3850059,8265
2021-06-24,3857718,7659
2021-06-25,3867429,9711
2021-06-26,3874249,6820
2021-06-27,3878391,4142
2021-06-28,3885745,7354
2021-06-29,3892788,7043
2021-06-30,3899877,7089
2021-07-01,3906985,7108
2021-07-02,3915138,8153
2021-07-03,3920306,5168
2021-07-04,3921169,863
2021-07-05,3927412,6243
2021-07-06,3933951,6539
2021-07-07,3940529,6578
2021-07-08,3946897,6368
2021-07-09,3957004,10107
2021-07-10,3964216,7212
2021-07-11,3967868,3652
2021-07-12,3974634,6766
2021-07-13,3980603,5969
2021-07-14,3986667,6064
2021-07-15,3992684,6017
2021-07-16,4000910,8226
2021-07-17,4006411,5501
2021-07-18,4010013,3602
2021-07-19,4017840,7827
2021-07-20,4024850,7010
2021-07-21,4032611,7761
2021-07-22,4040549,7938
2021-07-23,4050514,9965
2021-07-24,4057625,7111
2021-07-25,4062282,4657
2021-07-26,4070963,8681
2021-07-27,4079361,8398
2021-07-28,4087904,8543
2021-07-29,4096468,8564
2021-07-30,4109086,12618
2021-07-31,4117749,8663
2021-08-01,4123241,5492
2021-08-02,4132570,9329
2021-08-03,4140801,8231
2021-08-04,4149484,8683
2021-08-05,4157915,8431
2021-08-06,4169702,11787
2021-08-07,4178525,8823
2021-08-08,4183861,5336
2021-08-09,4193178,9317
2021-08-10,4201738,8560
2021-08-11,4210440,8702
2021-08-12,4219602,9162
2021-08-13,4231432,11830
2021-08-14,4240843,9411
2021-08-15,4246680,5837
2021-08-16,4257141,10461
2021-08-17,4267012,9871
2021-08-18,4276879,9867
2021-08-19,4286318,9439
2021-08-20,4298918,12600
2021-08-21,4307797,8879
2021-08-22,4313252,5455
2021-08-23,4323555,10303
2021-08-24,4333138,9583
2021-08-25,4342683,9545
