date,20-34_Mohave,35-44_Mohave,45-54_Mohave,55-64_Mohave,65+_Mohave,<20_Mohave
1/1/2021,287,385,439,501,365,7
1/1/2022,8859,6787,9279,18062,45137,3952
1/10/2021,435,555,648,750,849,11
1/10/2022,9018,6883,9385,18242,45333,4100
1/11/2021,452,569,678,788,948,11
1/11/2022,9034,6891,9398,18265,45363,4117
1/12/2021,472,592,707,836,1114,11
1/12/2022,9044,6897,9409,18280,45390,4126
1/13/2021,491,623,745,883,1285,12
1/13/2022,9064,6905,9416,18292,45416,4140
1/14/2021,526,652,794,951,1491,14
1/14/2022,9086,6918,9433,18311,45440,4186
1/15/2021,552,696,831,1019,1726,14
1/15/2022,9097,6926,9436,18318,45450,4197
1/16/2021,563,713,847,1058,1998,15
1/16/2022,9101,6929,9440,18321,45453,4200
1/17/2021,564,716,847,1060,2023,15
1/17/2022,9108,6933,9451,18338,45470,4206
1/18/2021,582,736,875,1095,2263,15
1/18/2022,9117,6943,9458,18350,45491,4217
1/19/2021,600,756,907,1151,2454,16
1/19/2022,9127,6952,9463,18360,45517,4224
1/2/2021,293,395,448,512,378,7
1/2/2022,8873,6792,9285,18077,45145,3957
1/20/2021,634,786,932,1218,2732,16
1/20/2022,9132,6957,9465,18366,45530,4228
1/21/2021,652,812,959,1260,2914,16
1/21/2022,9147,6966,9476,18376,45546,4250
1/22/2021,680,835,986,1309,3159,16
1/22/2022,9154,6969,9480,18380,45553,4251
1/23/2021,693,845,995,1328,3765,16
1/23/2022,9157,6969,9484,18381,45557,4253
1/24/2021,693,851,1004,1334,4292,16
1/24/2022,9160,6973,9489,18390,45569,4256
1/25/2021,699,858,1015,1355,4562,17
1/26/2021,714,865,1024,1381,4923,17
1/27/2021,738,884,1051,1430,5344,17
1/28/2021,756,908,1082,1478,5879,17
1/29/2021,771,917,1096,1507,6265,17
1/3/2021,295,396,457,518,386,7
1/3/2022,8889,6801,9302,18107,45188,3975
1/30/2021,776,922,1108,1526,6568,17
1/31/2021,779,923,1115,1538,7043,17
1/4/2021,313,426,489,563,454,8
1/4/2022,8911,6812,9319,18134,45212,3990
1/5/2021,328,449,511,591,498,8
1/5/2022,8937,6825,9332,18159,45248,4001
1/6/2021,367,483,551,654,572,9
1/6/2022,8950,6834,9345,18185,45276,4019
1/7/2021,393,512,595,689,689,11
1/7/2022,8969,6855,9365,18209,45301,4064
1/8/2021,424,545,634,731,798,11
1/8/2022,8991,6865,9375,18222,45315,4084
1/9/2021,430,553,643,744,816,11
1/9/2022,9002,6873,9379,18227,45318,4088
10/1/2021,7485,6012,8309,16491,41618,2874
10/10/2021,7610,6077,8381,16588,41743,2921
10/11/2021,7623,6088,8390,16604,41760,2926
10/12/2021,7645,6099,8404,16616,41783,2930
10/13/2021,7656,6110,8414,16625,41808,2935
10/14/2021,7672,6113,8429,16637,41834,2943
10/15/2021,7704,6132,8446,16647,41859,2958
10/16/2021,7720,6142,8457,16649,41865,2966
10/17/2021,7728,6143,8459,16653,41869,2969
10/18/2021,7760,6151,8473,16667,41885,2970
10/19/2021,7779,6165,8481,16682,41909,2983
10/2/2021,7494,6023,8315,16500,41637,2877
10/20/2021,7788,6174,8492,16689,41925,2985
10/21/2021,7811,6180,8502,16699,41940,2988
10/22/2021,7832,6199,8527,16710,41988,2995
10/23/2021,7839,6205,8533,16718,42037,2998
10/24/2021,7843,6207,8535,16724,42054,3002
10/25/2021,7857,6213,8549,16747,42144,3002
10/26/2021,7873,6220,8558,16761,42209,3005
10/27/2021,7885,6226,8574,16781,42286,3010
10/28/2021,7901,6231,8584,16807,42356,3015
10/29/2021,7919,6239,8593,16837,42413,3025
10/3/2021,7499,6025,8315,16500,41642,2881
10/30/2021,7927,6242,8604,16848,42442,3027
10/31/2021,7933,6243,8612,16852,42453,3028
10/4/2021,7517,6029,8326,16516,41659,2885
10/5/2021,7536,6041,8333,16530,41680,2892
10/6/2021,7559,6051,8336,16548,41698,2894
10/7/2021,7581,6058,8348,16563,41712,2896
10/8/2021,7600,6070,8364,16582,41735,2917
10/9/2021,7609,6076,8372,16587,41741,2920
11/1/2021,7938,6246,8617,16871,42512,3036
11/10/2021,8042,6314,8693,17001,42972,3198
11/11/2021,8066,6330,8716,17023,43050,3220
11/12/2021,8090,6346,8738,17061,43088,3246
11/13/2021,8106,6351,8745,17075,43112,3263
11/14/2021,8112,6355,8749,17080,43136,3269
11/15/2021,8134,6359,8769,17098,43206,3282
11/16/2021,8159,6370,8786,17110,43255,3298
11/17/2021,8185,6385,8801,17140,43313,3311
11/18/2021,8215,6403,8812,17168,43373,3328
11/19/2021,8245,6425,8839,17202,43436,3373
11/2/2021,7947,6253,8629,16884,42561,3037
11/20/2021,8259,6430,8846,17219,43465,3408
11/21/2021,8271,6440,8853,17236,43496,3426
11/22/2021,8302,6452,8863,17265,43550,3437
11/23/2021,8324,6455,8883,17294,43592,3456
11/24/2021,8337,6464,8893,17311,43619,3470
11/25/2021,8337,6465,8893,17311,43619,3470
11/26/2021,8363,6474,8904,17332,43646,3487
11/27/2021,8368,6483,8916,17347,43668,3496
11/28/2021,8377,6489,8920,17361,43684,3504
11/29/2021,8407,6511,8931,17386,43733,3511
11/3/2021,7966,6258,8634,16899,42615,3040
11/30/2021,8431,6523,8942,17409,43789,3523
11/4/2021,7977,6270,8641,16911,42695,3048
11/5/2021,7991,6277,8653,16923,42757,3064
11/6/2021,7998,6286,8662,16938,42781,3133
11/7/2021,8000,6286,8664,16943,42790,3150
11/8/2021,8012,6301,8672,16954,42867,3161
11/9/2021,8030,6308,8683,16980,42919,3173
12/1/2020,,,,,1,
12/1/2021,8464,6539,8960,17432,43850,3536
12/10/2020,,,,,1,
12/10/2021,8593,6628,9079,17669,44341,3662
12/11/2020,,,,,1,
12/11/2021,8606,6641,9087,17688,44387,3667
12/12/2020,,,,1,1,
12/12/2021,8614,6645,9094,17690,44425,3682
12/13/2020,,,,1,1,
12/13/2021,8626,6653,9108,17709,44480,3686
12/14/2020,,,,1,1,
12/14/2021,8635,6658,9114,17720,44538,3693
12/15/2020,,,,1,1,
12/15/2021,8644,6662,9121,17747,44607,3701
12/16/2020,,,1,2,1,
12/16/2021,8655,6666,9129,17764,44660,3720
12/17/2020,,,1,2,1,
12/17/2021,8668,6673,9144,17792,44715,3742
12/18/2020,,1,1,3,1,
12/18/2021,8676,6674,9152,17806,44735,3755
12/19/2020,,1,1,3,1,
12/19/2021,8682,6681,9160,17814,44751,3762
12/2/2020,,,,,1,
12/2/2021,8480,6556,8979,17467,43905,3549
12/20/2020,,2,1,3,1,
12/20/2021,8707,6687,9183,17850,44822,3769
12/21/2020,1,2,5,7,4,
12/21/2021,8728,6698,9192,17885,44886,3792
12/22/2020,5,13,24,23,14,
12/22/2021,8741,6712,9204,17915,44931,3807
12/23/2020,32,54,76,79,48,
12/23/2021,8753,6725,9218,17933,44974,3835
