date,Gila_cume,Gila
2021-09-09,44285,88
2021-09-10,44367,82
2021-09-11,44408,41
2021-09-12,44437,29
2021-09-13,44508,71
2021-09-14,44570,62
2021-09-15,44654,84
2021-09-16,44728,74
2021-09-17,44788,60
2021-09-18,44881,93
2021-09-19,44897,16
2021-09-20,44950,53
2021-09-21,45010,60
2021-09-22,45048,38
2021-09-23,45127,79
2021-09-24,45176,49
2021-09-25,45205,29
2021-09-26,45222,17
2021-09-27,45274,52
2021-09-28,45330,56
2021-09-29,45381,51
2021-09-30,45424,43
2021-10-01,45535,111
2021-10-02,45566,31
2021-10-03,45574,8
2021-10-04,45640,66
2021-10-05,45699,59
2021-10-06,45750,51
2021-10-07,45807,57
2021-10-08,45843,36
2021-10-09,45873,30
2021-10-10,45884,11
2021-10-11,45920,36
2021-10-12,45969,49
2021-10-13,46039,70
2021-10-14,46101,62
2021-10-15,46142,41
2021-10-16,46151,9
2021-10-17,46158,7
2021-10-18,46197,39
2021-10-19,46231,34
2021-10-20,46297,66
2021-10-21,46386,89
2021-10-22,46529,143
2021-10-23,46647,118
2021-10-24,46703,56
2021-10-25,46924,221
2021-10-26,47137,213
2021-10-27,47354,217
2021-10-28,47618,264
2021-10-29,47814,196
2021-10-30,47884,70
2021-10-31,47936,52
2021-11-01,48266,330
2021-11-02,48463,197
2021-11-03,48820,357
2021-11-04,49074,254
2021-11-05,49350,276
2021-11-06,49405,55
2021-11-07,49441,36
2021-11-08,49760,319
2021-11-09,49960,200
2021-11-10,50216,256
2021-11-11,50447,231
2021-11-12,50660,213
2021-11-13,50733,73
2021-11-14,50776,43
2021-11-15,51103,327
2021-11-16,51299,196
2021-11-17,51561,262
2021-11-18,51826,265
2021-11-19,52062,236
2021-11-20,52144,82
2021-11-21,52187,43
2021-11-22,52607,420
2021-11-23,52827,220
2021-11-24,52970,143
2021-11-26,53079,109
2021-11-27,53125,46
2021-11-28,53172,47
2021-11-29,53444,272
2021-11-30,53674,230
2021-12-01,53917,243
2021-12-02,54152,235
2021-12-03,54347,195
2021-12-04,54485,138
2021-12-05,54522,37
2021-12-06,54776,254
2021-12-07,54876,100
2021-12-08,55112,236
2021-12-09,55264,152
2021-12-10,55465,201
2021-12-11,55519,54
2021-12-12,55559,40
2021-12-13,55767,208
2021-12-14,55863,96
2021-12-15,55970,107
2021-12-16,56206,236
2021-12-17,56366,160
2021-12-18,56425,59
2021-12-19,56468,43
2021-12-20,56602,134
2021-12-21,56741,139
2021-12-22,56892,151
2021-12-23,56992,100
2021-12-24,57019,27
2021-12-25,57022,3
2021-12-26,57049,27
2021-12-27,57212,163
2021-12-28,57317,105
2021-12-29,57430,113
2021-12-30,57623,193
2021-12-31,57698,75
2022-01-01,57708,10
2022-01-02,57723,15
2022-01-03,57857,134
2022-01-04,57952,95
2022-01-05,58112,160
2022-01-06,58281,169
2022-01-07,58438,157
2022-01-08,58485,47
2022-01-09,58506,21
2022-01-10,58604,98
2022-01-11,58799,195
2022-01-12,58923,124
2022-01-13,59018,95
2022-01-14,59184,166
2022-01-15,59217,33
2022-01-16,59227,10
2022-01-17,59295,68
2022-01-18,59356,61
2022-01-19,59450,94
2022-01-20,59526,76
2022-01-21,59565,39
2022-01-22,59581,16
2022-01-23,59596,15
2022-01-24,59626,30
