date,20-34_Graham,35-44_Graham,45-54_Graham,55-64_Graham,65+_Graham,<20_Graham
1/1/2021,163,177,156,182,237,3
1/1/2022,3655,2683,2521,2835,4438,2302
1/10/2021,255,288,289,298,510,4
1/10/2022,3697,2698,2532,2849,4449,2415
1/11/2021,261,300,296,312,547,4
1/11/2022,3698,2701,2532,2849,4451,2437
1/12/2021,270,307,310,340,604,6
1/12/2022,3703,2703,2534,2851,4453,2449
1/13/2021,280,317,321,358,693,6
1/13/2022,3713,2708,2541,2853,4457,2475
1/14/2021,293,347,346,402,805,6
1/14/2022,3723,2716,2542,2855,4457,2515
1/15/2021,401,461,454,526,930,21
1/15/2022,3724,2717,2548,2855,4457,2515
1/16/2021,402,461,454,526,984,21
1/16/2022,3724,2717,2548,2855,4457,2515
1/17/2021,402,461,454,526,985,21
1/17/2022,3730,2720,2549,2857,4457,2520
1/18/2021,414,465,465,540,1031,21
1/18/2022,3737,2720,2549,2859,4458,2535
1/19/2021,421,479,473,560,1073,22
1/19/2022,3741,2722,2549,2859,4458,2544
1/2/2021,164,177,156,183,238,3
1/2/2022,3655,2683,2523,2835,4438,2303
1/20/2021,444,487,487,578,1133,22
1/20/2022,3752,2725,2550,2859,4460,2571
1/21/2021,457,493,496,600,1239,23
1/21/2022,3765,2726,2550,2860,4460,2589
1/22/2021,524,548,531,641,1297,27
1/22/2022,3766,2726,2550,2861,4460,2590
1/23/2021,530,559,541,648,1506,27
1/23/2022,3767,2727,2550,2861,4460,2590
1/24/2021,530,559,543,648,1506,27
1/24/2022,3776,2731,2550,2862,4461,2610
1/25/2021,541,568,556,666,1536,28
1/25/2022,3780,2733,2551,2863,4461,2619
1/26/2021,549,572,559,673,1602,28
1/26/2022,3783,2733,2552,2864,4462,2628
1/27/2021,562,580,578,685,1668,29
1/27/2022,3792,2735,2555,2865,4465,2634
1/28/2021,584,608,610,711,1732,29
1/28/2022,3797,2737,2557,2869,4466,2662
1/29/2021,628,640,629,744,1947,35
1/29/2022,3800,2740,2558,2869,4466,2669
1/3/2021,164,177,156,183,238,3
1/3/2022,3661,2686,2523,2836,4439,2314
1/30/2021,662,664,651,752,1953,38
1/30/2022,3801,2740,2558,2869,4466,2669
1/31/2021,662,664,651,753,1953,38
1/31/2022,3801,2742,2559,2870,4467,2677
1/4/2021,183,208,184,201,273,3
1/4/2022,3662,2688,2523,2838,4440,2328
1/5/2021,193,222,198,215,329,3
1/5/2022,3665,2688,2524,2840,4440,2339
1/6/2021,211,245,215,234,367,4
1/6/2022,3676,2691,2525,2842,4444,2354
1/7/2021,233,258,237,252,454,4
1/7/2022,3684,2695,2527,2842,4446,2394
1/8/2021,255,288,289,298,509,4
1/8/2022,3686,2697,2529,2845,4447,2405
1/9/2021,255,288,289,298,510,4
1/9/2022,3689,2697,2529,2845,4447,2406
10/1/2021,3245,2460,2350,2704,4295,1467
10/10/2021,3282,2482,2368,2710,4304,1483
10/11/2021,3288,2489,2370,2710,4305,1485
10/12/2021,3290,2492,2374,2711,4307,1488
10/13/2021,3294,2492,2376,2713,4308,1490
10/14/2021,3302,2498,2381,2713,4308,1491
10/15/2021,3315,2504,2384,2715,4309,1493
10/16/2021,3320,2505,2385,2715,4310,1495
10/17/2021,3322,2506,2385,2715,4310,1495
10/18/2021,3327,2510,2388,2715,4311,1497
10/19/2021,3330,2513,2391,2716,4312,1500
10/2/2021,3246,2461,2350,2704,4295,1471
10/20/2021,3335,2515,2391,2717,4312,1504
10/21/2021,3344,2520,2392,2719,4314,1510
10/22/2021,3350,2523,2395,2723,4314,1518
10/23/2021,3352,2524,2395,2724,4315,1521
10/24/2021,3352,2524,2395,2726,4315,1522
10/25/2021,3358,2525,2395,2728,4317,1523
10/26/2021,3363,2527,2396,2728,4319,1524
10/27/2021,3369,2529,2396,2729,4322,1526
10/28/2021,3377,2545,2402,2731,4323,1538
10/29/2021,3380,2547,2405,2732,4325,1543
10/3/2021,3246,2463,2350,2704,4295,1471
10/30/2021,3384,2547,2407,2733,4327,1543
10/31/2021,3385,2547,2407,2733,4327,1543
10/4/2021,3248,2467,2354,2705,4295,1472
10/5/2021,3256,2470,2357,2705,4297,1474
10/6/2021,3261,2471,2361,2706,4299,1474
10/7/2021,3271,2477,2364,2707,4301,1478
10/8/2021,3275,2479,2365,2707,4303,1483
10/9/2021,3279,2480,2367,2709,4303,1483
11/1/2021,3388,2547,2408,2733,4328,1546
11/10/2021,3427,2564,2421,2745,4345,1632
11/11/2021,3428,2565,2422,2745,4345,1641
11/12/2021,3432,2567,2427,2748,4347,1659
11/13/2021,3433,2568,2428,2749,4348,1664
11/14/2021,3434,2568,2428,2749,4349,1664
11/15/2021,3443,2569,2431,2753,4354,1677
11/16/2021,3448,2573,2434,2754,4356,1693
11/17/2021,3453,2577,2437,2759,4357,1707
11/18/2021,3459,2580,2443,2763,4360,1765
11/19/2021,3466,2583,2449,2767,4363,1810
11/2/2021,3391,2548,2409,2734,4331,1551
11/20/2021,3467,2584,2450,2767,4365,1813
11/21/2021,3470,2585,2450,2768,4365,1815
11/22/2021,3480,2588,2452,2770,4366,1825
11/23/2021,3485,2593,2454,2770,4368,1836
11/24/2021,3492,2599,2455,2771,4368,1846
11/25/2021,3492,2599,2455,2771,4368,1846
11/26/2021,3496,2599,2457,2771,4368,1857
11/27/2021,3499,2599,2460,2771,4368,1858
11/28/2021,3500,2599,2460,2772,4368,1858
11/29/2021,3504,2602,2463,2778,4369,1868
11/3/2021,3393,2550,2410,2734,4333,1554
11/30/2021,3517,2609,2466,2786,4373,1876
11/4/2021,3399,2552,2413,2736,4338,1557
11/5/2021,3408,2554,2416,2740,4339,1594
11/6/2021,3410,2556,2417,2740,4340,1595
11/7/2021,3410,2557,2418,2741,4340,1596
11/8/2021,3414,2560,2419,2742,4342,1611
11/9/2021,3421,2561,2419,2742,4343,1623
12/1/2021,3523,2613,2468,2786,4375,1889
12/10/2021,3578,2642,2492,2811,4408,2027
12/11/2021,3580,2643,2493,2813,4408,2028
12/12/2021,3580,2643,2494,2813,4408,2029
12/13/2021,3583,2645,2497,2816,4413,2034
12/14/2021,3590,2648,2498,2817,4415,2040
12/15/2021,3593,2653,2500,2818,4415,2045
12/16/2021,3600,2659,2503,2821,4422,2114
12/17/2020,23,17,11,19,8,1
12/17/2021,3607,2665,2506,2823,4423,2138
12/18/2020,39,35,21,37,13,1
12/18/2021,3608,2665,2506,2824,4424,2138
12/19/2020,39,35,21,37,13,1
12/19/2021,3609,2666,2506,2824,4424,2145
12/2/2021,3532,2618,2471,2790,4382,1917
12/20/2020,39,35,21,37,13,1
12/20/2021,3614,2666,2510,2824,4424,2154
12/21/2020,53,45,30,46,17,1
12/21/2021,3619,2668,2512,2828,4428,2164
12/22/2020,58,59,36,58,23,1
12/22/2021,3625,2670,2515,2830,4430,2177
12/23/2020,87,89,71,81,32,1
12/23/2021,3625,2670,2517,2830,4431,2187
12/24/2020,100,99,76,94,42,1
12/24/2021,3629,2670,2517,2830,4431,2190
12/25/2020,100,99,76,94,42,1
12/25/2021,3629,2670,2517,2830,4431,2191
12/26/2020,101,101,77,96,46,1
12/26/2021,3630,2670,2517,2830,4431,2192
12/27/2020,102,101,78,96,46,1
12/27/2021,3636,2674,2518,2832,4432,2209
12/28/2020,123,122,93,125,110,2
12/28/2021,3642,2676,2518,2832,4435,2225
12/29/2020,144,146,118,140,177,2
12/29/2021,3648,2678,2518,2832,4436,2240
12/3/2021,3543,2627,2474,2798,4390,1963
12/30/2020,155,167,139,168,212,3
12/30/2021,3651,2682,2519,2835,4438,2275
12/31/2020,163,176,153,182,235,3
12/31/2021,3655,2683,2521,2835,4438,2301
12/4/2021,3546,2631,2476,2800,4394,1966
12/5/2021,3547,2632,2477,2800,4395,1967
12/6/2021,3550,2634,2479,2803,4398,1979
12/7/2021,3556,2635,2484,2805,4399,1984
12/8/2021,3560,2636,2484,2805,4400,1998
12/9/2021,3563,2637,2489,2809,4408,2005
2/1/2021,672,672,661,758,1995,39
2/1/2022,3805,2743,2560,2872,4467,2681
2/10/2021,806,738,742,848,2677,51
2/11/2021,825,764,775,882,2726,54
2/12/2021,862,789,798,924,2774,59
2/13/2021,865,792,798,936,2905,59
2/14/2021,865,792,799,936,2905,59
2/15/2021,869,796,803,937,2919,59
2/16/2021,885,808,812,953,2954,62
2/17/2021,898,820,821,962,2991,63
2/18/2021,935,858,859,987,3013,72
2/19/2021,971,880,882,1011,3039,73
2/2/2021,682,680,671,769,2055,39
2/2/2022,3806,2744,2560,2873,4467,2684
2/20/2021,981,885,889,1019,3053,89
2/21/2021,981,885,889,1019,3053,89
2/22/2021,995,891,899,1030,3072,92
2/23/2021,1013,905,911,1047,3105,94
2/24/2021,1035,917,927,1066,3137,97
2/25/2021,1060,935,945,1084,3157,98
2/26/2021,1068,945,956,1103,3185,98
2/27/2021,1074,955,958,1103,3187,99
2/28/2021,1074,955,960,1103,3193,99
2/3/2021,695,690,675,776,2157,39
2/3/2022,3808,2746,2564,2873,4467,2698
2/4/2021,700,695,681,788,2250,39
2/4/2022,3811,2746,2564,2873,4469,2704
2/5/2021,715,704,700,810,2322,40
2/6/2021,746,717,711,823,2512,42
2/7/2021,746,717,711,823,2512,42
2/8/2021,776,727,717,828,2552,50
2/9/2021,786,732,725,834,2620,51
3/1/2021,1095,970,976,1124,3208,106
3/10/2021,1231,1059,1084,1377,3345,117
3/11/2021,1246,1067,1098,1422,3370,117
3/12/2021,1269,1086,1108,1475,3392,120
3/13/2021,1275,1089,1114,1545,3408,122
3/14/2021,1276,1089,1114,1545,3408,122
3/15/2021,1287,1102,1131,1610,3467,124
3/16/2021,1291,1112,1141,1650,3491,124
3/17/2021,1311,1126,1160,1696,3519,126
3/18/2021,1329,1136,1181,1720,3543,128
3/19/2021,1356,1144,1192,1735,3556,133
3/2/2021,1125,985,997,1156,3218,109
