date,Santa Cruz_cume,Santa Cruz
2020-12-01,1,
2020-12-03,2,1
2020-12-17,9,7
2020-12-18,16,7
2020-12-19,19,3
2020-12-20,21,2
2020-12-21,23,2
2020-12-22,70,47
2020-12-23,93,23
2020-12-24,118,25
2020-12-26,124,6
2020-12-28,166,42
2020-12-29,226,60
2020-12-30,297,71
2020-12-31,360,63
2021-01-01,395,35
2021-01-02,396,1
2021-01-03,402,6
2021-01-04,471,69
2021-01-05,548,77
2021-01-06,667,119
2021-01-07,835,168
2021-01-08,996,161
2021-01-09,1004,8
2021-01-10,1009,5
2021-01-11,1110,101
2021-01-12,1248,138
2021-01-13,1462,214
2021-01-14,1681,219
2021-01-15,1899,218
2021-01-16,1914,15
2021-01-17,1922,8
2021-01-18,1946,24
2021-01-19,2056,110
2021-01-20,2488,432
2021-01-21,2893,405
2021-01-22,3431,538
2021-01-23,3454,23
2021-01-24,3463,9
2021-01-25,3582,119
2021-01-26,4016,434
2021-01-27,4219,203
2021-01-28,4728,509
2021-01-29,5186,458
2021-01-30,5262,76
2021-01-31,5305,43
2021-02-01,5497,192
2021-02-02,6105,608
2021-02-03,6331,226
2021-02-04,6919,588
2021-02-05,7609,690
2021-02-06,7644,35
2021-02-07,7658,14
2021-02-08,7835,177
2021-02-09,8393,558
2021-02-10,9053,660
2021-02-11,9682,629
2021-02-12,10317,635
2021-02-13,10797,480
2021-02-14,11227,430
2021-02-15,11336,109
2021-02-16,11446,110
2021-02-17,11494,48
2021-02-18,11545,51
2021-02-19,11645,100
2021-02-20,11688,43
2021-02-21,11704,16
2021-02-22,11773,69
2021-02-23,12405,632
2021-02-24,13240,835
2021-02-25,14004,764
2021-02-26,14844,840
2021-02-27,14977,133
2021-02-28,15058,81
2021-03-01,15352,294
2021-03-02,16305,953
2021-03-03,17114,809
2021-03-04,17975,861
2021-03-05,18803,828
2021-03-06,18920,117
2021-03-07,18984,64
2021-03-08,19213,229
2021-03-09,19915,702
2021-03-10,20739,824
2021-03-11,21524,785
2021-03-12,22270,746
2021-03-13,22811,541
2021-03-14,23241,430
2021-03-15,23490,249
2021-03-16,24277,787
2021-03-17,25075,798
2021-03-18,25831,756
2021-03-19,26758,927
2021-03-20,26885,127
2021-03-21,27002,117
2021-03-22,27272,270
2021-03-23,28096,824
2021-03-24,28915,819
2021-03-25,29692,777
2021-03-26,30556,864
2021-03-27,30707,151
2021-03-28,30785,78
2021-03-29,31076,291
2021-03-30,32066,990
2021-03-31,33013,947
2021-04-01,34045,1032
2021-04-02,34843,798
2021-04-03,34966,123
2021-04-04,35036,70
2021-04-05,35726,690
2021-04-06,36560,834
2021-04-07,37453,893
2021-04-08,38343,890
2021-04-09,39191,848
2021-04-10,39832,641
2021-04-11,39909,77
2021-04-12,40363,454
2021-04-13,41262,899
2021-04-14,42232,970
2021-04-15,43175,943
2021-04-16,44225,1050
2021-04-17,44389,164
2021-04-18,44490,101
2021-04-19,44800,310
2021-04-20,45668,868
2021-04-21,46503,835
2021-04-22,47368,865
2021-04-23,48240,872
2021-04-24,48673,433
2021-04-25,48742,69
2021-04-26,49380,638
2021-04-27,50235,855
2021-04-28,50952,717
2021-04-29,51676,724
2021-04-30,52317,641
2021-05-01,52439,122
2021-05-02,52499,60
2021-05-03,53019,520
2021-05-04,53640,621
2021-05-05,54394,754
2021-05-06,55023,629
2021-05-07,55704,681
2021-05-08,55795,91
2021-05-09,55837,42
2021-05-10,56282,445
