Category,value
Apache,572
Cochise,519
Coconino,444
Gila,343
Graham,165
Greenlee,30
La Paz,118
Maricopa,"14,984"
Mohave,"1,300"
Navajo,821
Pima,"3,494"
Pinal,"1,466"
Santa Cruz,214
Yavapai,"1,089"
Yuma,"1,069"
Female,11019
Male,15595
20-44y,1477
45-54y,2119
55-64y,4245
65+,18728
<20y,59
"White, non-Hispanic",14049
Hispanic or Latino,7145
"American Indian or Alaska Native, non-Hispanic",1872
"Black or African American, non-Hispanic",816
"Asian or Pacific Islander, non-Hispanic",314
Other Race,732
Unknown,1700
