date,20-34,35-44,45-54,55-64,65+,<20
1/1/2021,21209,22618,20544,17889,11517,211
1/10/2021,34973,34722,32592,29461,27804,501
1/11/2021,36917,36533,34540,31122,31528,562
1/12/2021,39740,39218,37321,33634,39019,681
1/13/2021,42533,42135,40391,36334,47716,777
1/14/2021,45317,45176,43613,39322,57011,850
1/15/2021,48816,48409,46965,42418,65985,978
1/16/2021,50625,49991,48632,44023,71330,1027
1/17/2021,51740,51012,49708,45109,74768,1072
1/18/2021,53397,52550,51445,46839,82514,1121
1/19/2021,55442,54429,53474,49012,92532,1223
1/2/2021,23129,24309,22074,19299,12514,244
1/20/2021,57867,56942,56390,51945,104709,1355
1/21/2021,60588,59806,59725,55413,120336,1509
1/22/2021,65119,63946,64343,60268,135930,1686
1/23/2021,68436,66718,67444,63431,146411,1843
1/24/2021,69981,68108,68967,65115,154036,1898
1/25/2021,72387,70249,71562,68014,167572,1984
1/26/2021,75331,72765,74456,71245,184765,2103
1/27/2021,78460,75379,77386,74598,203608,2211
1/28/2021,81506,77963,80333,78211,224789,2364
1/29/2021,85374,81086,83672,81932,244609,2586
1/3/2021,24033,25049,22720,19845,12849,266
1/30/2021,88199,83222,86002,84401,255997,2781
1/31/2021,89107,83963,86871,85430,261949,2832
1/4/2021,25768,26683,24309,21316,14690,292
1/5/2021,27566,28323,25880,22861,16689,329
1/6/2021,29783,30273,27912,24863,19611,399
1/7/2021,31602,31891,29677,26639,22814,437
1/8/2021,33331,33447,31331,28281,25190,467
1/9/2021,34435,34279,32174,29071,27353,494
12/1/2020,28,20,24,15,28,1
12/10/2020,40,27,37,32,49,2
12/11/2020,40,30,39,37,51,2
12/12/2020,41,30,41,40,52,2
12/13/2020,42,30,43,41,54,2
12/14/2020,43,34,46,42,61,2
12/15/2020,52,44,59,55,68,2
12/16/2020,160,190,218,175,124,2
12/17/2020,788,1022,1007,828,372,9
12/18/2020,1649,2022,1846,1480,660,10
12/19/2020,2273,2736,2422,1913,856,15
12/2/2020,31,21,26,19,33,2
12/20/2020,2485,2998,2675,2124,948,17
12/21/2020,3859,4417,3930,3091,1416,26
12/22/2020,5726,6456,5730,4523,2044,35
12/23/2020,8000,9014,7965,6334,2927,53
12/24/2020,8972,9981,8776,7068,3274,56
12/25/2020,9010,10015,8803,7093,3289,56
12/26/2020,10538,11742,10230,8361,3830,70
12/27/2020,11163,12398,10831,8868,4076,81
12/28/2020,13321,14563,12823,10709,5287,106
12/29/2020,16193,17494,15543,13217,7348,154
12/3/2020,34,21,29,21,36,2
12/30/2020,19369,20823,18746,16188,9543,186
12/31/2020,21075,22485,20385,17717,10831,205
12/4/2020,34,21,31,23,37,2
12/5/2020,35,21,31,23,38,2
12/6/2020,36,21,31,24,38,2
12/7/2020,36,23,35,25,39,2
12/8/2020,37,24,35,28,40,2
12/9/2020,38,24,36,30,45,2
2/1/2021,90939,85632,88616,87651,277362,2951
2/10/2021,110427,101379,106477,110973,440414,4920
2/11/2021,113113,103571,108748,114157,463017,5301
2/12/2021,116395,106260,111585,117858,490159,5634
2/13/2021,119828,108959,114471,121168,509458,6046
2/14/2021,120758,109666,115383,122331,516819,6098
2/15/2021,121920,110644,116453,123770,531044,6167
2/16/2021,123801,111963,117939,125799,547711,6330
2/17/2021,126189,113794,119742,128078,564312,6979
2/18/2021,127632,114987,120993,129797,580374,7104
2/19/2021,129529,116465,122477,131704,592310,7534
2/2/2021,93025,87462,90653,90319,295389,3062
2/20/2021,132303,118455,124438,133879,602118,7903
2/21/2021,132982,119087,125111,134696,607994,7963
2/22/2021,133974,119872,125889,135739,615769,8067
2/23/2021,135672,121116,127335,137672,627613,8249
