date,pcr_tests_APACHE,pcr_pos_tests_APACHE,pcr_positivity_APACHE,ser_tests_APACHE,ser_pos_tests_APACHE,ser_positivity_APACHE
2020-08-19 00:00:00,46,1,0.0217391304347826,,,
2020-08-18 00:00:00,61,3,0.0491803278688525,2.0,0.0,0
2020-08-17 00:00:00,47,1,0.0212765957446809,1.0,0.0,0
2020-08-16 00:00:00,5,0,0,,,
2020-08-15 00:00:00,32,0,0,2.0,1.0,0.5
2020-08-14 00:00:00,231,11,0.0476190476190476,1.0,0.0,0
2020-08-13 00:00:00,43,0,0,3.0,0.0,0
2020-08-12 00:00:00,36,0,0,2.0,2.0,1
2020-08-11 00:00:00,53,1,0.0188679245283019,3.0,1.0,0.3333333333333333
2020-08-10 00:00:00,113,2,0.0176991150442478,2.0,0.0,0
2020-08-09 00:00:00,14,0,0,2.0,0.0,0
2020-08-08 00:00:00,9,1,0.1111111111111111,4.0,0.0,0
2020-08-07 00:00:00,56,4,0.0714285714285714,2.0,1.0,0.5
2020-08-06 00:00:00,78,3,0.0384615384615385,1.0,1.0,1
2020-08-05 00:00:00,79,2,0.0253164556962025,2.0,1.0,0.5
2020-08-04 00:00:00,78,3,0.0384615384615385,7.0,2.0,0.2857142857142857
2020-08-03 00:00:00,116,7,0.0603448275862069,5.0,1.0,0.2
2020-08-02 00:00:00,12,2,0.1666666666666667,1.0,0.0,0
2020-08-01 00:00:00,18,3,0.1666666666666667,1.0,0.0,0
2020-07-31 00:00:00,253,15,0.0592885375494071,1.0,1.0,1
2020-07-30 00:00:00,100,5,0.05,2.0,2.0,1
2020-07-29 00:00:00,105,3,0.0285714285714286,2.0,0.0,0
2020-07-28 00:00:00,101,10,0.099009900990099,1.0,1.0,1
2020-07-27 00:00:00,102,8,0.0784313725490196,3.0,1.0,0.3333333333333333
2020-07-26 00:00:00,23,0,0,1.0,0.0,0
2020-07-25 00:00:00,26,2,0.0769230769230769,,,
2020-07-24 00:00:00,95,5,0.0526315789473684,2.0,0.0,0
2020-07-23 00:00:00,95,11,0.1157894736842105,1.0,0.0,0
2020-07-22 00:00:00,79,6,0.0759493670886076,2.0,1.0,0.5
2020-07-21 00:00:00,129,4,0.0310077519379845,1.0,0.0,0
2020-07-20 00:00:00,99,19,0.1919191919191919,1.0,0.0,0
2020-07-19 00:00:00,9,1,0.1111111111111111,1.0,0.0,0
2020-07-18 00:00:00,16,2,0.125,1.0,1.0,1
2020-07-17 00:00:00,61,5,0.0819672131147541,2.0,1.0,0.5
2020-07-16 00:00:00,45,8,0.1777777777777778,2.0,0.0,0
2020-07-15 00:00:00,120,14,0.1166666666666667,3.0,0.0,0
2020-07-14 00:00:00,148,12,0.0810810810810811,1.0,0.0,0
2020-07-13 00:00:00,114,16,0.1403508771929825,5.0,1.0,0.2
2020-07-12 00:00:00,11,3,0.2727272727272727,2.0,1.0,0.5
2020-07-11 00:00:00,14,1,0.0714285714285714,1.0,0.0,0
2020-07-10 00:00:00,100,9,0.09,1.0,0.0,0
2020-07-09 00:00:00,155,17,0.1096774193548387,,,
2020-07-08 00:00:00,114,12,0.1052631578947368,4.0,1.0,0.25
2020-07-07 00:00:00,257,5,0.0194552529182879,2.0,1.0,0.5
2020-07-06 00:00:00,143,11,0.0769230769230769,2.0,0.0,0
2020-07-05 00:00:00,15,4,0.2666666666666667,,,
2020-07-04 00:00:00,26,6,0.2307692307692308,4.0,0.0,0
2020-07-03 00:00:00,49,2,0.0408163265306122,,,
2020-07-02 00:00:00,216,13,0.0601851851851852,7.0,1.0,0.1428571428571429
2020-07-01 00:00:00,135,12,0.0888888888888889,2.0,0.0,0
2020-06-30 00:00:00,198,11,0.0555555555555556,22.0,5.0,0.2272727272727273
2020-06-29 00:00:00,155,16,0.1032258064516129,6.0,0.0,0
2020-06-28 00:00:00,23,2,0.0869565217391304,,,
2020-06-27 00:00:00,13,1,0.0769230769230769,1.0,0.0,0
2020-06-26 00:00:00,159,15,0.0943396226415094,6.0,0.0,0
2020-06-25 00:00:00,146,7,0.0479452054794521,11.0,0.0,0
2020-06-24 00:00:00,157,7,0.0445859872611465,14.0,0.0,0
2020-06-23 00:00:00,203,14,0.0689655172413793,11.0,3.0,0.2727272727272727
2020-06-22 00:00:00,244,25,0.1024590163934426,8.0,2.0,0.25
2020-06-21 00:00:00,6,2,0.3333333333333333,2.0,0.0,0
2020-06-20 00:00:00,43,9,0.2093023255813954,1.0,0.0,0
2020-06-19 00:00:00,65,2,0.0307692307692308,2.0,0.0,0
2020-06-18 00:00:00,135,16,0.1185185185185185,4.0,0.0,0
2020-06-17 00:00:00,98,2,0.0204081632653061,4.0,1.0,0.25
2020-06-16 00:00:00,106,8,0.0754716981132076,4.0,0.0,0
2020-06-15 00:00:00,132,19,0.143939393939394,5.0,0.0,0
2020-06-14 00:00:00,44,7,0.1590909090909091,1.0,0.0,0
2020-06-13 00:00:00,44,8,0.1818181818181818,,,
2020-06-12 00:00:00,228,9,0.0394736842105263,9.0,0.0,0
2020-06-11 00:00:00,122,7,0.0573770491803279,9.0,2.0,0.2222222222222222
2020-06-10 00:00:00,149,11,0.0738255033557047,6.0,0.0,0
2020-06-09 00:00:00,169,16,0.0946745562130178,9.0,0.0,0
2020-06-08 00:00:00,134,8,0.0597014925373134,10.0,2.0,0.2
2020-06-07 00:00:00,33,5,0.1515151515151515,,,
2020-06-06 00:00:00,44,3,0.0681818181818182,1.0,0.0,0
2020-06-05 00:00:00,110,12,0.1090909090909091,10.0,1.0,0.1
2020-06-04 00:00:00,104,17,0.1634615384615385,7.0,0.0,0
2020-06-03 00:00:00,106,16,0.1509433962264151,11.0,0.0,0
2020-06-02 00:00:00,133,15,0.1127819548872181,5.0,1.0,0.2
2020-06-01 00:00:00,145,19,0.1310344827586207,8.0,2.0,0.25
2020-05-31 00:00:00,30,6,0.2,,,
2020-05-30 00:00:00,52,8,0.1538461538461539,,,
2020-05-29 00:00:00,98,18,0.1836734693877551,10.0,0.0,0
2020-05-28 00:00:00,142,15,0.1056338028169014,11.0,0.0,0
2020-05-27 00:00:00,149,9,0.0604026845637584,9.0,0.0,0
2020-05-26 00:00:00,127,17,0.1338582677165355,11.0,0.0,0
2020-05-25 00:00:00,40,13,0.325,2.0,0.0,0
2020-05-24 00:00:00,30,13,0.4333333333333334,,,
2020-05-23 00:00:00,26,4,0.1538461538461539,3.0,0.0,0
2020-05-22 00:00:00,94,14,0.148936170212766,11.0,0.0,0
2020-05-21 00:00:00,84,17,0.2023809523809524,23.0,0.0,0
2020-05-20 00:00:00,102,17,0.1666666666666667,26.0,0.0,0
2020-05-19 00:00:00,79,9,0.1139240506329114,13.0,2.0,0.1538461538461539
2020-05-18 00:00:00,55,4,0.0727272727272727,10.0,0.0,0
2020-05-17 00:00:00,16,1,0.0625,3.0,0.0,0
2020-05-16 00:00:00,46,5,0.108695652173913,2.0,0.0,0
2020-05-15 00:00:00,183,9,0.0491803278688525,4.0,0.0,0
2020-05-14 00:00:00,104,17,0.1634615384615385,1.0,0.0,0
2020-05-13 00:00:00,79,8,0.1012658227848101,3.0,0.0,0
2020-05-12 00:00:00,99,9,0.0909090909090909,4.0,0.0,0
2020-05-11 00:00:00,103,18,0.1747572815533981,,,
2020-05-10 00:00:00,19,3,0.1578947368421053,,,
2020-05-09 00:00:00,53,3,0.0566037735849057,1.0,0.0,0
2020-05-08 00:00:00,115,19,0.1652173913043478,1.0,0.0,0
2020-05-07 00:00:00,63,4,0.0634920634920635,2.0,0.0,0
2020-05-06 00:00:00,75,14,0.1866666666666667,4.0,0.0,0
2020-05-05 00:00:00,117,16,0.1367521367521368,1.0,1.0,1
2020-05-04 00:00:00,73,10,0.136986301369863,2.0,0.0,0
2020-05-03 00:00:00,29,4,0.1379310344827586,,,
2020-05-02 00:00:00,32,2,0.0625,,,
2020-05-01 00:00:00,93,20,0.2150537634408602,,,
2020-04-30 00:00:00,61,14,0.2295081967213115,2.0,0.0,0
2020-04-29 00:00:00,76,18,0.2368421052631579,,,
2020-04-28 00:00:00,99,21,0.2121212121212121,,,
2020-04-27 00:00:00,123,33,0.2682926829268293,1.0,0.0,0
2020-04-26 00:00:00,47,14,0.2978723404255319,,,
2020-04-25 00:00:00,27,3,0.1111111111111111,,,
2020-04-24 00:00:00,87,19,0.2183908045977012,,,
2020-04-23 00:00:00,101,12,0.1188118811881188,,,
2020-04-22 00:00:00,79,27,0.3417721518987342,,,
2020-04-21 00:00:00,72,9,0.125,,,
2020-04-20 00:00:00,115,24,0.208695652173913,,,
2020-04-19 00:00:00,27,12,0.4444444444444444,,,
2020-04-18 00:00:00,16,4,0.25,,,
2020-04-17 00:00:00,147,22,0.1496598639455782,,,
2020-04-16 00:00:00,82,14,0.1707317073170732,,,
2020-04-15 00:00:00,123,27,0.2195121951219512,,,
2020-04-14 00:00:00,62,17,0.2741935483870968,,,
2020-04-13 00:00:00,74,14,0.1891891891891892,,,
2020-04-12 00:00:00,27,9,0.3333333333333333,,,
2020-04-11 00:00:00,22,6,0.2727272727272727,,,
2020-04-10 00:00:00,49,14,0.2857142857142857,,,
2020-04-09 00:00:00,40,7,0.175,,,
2020-04-08 00:00:00,82,11,0.1341463414634147,,,
2020-04-07 00:00:00,66,6,0.0909090909090909,,,
2020-04-06 00:00:00,53,9,0.169811320754717,,,
2020-04-05 00:00:00,18,0,0,,,
2020-04-04 00:00:00,23,7,0.3043478260869566,,,
2020-04-03 00:00:00,44,2,0.0454545454545455,,,
