date,Gila_cume,Gila
2020-12-17 00:00:00,182,
2020-12-18 00:00:00,299,117
2020-12-20 00:00:00,300,1
2020-12-21 00:00:00,390,90
2020-12-22 00:00:00,457,67
2020-12-23 00:00:00,587,130
2020-12-24 00:00:00,728,141
2020-12-26 00:00:00,753,25
2020-12-27 00:00:00,759,6
2020-12-28 00:00:00,1072,313
2020-12-29 00:00:00,1314,242
2020-12-30 00:00:00,1565,251
2020-12-31 00:00:00,1799,234
2021-01-01 00:00:00,1802,3
2021-01-02 00:00:00,2002,200
2021-01-03 00:00:00,2003,1
2021-01-04 00:00:00,2234,231
2021-01-05 00:00:00,2569,335
2021-01-06 00:00:00,2837,268
2021-01-07 00:00:00,3450,613
2021-01-08 00:00:00,3973,523
2021-01-09 00:00:00,4003,30
2021-01-11 00:00:00,4272,269
2021-01-12 00:00:00,4455,183
2021-01-13 00:00:00,4660,205
2021-01-14 00:00:00,5031,371
2021-01-15 00:00:00,5655,624
2021-01-16 00:00:00,5658,3
2021-01-18 00:00:00,5771,113
2021-01-19 00:00:00,6172,401
2021-01-20 00:00:00,6607,435
2021-01-21 00:00:00,7124,517
2021-01-22 00:00:00,7296,172
2021-01-23 00:00:00,7450,154
2021-01-25 00:00:00,7740,290
2021-01-26 00:00:00,7931,191
2021-01-27 00:00:00,8384,453
2021-01-28 00:00:00,9066,682
2021-01-29 00:00:00,9566,500
2021-01-30 00:00:00,9933,367
2021-01-31 00:00:00,9944,11
2021-02-01 00:00:00,10387,443
2021-02-02 00:00:00,11064,677
2021-02-03 00:00:00,11756,692
2021-02-04 00:00:00,12639,883
2021-02-05 00:00:00,13488,849
2021-02-06 00:00:00,14040,552
2021-02-07 00:00:00,14051,11
2021-02-08 00:00:00,14456,405
2021-02-09 00:00:00,15039,583
2021-02-10 00:00:00,15487,448
2021-02-11 00:00:00,15881,394
2021-02-12 00:00:00,16568,687
2021-02-13 00:00:00,17644,1076
2021-02-14 00:00:00,18215,571
2021-02-15 00:00:00,18361,146
2021-02-16 00:00:00,18825,464
2021-02-17 00:00:00,19234,409
2021-02-18 00:00:00,19771,537
2021-02-19 00:00:00,20185,414
2021-02-20 00:00:00,20541,356
2021-02-22 00:00:00,20690,149
2021-02-23 00:00:00,21014,324
2021-02-24 00:00:00,21289,275
2021-02-25 00:00:00,21803,514
2021-02-26 00:00:00,22253,450
2021-02-27 00:00:00,24069,1816
2021-02-28 00:00:00,24966,897
2021-03-01 00:00:00,25260,294
2021-03-02 00:00:00,25647,387
2021-03-03 00:00:00,26034,387
2021-03-04 00:00:00,26768,734
2021-03-05 00:00:00,27082,314
2021-03-06 00:00:00,27616,534
2021-03-07 00:00:00,27640,24
2021-03-08 00:00:00,27911,271
2021-03-09 00:00:00,28485,574
2021-03-10 00:00:00,28905,420
2021-03-11 00:00:00,30322,1417
2021-03-12 00:00:00,30824,502
2021-03-13 00:00:00,32227,1403
2021-03-14 00:00:00,32752,525
2021-03-15 00:00:00,32934,182
2021-03-16 00:00:00,33388,454
2021-03-17 00:00:00,33600,212
2021-03-18 00:00:00,33979,379
2021-03-19 00:00:00,34281,302
2021-03-20 00:00:00,34618,337
2021-03-22 00:00:00,34811,193
2021-03-23 00:00:00,35052,241
2021-03-24 00:00:00,35216,164
2021-03-25 00:00:00,35558,342
2021-03-26 00:00:00,35763,205
2021-03-27 00:00:00,37556,1793
2021-03-28 00:00:00,38369,813
2021-03-29 00:00:00,38652,283
2021-03-30 00:00:00,38810,158
2021-03-31 00:00:00,38955,145
2021-04-01 00:00:00,39666,711
2021-04-02 00:00:00,39923,257
2021-04-03 00:00:00,39970,47
2021-04-04 00:00:00,39980,10
2021-04-05 00:00:00,40190,210
2021-04-06 00:00:00,40702,512
2021-04-07 00:00:00,40890,188
2021-04-08 00:00:00,41384,494
2021-04-09 00:00:00,41674,290
2021-04-10 00:00:00,42243,569
2021-04-11 00:00:00,42259,16
2021-04-12 00:00:00,42414,155
2021-04-13 00:00:00,42542,128
2021-04-14 00:00:00,42597,55
2021-04-15 00:00:00,42850,253
2021-04-16 00:00:00,43008,158
2021-04-17 00:00:00,43335,327
2021-04-18 00:00:00,43336,1
2021-04-19 00:00:00,43413,77
2021-04-20 00:00:00,43536,123
2021-04-21 00:00:00,43611,75
2021-04-22 00:00:00,43882,271
2021-04-23 00:00:00,44010,128
2021-04-24 00:00:00,44050,40
2021-04-25 00:00:00,44059,9
2021-04-26 00:00:00,44130,71
2021-04-27 00:00:00,44247,117
2021-04-28 00:00:00,44405,158
2021-04-29 00:00:00,44549,144
2021-04-30 00:00:00,44621,72
2021-05-01 00:00:00,44643,22
2021-05-02 00:00:00,44650,7
2021-05-03 00:00:00,44768,118
2021-05-04 00:00:00,44917,149
2021-05-05 00:00:00,45009,92
2021-05-06 00:00:00,45092,83
2021-05-07 00:00:00,45138,46
2021-05-08 00:00:00,45146,8
2021-05-09 00:00:00,45152,6
2021-05-10 00:00:00,45221,69
2021-05-11 00:00:00,45283,62
2021-05-12 00:00:00,45330,47
