Category,Apache
Total_doses_administered,15036
Total_people_one_dose,8738
Total_people_complete,6990
Total_doses_ordered,17100
total_pouluation,71808
Male-65 years and older,1564
Male-55-64 years,778
Male-45-54 years,434
Male-20-44 years,758
Male-Less than 20 years,704
Female-65 years and older,1615
Female-55-64 years,899
Female-45-54 years,505
Female-20-44 years,748
Female-Less than 20 years,728
"Asian or Pacific Islander, non-Hispanic",0.0119020370794232
"Black or African American, non-Hispanic",0.0141908903639277
Other Race,0.0469214923323415
Hispanic or Latino,0.0916685740444038
Unknown,0.19741359578851
"White, non-Hispanic",0.2501716639963379
"American Indian or Alaska Native, non-Hispanic",0.3877317463950561
