Category,value
Apache,541
Cochise,465
Coconino,416
Gila,308
Graham,157
Greenlee,27
La Paz,107
Maricopa,"13,641"
Mohave,"1,173"
Navajo,744
Pima,"3,151"
Pinal,"1,305"
Santa Cruz,206
Yavapai,948
Yuma,982
Female,9993
Male,14165
20-44y,1321
45-54y,1887
55-64y,3816
65+,17095
<20y,52
"White, non-Hispanic",12502
Hispanic or Latino,6608
"American Indian or Alaska Native, non-Hispanic",1779
"Black or African American, non-Hispanic",740
"Asian or Pacific Islander, non-Hispanic",299
Other Race,670
Unknown,1573
