date,Gila_cume,Gila
2020-12-01,1,
2020-12-17,69,68
2020-12-18,109,40
2020-12-19,111,2
2020-12-20,112,1
2020-12-21,148,36
2020-12-22,170,22
2020-12-23,224,54
2020-12-24,293,69
2020-12-26,321,28
2020-12-27,322,1
2020-12-28,457,135
2020-12-29,582,125
2020-12-30,738,156
2020-12-31,893,155
2021-01-01,898,5
2021-01-02,1094,196
2021-01-03,1097,3
2021-01-04,1248,151
2021-01-05,1560,312
2021-01-06,1836,276
2021-01-07,2323,487
2021-01-08,2707,384
2021-01-09,2743,36
2021-01-10,2744,1
2021-01-11,2930,186
2021-01-12,3024,94
2021-01-13,3120,96
2021-01-14,3367,247
2021-01-15,3617,250
2021-01-16,3624,7
2021-01-17,3627,3
2021-01-18,3744,117
2021-01-19,3934,190
2021-01-20,4217,283
2021-01-21,4541,324
2021-01-22,4662,121
2021-01-23,4812,150
2021-01-24,4825,13
2021-01-25,5031,206
2021-01-26,5150,119
2021-01-27,5489,339
2021-01-28,5994,505
2021-01-29,6293,299
2021-01-30,6529,236
2021-01-31,6535,6
2021-02-01,6888,353
2021-02-02,7547,659
2021-02-03,8233,686
2021-02-04,9233,1000
2021-02-05,10006,773
2021-02-06,10453,447
2021-02-07,10471,18
2021-02-08,10803,332
2021-02-09,11245,442
2021-02-10,11651,406
2021-02-11,11987,336
2021-02-12,12316,329
2021-02-13,13115,799
2021-02-14,13560,445
2021-02-15,13738,178
2021-02-16,14130,392
2021-02-17,14454,324
2021-02-18,14745,291
2021-02-19,15064,319
2021-02-20,15267,203
2021-02-21,15271,4
2021-02-22,15412,141
2021-02-23,15675,263
2021-02-24,15883,208
2021-02-25,16270,387
2021-02-26,16647,377
2021-02-27,18396,1749
2021-02-28,19279,883
2021-03-01,19525,246
2021-03-02,19878,353
2021-03-03,20204,326
2021-03-04,20923,719
2021-03-05,21180,257
2021-03-06,21568,388
2021-03-07,21578,10
2021-03-08,21795,217
2021-03-09,22079,284
2021-03-10,22389,310
2021-03-11,23667,1278
2021-03-12,24046,379
2021-03-13,25152,1106
2021-03-14,25567,415
2021-03-15,25743,176
2021-03-16,26043,300
2021-03-17,26188,145
2021-03-18,26509,321
2021-03-19,26757,248
2021-03-20,27090,333
2021-03-21,27103,13
2021-03-22,27277,174
2021-03-23,27443,166
2021-03-24,27569,126
2021-03-25,27824,255
2021-03-26,27994,170
2021-03-27,29659,1665
2021-03-28,30457,798
2021-03-29,30718,261
2021-03-30,30839,121
2021-03-31,30991,152
2021-04-01,31614,623
2021-04-02,31805,191
2021-04-03,31848,43
2021-04-04,31853,5
2021-04-05,31990,137
2021-04-06,32410,420
2021-04-07,32590,180
2021-04-08,32874,284
2021-04-09,33061,187
2021-04-10,33593,532
2021-04-11,33610,17
2021-04-12,33771,161
2021-04-13,33880,109
2021-04-14,33945,65
2021-04-15,34133,188
2021-04-16,34253,120
2021-04-17,34616,363
2021-04-18,34632,16
2021-04-19,34747,115
2021-04-20,34851,104
