date,20-34_Maricopa,35-44_Maricopa,45-54_Maricopa,55-64_Maricopa,65+_Maricopa,<20_Maricopa
1/1/2021,11802,12935,12057,9724,5603,114
1/10/2021,20092,19925,18862,15842,11148,234
1/11/2021,21335,21033,20075,16815,12913,268
1/12/2021,23333,23014,22086,18489,17670,354
1/13/2021,25368,25140,24298,20147,23181,422
1/14/2021,27322,27267,26573,22038,29142,466
1/15/2021,29532,29290,28675,23818,33961,531
1/16/2021,30904,30486,29949,24981,37124,566
1/17/2021,31877,31386,30905,25947,40242,599
1/18/2021,32926,32330,32055,27059,45218,627
1/19/2021,34202,33548,33364,28358,51450,692
1/2/2021,13345,14304,13286,10802,6315,138
1/20/2021,35490,34823,34989,29877,58383,738
1/21/2021,36987,36325,36843,31741,66465,793
1/22/2021,39896,38962,39821,34741,74308,892
1/23/2021,42524,41033,42324,37203,79097,972
1/24/2021,43806,42212,43604,38618,84194,1017
1/25/2021,45113,43366,45032,40208,91611,1073
1/26/2021,46794,44818,46765,42100,102419,1133
1/27/2021,48292,46130,48277,43747,112776,1170
1/28/2021,49518,47209,49503,45178,123586,1207
1/29/2021,51570,48886,51229,47003,134237,1278
1/3/2021,14092,14882,13793,11242,6544,155
1/30/2021,53320,50293,52819,48571,139214,1342
1/31/2021,53938,50845,53457,49258,142843,1373
1/4/2021,15123,15813,14739,12026,7378,163
1/5/2021,16085,16641,15601,12831,8127,181
1/6/2021,17261,17605,16552,13749,8838,192
1/7/2021,18181,18405,17364,14529,9572,205
1/8/2021,19008,19077,18020,15093,10042,212
1/9/2021,19706,19618,18559,15549,10840,230
12/1/2020,33,25,24,14,18,1
12/10/2020,41,30,33,24,34,1
12/11/2020,42,32,33,27,34,1
12/12/2020,43,32,33,29,34,1
12/13/2020,43,33,35,30,35,1
12/14/2020,45,36,35,32,41,1
12/15/2020,49,40,41,40,44,1
12/16/2020,61,51,54,46,48,1
12/17/2020,287,395,363,277,174,4
12/18/2020,672,876,763,539,295,4
12/19/2020,1033,1343,1160,832,418,9
12/2/2020,35,25,24,18,23,1
12/20/2020,1228,1590,1404,1028,503,10
12/21/2020,1933,2426,2168,1582,770,13
12/22/2020,2891,3525,3152,2292,1070,18
12/23/2020,3952,4809,4297,3101,1426,25
12/24/2020,4328,5187,4651,3395,1565,25
12/25/2020,4328,5187,4652,3395,1569,25
12/26/2020,5459,6484,5767,4336,1982,35
12/27/2020,5969,7020,6290,4773,2190,43
12/28/2020,7128,8199,7422,5793,2790,54
12/29/2020,8903,9954,9105,7221,3811,84
12/3/2020,37,25,27,18,25,1
12/30/2020,10775,11928,11066,8870,4786,104
12/31/2020,11724,12856,11966,9614,5141,113
12/4/2020,37,25,27,19,27,1
12/5/2020,37,25,27,19,28,1
12/6/2020,37,25,27,19,28,1
12/7/2020,37,25,31,20,29,1
12/8/2020,39,26,31,21,29,1
12/9/2020,39,26,32,22,32,1
2/1/2021,54764,51599,54246,50221,151200,1415
2/10/2021,63685,59686,62912,60784,241862,1970
2/11/2021,64761,60603,63937,62230,252818,2036
2/12/2021,66563,62074,65473,64216,267997,2139
2/13/2021,68421,63670,67287,66268,278027,2246
2/14/2021,69073,64151,67873,67021,283174,2273
2/15/2021,69742,64776,68542,67922,292693,2319
2/16/2021,70869,65571,69440,69109,303050,2373
2/17/2021,71847,66475,70374,70300,314157,2454
2/18/2021,72698,67201,71160,71378,325088,2489
2/19/2021,73822,68115,72063,72593,334242,2574
2/2/2021,55730,52480,55101,51381,161167,1459
2/20/2021,75520,69505,73446,74180,342261,2682
2/21/2021,76128,70081,74038,74909,347335,2721
2/22/2021,76739,70641,74566,75580,353181,2770
2/23/2021,77864,71512,75590,76847,361404,2842
2/24/2021,79038,72551,76710,78304,371062,2933
2/25/2021,80146,73496,77715,79616,380941,3024
2/26/2021,81680,74784,79014,81389,390174,3126
2/27/2021,82938,75873,80101,82738,396623,3212
2/28/2021,83502,76303,80605,83720,400450,3257
2/3/2021,56562,53278,55926,52366,171558,1514
2/4/2021,57502,54138,56955,53536,182334,1567
2/5/2021,58747,55238,58071,54872,191266,1641
2/6/2021,60004,56302,59202,56115,201885,1727
2/7/2021,60528,56813,59706,56701,207548,1760
2/8/2021,61488,57724,60724,57980,218190,1840
2/9/2021,62583,58723,61781,59356,230058,1913
3/1/2021,84221,76953,81394,84941,405716,3328
3/10/2021,94592,85161,90378,142175,450153,4169
3/11/2021,96706,86847,92175,152307,456259,4312
3/12/2021,99062,88616,94150,161467,461570,4466
3/13/2021,100773,90024,95779,169794,465559,4572
3/14/2021,102045,91119,96942,176127,467996,4652
3/15/2021,103542,92422,98504,184252,471772,4760
3/16/2021,105577,94031,100380,192000,475701,4917
3/17/2021,108210,96350,102997,200874,480879,5116
3/18/2021,110925,98632,105601,208763,485696,5306
3/19/2021,114364,101197,108400,215937,490231,5617
3/2/2021,85052,77698,82206,86887,411712,3383
3/20/2021,117269,103619,111242,221344,494021,5853
3/21/2021,119515,105524,113402,225453,496284,6062
3/22/2021,122789,108372,116559,229956,499402,6399
3/23/2021,126691,111666,120068,234918,502415,6859
3/24/2021,133121,117015,125724,239495,505572,8167
3/25/2021,140351,122720,131843,243641,508707,9506
3/26/2021,146796,127836,137283,247409,510931,10836
3/27/2021,152789,132659,142329,250025,512366,12535
3/28/2021,157922,136519,146479,251702,513274,14063
3/29/2021,165587,142297,152933,253552,514488,15834
3/3/2021,85955,78421,83088,89995,417410,3467
3/30/2021,173277,148028,159260,255705,515803,17676
3/31/2021,181562,154242,166383,258395,517541,19882
3/4/2021,87056,79345,84068,97052,423154,3553
3/5/2021,88646,80447,85257,105174,428099,3710
3/6/2021,89731,81239,86098,111524,431787,3787
3/7/2021,90564,81916,86797,116893,434286,3848
3/8/2021,91670,82808,87776,125181,439328,3930
3/9/2021,93048,83888,88969,132995,444320,4022
4/1/2021,189740,160344,173850,261182,519534,21854
4/10/2021,240704,195319,213438,282914,534784,33637
4/11/2021,243874,197349,215679,284113,535572,34817
4/12/2021,248656,200484,219372,286478,537482,35968
4/13/2021,252938,203147,222368,288374,538898,37049
4/14/2021,257378,205771,225263,290113,540175,38144
4/15/2021,262592,209152,228596,292251,541752,39185
4/16/2021,267009,212052,231711,294187,543111,40134
4/17/2021,270364,214389,234471,295779,544196,41250
4/18/2021,272285,215555,235830,296525,544708,41935
4/19/2021,275697,217897,238303,298094,546050,42775
4/2/2021,196244,165197,179473,263644,521089,23503
4/20/2021,278899,219995,240732,299630,547322,43657
4/21/2021,283087,222740,243487,301436,548790,44689
4/22/2021,287001,225277,246080,303129,550120,45546
4/23/2021,290805,227917,248765,304796,551286,46515
4/24/2021,293180,229471,250382,305915,552062,47308
4/25/2021,294759,230479,251418,306500,552452,48009
4/26/2021,297492,232327,253405,307874,553516,48764
4/27/2021,300390,234171,255459,309274,554693,49471
4/28/2021,303263,235877,257419,310663,556023,50295
4/29/2021,306081,237561,259260,312067,557275,50957
4/3/2021,200767,168503,183420,265328,522225,24839
4/30/2021,309315,239436,261410,313687,558606,51772
4/4/2021,202946,169830,184974,265925,522594,25404
4/5/2021,208457,173439,189094,268319,524280,26659
4/6/2021,214625,177577,193943,271169,526472,28062
4/7/2021,221469,182508,199301,274349,528789,29341
4/8/2021,228155,187190,204458,277604,531300,30580
4/9/2021,235100,191633,209483,280724,533362,32142
5/1/2021,311351,240614,262735,314675,559220,52413
5/10/2021,328328,250406,272870,322468,565738,56856
5/11/2021,330282,251441,273998,323336,566449,57385
5/12/2021,332214,252566,275133,324144,567174,58131
5/13/2021,334252,253712,276317,325014,567843,62820
5/14/2021,336769,255216,277850,326092,568681,67323
5/15/2021,338515,256346,278986,326868,569122,72777
5/16/2021,339743,257038,279694,327354,569434,75833
5/17/2021,341876,258220,281029,328231,570220,78861
5/18/2021,343990,259462,282248,329142,571016,81230
5/19/2021,346248,260758,283591,330158,571767,84550
5/2/2021,312723,241483,263624,315270,559615,52885
5/20/2021,348225,261929,284756,330983,572468,87188
5/21/2021,350517,263286,286119,331918,573140,91098
5/22/2021,352297,264361,287256,332672,573561,94862
5/23/2021,353379,265000,287822,333062,573786,96364
5/24/2021,355102,265926,288758,333793,574378,98348
5/25/2021,356575,266830,289653,334486,574887,99955
5/26/2021,358331,267767,290579,335101,575387,101738
5/27/2021,359829,268681,291416,335744,575865,103545
5/28/2021,361480,269655,292388,336462,576399,105584
5/29/2021,362619,270329,293113,336958,576672,107041
5/3/2021,314613,242507,264791,316214,560529,53345
5/30/2021,363344,270782,293534,337254,576804,107773
5/31/2021,363653,270970,293710,337376,576887,108064
5/4/2021,317118,243902,266267,317373,561635,53913
5/5/2021,319479,245277,267648,318409,562459,54444
5/6/2021,321921,246651,269075,319513,563392,55045
5/7/2021,324172,248072,270467,320591,564308,55630
5/8/2021,325736,248971,271428,321326,564827,56125
5/9/2021,326697,249547,271981,321736,565084,56469
6/1/2021,365117,271850,294566,337914,577325,109677
6/10/2021,375306,277848,300336,341931,580346,121246
6/11/2021,376672,278819,301230,342504,580700,123515
6/12/2021,377587,279488,301871,342817,580854,124978
6/13/2021,377949,279726,302113,342979,580930,125263
6/14/2021,378924,280273,302621,343351,581168,126373
6/15/2021,379884,280879,303129,343700,581382,127544
6/16/2021,380960,281497,303684,344071,581623,128769
6/17/2021,381893,282113,304201,344454,581887,129812
6/18/2021,383205,282847,304883,344942,582201,130976
6/19/2021,383891,283325,305308,345229,582360,131704
6/2/2021,366393,272595,295332,338399,577742,111166
6/20/2021,384327,283568,305522,345400,582423,132056
6/21/2021,385255,284090,306059,345746,582666,133067
6/22/2021,386134,284569,306549,346047,582965,134018
6/23/2021,387015,285126,307022,346397,583255,134981
6/24/2021,387816,285626,307532,346754,583542,135923
6/25/2021,388914,286303,308171,347224,583869,136879
6/26/2021,389684,286748,308651,347516,584036,137499
6/27/2021,390172,287070,308938,347706,584106,137976
6/28/2021,391117,287608,309491,348061,584389,139014
6/29/2021,391993,288122,309976,348404,584632,139880
6/3/2021,367745,273375,296086,338921,578146,112679
6/30/2021,392842,288675,310449,348769,584925,140801
6/4/2021,369205,274319,296997,339556,578574,114317
6/5/2021,370324,275056,297669,340007,578834,115848
6/6/2021,370929,275362,298023,340210,578953,116514
6/7/2021,372083,276035,298616,340644,579307,117759
6/8/2021,373169,276581,299176,341080,579623,118906
6/9/2021,374167,277157,299670,341475,579973,120052
7/1/2021,393680,289172,310943,349102,585177,141597
7/10/2021,400910,293561,315258,352052,586952,149596
7/11/2021,401440,293872,315506,352207,587032,150176
7/12/2021,402341,294397,315997,352510,587244,151216
7/13/2021,403125,294819,316426,352772,587467,152219
7/14/2021,403929,295314,316912,353063,587669,153184
7/15/2021,404678,295785,317331,353333,587873,154111
7/16/2021,405828,296523,318007,353784,588162,155379
7/17/2021,406591,297029,318482,354083,588327,156167
7/18/2021,407155,297394,318796,354293,588415,156741
7/19/2021,408178,298109,319425,354735,588728,158102
7/2/2021,394753,289825,311536,349560,585468,142661
7/20/2021,409182,298719,320063,355121,589050,159300
7/21/2021,410388,299472,320718,355559,589388,160598
7/22/2021,411534,300262,321405,356095,589745,162016
7/23/2021,413018,301339,322438,356760,590144,163536
7/24/2021,414112,302090,323251,357255,590365,164484
7/25/2021,415147,302679,323732,357568,590511,165376
7/26/2021,416601,303564,324548,358176,590912,166906
7/27/2021,418010,304433,325357,358716,591301,168400
7/28/2021,419477,305299,326108,359214,591664,169945
7/29/2021,420946,306168,326849,359678,592037,171581
7/3/2021,395492,290291,311976,349880,585633,143331
7/30/2021,422931,307525,328062,360363,592524,173886
7/31/2021,424192,308405,328803,360822,592745,175344
7/4/2021,395621,290362,312062,349937,585659,143441
7/5/2021,396498,290844,312550,350306,585837,144279
7/6/2021,397309,291260,313017,350598,586084,145160
7/7/2021,398141,291745,313447,350944,586310,146137
7/8/2021,398926,292186,313916,351283,586533,146993
7/9/2021,400082,292981,314671,351725,586787,148400
8/1/2021,425218,309030,329294,361175,592889,176232
8/10/2021,439538,318031,336784,366019,596115,187927
8/11/2021,441040,318965,337464,366502,596426,189077
8/12/2021,442642,319922,338271,367021,596833,190211
8/13/2021,444519,321139,339258,367632,597225,191734
8/14/2021,445835,322043,339952,368045,597461,193246
8/15/2021,446623,322500,340326,368261,597572,193796
8/16/2021,448145,323379,341039,368738,597900,194766
8/17/2021,449588,324235,341688,369165,598221,195694
8/18/2021,450907,325004,342269,369581,598502,196590
8/19/2021,451958,325764,342822,369953,598783,197338
8/2/2021,426873,310135,330174,361783,593301,177789
8/20/2021,453238,326598,343531,370407,599065,198477
8/21/2021,454111,327200,344082,370688,599205,199507
8/22/2021,454746,327585,344371,370870,599305,200038
8/23/2021,456059,328353,344986,371305,599641,200858
8/24/2021,457361,329072,345576,371696,599924,201642
8/25/2021,458579,329778,346165,372106,600182,202444
8/26/2021,459792,330493,346738,372502,600447,203147
8/27/2021,461173,331346,347455,372932,600762,204152
8/28/2021,462104,331953,347953,373248,600917,205061
8/29/2021,462678,332301,348237,373393,601005,205408
8/3/2021,428432,311103,330981,362320,593741,179002
8/30/2021,463796,332965,348763,373756,601235,206052
8/31/2021,464786,333527,349215,374068,601465,206577
8/4/2021,430110,312156,331862,362858,594164,180207
8/5/2021,431720,313145,332719,363456,594567,181432
8/6/2021,433767,314478,333914,364145,595001,183191
8/7/2021,435277,315459,334716,364648,595240,184862
8/8/2021,436265,316053,335203,364951,595404,185688
8/9/2021,437927,317041,336029,365498,595796,186899
9/1/2021,465887,334188,349709,374422,601712,207293
9/10/2021,473529,338636,353413,376926,603330,212228
9/11/2021,474405,339106,353797,377175,603453,212921
9/12/2021,474999,339385,354053,377328,603532,213270
9/13/2021,476222,340014,354520,377658,603748,213939
9/14/2021,477237,340537,354958,377931,603955,214488
9/15/2021,477823,340870,355171,378079,604061,214889
9/16/2021,478566,341236,355519,378280,604202,215279
9/17/2021,479777,341924,355989,378637,604410,215981
9/18/2021,480640,342410,356414,378872,604540,216615
9/19/2021,481101,342654,356600,378995,604607,216911
9/2/2021,466746,334679,350114,374691,601951,207780
9/20/2021,481598,342952,356831,379150,604738,217193
9/21/2021,482547,343442,357219,379394,604926,217592
9/22/2021,483425,343894,357599,379661,605106,218092
9/23/2021,484309,344383,357948,379919,605313,218531
9/24/2021,485175,344904,358359,380190,605626,219026
9/25/2021,485762,345208,358641,380361,605821,219404
9/26/2021,485851,345261,358679,380386,605842,219459
9/3/2021,467911,335439,350737,375111,602208,208691
9/4/2021,468616,335914,351154,375357,602353,209346
9/5/2021,469138,336239,351430,375522,602430,209697
9/6/2021,469282,336328,351516,375590,602459,209787
9/7/2021,470219,336844,351928,375893,602654,210322
9/8/2021,471318,337403,352364,376194,602909,210908
9/9/2021,472198,337869,352765,376485,603083,211394
