Category,value
tests,802303
YUMA,13212
YAVAPAI,23367
SANTA CRUZ,2478
PINAL,48996
PIMA,70526
NAVAJO,6574
MOHAVE,18927
MARICOPA,575439
LA PAZ,1938
GREENLEE,321
GRAHAM,1732
GILA,8068
COCONINO,10435
COCHISE,7713
APACHE,1733
Unknown,744
65 years and older,193178
55 - 64 years,158713
45 - 54 years,144929
20 - 44 years,267217
Less than 20 years,37522
positive,0.2390231620721847
