date,pcr_tests,pcr_pos_test,pcr_positivity,ser_tests,ser_pos_tests,ser_positivity
2021-09-25 00:00:00,483,57,0.1180124223602485,2,0,0
2021-09-24 00:00:00,9572,1102,0.1151274550773088,595,345,0.5798319327731094
2021-09-23 00:00:00,12247,1423,0.1161917204213277,796,468,0.5879396984924624
2021-09-22 00:00:00,14407,1625,0.1127923925869369,850,447,0.5258823529411766
2021-09-21 00:00:00,14222,1669,0.1173533961468148,877,479,0.5461801596351198
2021-09-20 00:00:00,15378,1857,0.1207569254779555,759,436,0.5744400527009222
2021-09-19 00:00:00,7312,965,0.1319748358862145,149,76,0.5100671140939598
2021-09-18 00:00:00,8440,1075,0.1273696682464455,268,132,0.4925373134328358
2021-09-17 00:00:00,14225,1446,0.1016520210896309,841,454,0.539833531510107
2021-09-16 00:00:00,15219,1488,0.097772521190617,873,460,0.5269186712485682
2021-09-15 00:00:00,15178,1608,0.1059428119646857,909,451,0.4961496149614962
2021-09-14 00:00:00,15641,1633,0.1044050891886708,1083,561,0.518005540166205
2021-09-13 00:00:00,16353,1891,0.1156362746896594,905,460,0.5082872928176796
2021-09-12 00:00:00,7897,1006,0.1273901481575282,155,69,0.4451612903225807
2021-09-11 00:00:00,9384,1230,0.131074168797954,279,139,0.4982078853046596
2021-09-10 00:00:00,14712,1648,0.1120174007612833,834,474,0.5683453237410072
2021-09-09 00:00:00,15394,1643,0.1067298947641938,918,469,0.510893246187364
2021-09-08 00:00:00,16976,1934,0.1139255419415646,852,445,0.5223004694835682
2021-09-07 00:00:00,17564,2076,0.1181963106353906,887,492,0.5546786922209695
2021-09-06 00:00:00,7565,1034,0.1366820885657634,274,135,0.4927007299270074
2021-09-05 00:00:00,8288,1058,0.1276544401544402,159,85,0.5345911949685536
2021-09-04 00:00:00,9061,1210,0.1335393444432182,244,130,0.5327868852459018
2021-09-03 00:00:00,13647,1609,0.117901370264527,874,437,0.5
2021-09-02 00:00:00,15320,1618,0.1056135770234987,923,490,0.5308775731310944
2021-09-01 00:00:00,15843,1821,0.1149403522060216,948,518,0.5464135021097046
2021-08-31 00:00:00,17701,1828,0.1032710016383255,1020,512,0.5019607843137256
2021-08-30 00:00:00,18573,2081,0.1120443654767674,976,512,0.5245901639344264
2021-08-29 00:00:00,8855,1115,0.1259175607001694,210,106,0.5047619047619047
2021-08-28 00:00:00,10692,1277,0.1194350916573139,370,192,0.518918918918919
2021-08-27 00:00:00,17692,1714,0.0968799457381868,908,476,0.5242290748898678
2021-08-26 00:00:00,18002,1844,0.1024330629930008,1051,594,0.5651760228353948
2021-08-25 00:00:00,19062,2036,0.1068093589340048,1145,641,0.5598253275109172
2021-08-24 00:00:00,19611,1876,0.0956605986436184,1165,627,0.5381974248927038
2021-08-23 00:00:00,20688,2128,0.102861562258314,1103,577,0.5231187669990934
2021-08-22 00:00:00,9718,1100,0.1131920148178638,248,132,0.532258064516129
2021-08-21 00:00:00,11212,1239,0.1105066000713521,397,192,0.4836272040302268
2021-08-20 00:00:00,18689,1890,0.1011290063673819,1029,568,0.5519922254616132
2021-08-19 00:00:00,19665,1974,0.1003813882532418,999,555,0.5555555555555556
2021-08-18 00:00:00,20237,2027,0.1001630676483669,1004,523,0.5209163346613546
2021-08-17 00:00:00,21062,2073,0.0984237014528535,1060,559,0.5273584905660378
2021-08-16 00:00:00,22141,2221,0.1003116390406937,979,525,0.5362614913176712
2021-08-15 00:00:00,10050,1219,0.1212935323383085,220,105,0.4772727272727274
2021-08-14 00:00:00,10656,1288,0.1208708708708709,339,181,0.5339233038348082
2021-08-13 00:00:00,16431,1850,0.112592051609762,896,476,0.53125
2021-08-12 00:00:00,16834,1822,0.1082333372935725,910,464,0.50989010989011
2021-08-11 00:00:00,16906,1987,0.1175322370755945,995,527,0.5296482412060302
2021-08-10 00:00:00,17054,1913,0.1121730972205934,955,479,0.5015706806282724
2021-08-09 00:00:00,17255,2114,0.1225152129817444,877,473,0.539338654503991
2021-08-08 00:00:00,7518,1052,0.1399308326682629,194,107,0.5515463917525774
2021-08-07 00:00:00,8543,1183,0.1384759452183074,314,157,0.5
2021-08-06 00:00:00,12359,1624,0.1314022170078486,833,379,0.454981992797119
2021-08-05 00:00:00,12717,1699,0.1336006919871039,748,342,0.4572192513368984
2021-08-04 00:00:00,12082,1677,0.1388015229266678,788,354,0.4492385786802031
2021-08-03 00:00:00,12573,1677,0.1333810546408972,779,320,0.4107830551989731
2021-08-02 00:00:00,12327,1846,0.1497525756469539,699,358,0.5121602288984264
2021-08-01 00:00:00,6318,1009,0.1597024374802153,171,71,0.4152046783625731
2021-07-31 00:00:00,6439,933,0.1448982761298338,248,132,0.532258064516129
2021-07-30 00:00:00,9775,1378,0.1409718670076727,650,289,0.4446153846153847
2021-07-29 00:00:00,9783,1374,0.1404477154247164,641,302,0.4711388455538222
2021-07-28 00:00:00,9333,1356,0.1452909032465445,575,270,0.4695652173913044
2021-07-27 00:00:00,8725,1234,0.141432664756447,550,255,0.4636363636363636
2021-07-26 00:00:00,8510,1159,0.136192714453584,573,260,0.4537521815008726
2021-07-25 00:00:00,4307,699,0.1622939400975157,120,58,0.4833333333333334
2021-07-24 00:00:00,4838,719,0.1486151302190988,138,64,0.463768115942029
2021-07-23 00:00:00,7149,929,0.1299482445097217,433,203,0.4688221709006928
2021-07-22 00:00:00,7341,965,0.1314534804522545,563,285,0.5062166962699822
2021-07-21 00:00:00,7505,954,0.1271152564956696,519,247,0.4759152215799616
2021-07-20 00:00:00,7284,918,0.1260296540362438,478,214,0.4476987447698745
2021-07-19 00:00:00,7645,936,0.1224329627207325,376,182,0.4840425531914894
2021-07-18 00:00:00,3959,591,0.1492801212427381,68,31,0.4558823529411766
2021-07-17 00:00:00,4244,561,0.132186616399623,122,69,0.5655737704918032
2021-07-16 00:00:00,6210,732,0.1178743961352657,375,170,0.4533333333333334
2021-07-15 00:00:00,6230,704,0.1130016051364366,458,232,0.5065502183406114
2021-07-14 00:00:00,6141,695,0.1131737502035499,446,196,0.4394618834080718
2021-07-13 00:00:00,6468,716,0.1106988249845393,526,232,0.44106463878327
2021-07-12 00:00:00,6658,717,0.1076899969960949,398,187,0.4698492462311558
2021-07-11 00:00:00,3264,429,0.1314338235294118,133,71,0.5338345864661654
2021-07-10 00:00:00,3702,399,0.1077795786061588,102,48,0.4705882352941176
2021-07-09 00:00:00,5756,502,0.0872133425990271,444,237,0.5337837837837838
2021-07-08 00:00:00,5729,521,0.0909408273695235,444,200,0.4504504504504506
2021-07-07 00:00:00,6182,561,0.0907473309608541,405,222,0.5481481481481482
2021-07-06 00:00:00,6479,558,0.0861244019138756,367,156,0.4250681198910082
2021-07-05 00:00:00,4748,402,0.0846672283066554,252,145,0.5753968253968254
2021-07-04 00:00:00,1552,118,0.0760309278350515,24,13,0.5416666666666666
2021-07-03 00:00:00,3687,202,0.0547870897748847,388,311,0.8015463917525774
2021-07-02 00:00:00,5734,377,0.0657481688175794,531,307,0.5781544256120528
2021-07-01 00:00:00,5191,394,0.0759005971874398,707,421,0.5954738330975956
2021-06-30 00:00:00,5583,392,0.0702131470535554,798,524,0.656641604010025
2021-06-29 00:00:00,5991,371,0.0619262226673343,754,467,0.6193633952254642
2021-06-28 00:00:00,6606,407,0.0616106569785044,473,259,0.547568710359408
2021-06-27 00:00:00,3366,220,0.065359477124183,186,125,0.6720430107526882
2021-06-26 00:00:00,3574,258,0.072188024622272,326,239,0.7331288343558282
2021-06-25 00:00:00,5558,326,0.0586541921554516,616,355,0.5762987012987014
2021-06-24 00:00:00,5288,329,0.0622163388804841,792,475,0.5997474747474748
2021-06-23 00:00:00,5706,309,0.0541535226077813,797,465,0.5834378920953576
2021-06-22 00:00:00,5833,338,0.0579461683524773,749,465,0.6208277703604806
2021-06-21 00:00:00,6308,361,0.0572289156626506,535,284,0.5308411214953273
2021-06-20 00:00:00,3117,169,0.0542188001283285,140,91,0.65
2021-06-19 00:00:00,3479,194,0.0557631503305548,335,237,0.7074626865671642
2021-06-18 00:00:00,5264,269,0.0511018237082067,485,261,0.5381443298969072
2021-06-17 00:00:00,5571,304,0.0545683001256507,593,268,0.451939291736931
2021-06-16 00:00:00,5870,308,0.0524701873935264,636,272,0.4276729559748428
2021-06-15 00:00:00,5890,283,0.0480475382003396,691,290,0.4196816208393632
2021-06-14 00:00:00,6395,310,0.0484753713838937,412,201,0.487864077669903
2021-06-13 00:00:00,3325,164,0.0493233082706767,140,92,0.6571428571428573
2021-06-12 00:00:00,3438,162,0.0471204188481675,258,126,0.4883720930232558
2021-06-11 00:00:00,5810,278,0.0478485370051635,525,277,0.5276190476190478
2021-06-10 00:00:00,5704,256,0.0448807854137447,734,448,0.6103542234332426
2021-06-09 00:00:00,5859,323,0.0551288615804745,750,461,0.6146666666666668
