date,20-34_Yavapai,35-44_Yavapai,45-54_Yavapai,55-64_Yavapai,65+_Yavapai,<20_Yavapai
1/1/2021,312,410,435,646,434,6
1/10/2021,566,697,800,1119,969,10
1/11/2021,575,705,809,1135,997,11
1/12/2021,594,729,839,1182,1087,11
1/13/2021,638,777,926,1276,1277,12
1/14/2021,671,822,981,1348,1393,14
1/15/2021,686,833,993,1368,1442,14
1/16/2021,707,865,1037,1414,1589,16
1/17/2021,709,867,1040,1419,1605,17
1/18/2021,716,870,1053,1439,1755,18
1/19/2021,750,923,1106,1515,1908,19
1/2/2021,332,443,458,678,445,6
1/20/2021,792,972,1171,1609,2187,19
1/21/2021,916,1128,1347,1849,2877,19
1/22/2021,1051,1262,1523,2100,3813,21
1/23/2021,1091,1318,1577,2207,4952,24
1/24/2021,1107,1335,1599,2283,6146,25
1/25/2021,1130,1359,1630,2362,6791,25
1/26/2021,1141,1370,1660,2406,7150,25
1/27/2021,1213,1424,1733,2588,8407,26
1/28/2021,1261,1496,1840,2789,9795,33
1/29/2021,1339,1555,1936,2962,11029,38
1/3/2021,332,445,458,679,447,6
1/30/2021,1386,1581,1995,3048,11663,39
1/31/2021,1424,1607,2044,3134,12365,41
1/4/2021,341,449,468,691,453,6
1/5/2021,348,457,483,710,475,6
1/6/2021,356,464,494,735,512,7
1/7/2021,439,563,636,873,711,8
1/8/2021,532,667,762,1078,922,10
1/9/2021,565,696,799,1119,966,10
10/1/2021,10910,7947,10392,19627,54424,4527
10/10/2021,11054,8017,10469,19705,54548,4570
10/11/2021,11070,8028,10472,19719,54578,4576
10/12/2021,11080,8031,10479,19726,54589,4586
10/13/2021,11095,8036,10486,19736,54601,4600
10/14/2021,11112,8049,10496,19753,54625,4603
10/15/2021,11132,8056,10504,19765,54645,4610
10/16/2021,11143,8061,10509,19771,54653,4620
10/17/2021,11158,8069,10518,19776,54659,4623
10/18/2021,11174,8076,10523,19784,54674,4628
10/19/2021,11194,8085,10528,19794,54685,4637
10/2/2021,10929,7953,10400,19635,54437,4533
10/20/2021,11211,8091,10533,19803,54712,4639
10/21/2021,11233,8100,10543,19819,54726,4645
10/22/2021,11250,8108,10556,19839,54771,4651
10/23/2021,11251,8110,10567,19848,54811,4653
10/24/2021,11255,8115,10571,19852,54830,4657
10/25/2021,11270,8121,10581,19865,54908,4662
10/26/2021,11276,8131,10590,19878,54997,4666
10/27/2021,11292,8135,10601,19894,55082,4669
10/28/2021,11316,8144,10610,19914,55169,4674
10/29/2021,11334,8156,10623,19922,55253,4680
10/3/2021,10937,7954,10401,19637,54440,4536
10/30/2021,11347,8158,10626,19928,55271,4681
10/31/2021,11351,8163,10627,19932,55288,4682
10/4/2021,10955,7963,10418,19649,54456,4539
10/5/2021,10976,7972,10427,19664,54482,4543
10/6/2021,10993,7983,10435,19672,54502,4545
10/7/2021,11007,7996,10444,19681,54514,4547
10/8/2021,11027,8005,10457,19696,54537,4565
10/9/2021,11042,8014,10465,19701,54544,4569
11/1/2021,11364,8173,10635,19948,55359,4688
11/10/2021,11520,8266,10739,20118,55934,4970
11/11/2021,11543,8276,10751,20153,56006,5044
11/12/2021,11565,8300,10766,20187,56110,5107
11/13/2021,11574,8315,10772,20198,56139,5117
11/14/2021,11584,8320,10782,20207,56165,5123
11/15/2021,11603,8334,10793,20233,56230,5149
11/16/2021,11622,8348,10807,20253,56308,5235
11/17/2021,11641,8362,10817,20277,56394,5325
11/18/2021,11668,8379,10836,20306,56503,5368
11/19/2021,11695,8398,10852,20338,56573,5385
11/2/2021,11383,8182,10646,19964,55411,4693
11/20/2021,11707,8407,10862,20357,56611,5401
11/21/2021,11717,8410,10873,20368,56642,5406
11/22/2021,11739,8423,10887,20404,56711,5454
11/23/2021,11760,8439,10913,20427,56782,5533
11/24/2021,11785,8449,10930,20455,56831,5560
11/25/2021,11785,8449,10930,20455,56831,5560
11/26/2021,11800,8464,10940,20465,56854,5573
11/27/2021,11814,8473,10951,20478,56885,5589
11/28/2021,11825,8482,10960,20491,56905,5596
11/29/2021,11831,8493,10973,20520,56969,5619
11/3/2021,11395,8194,10660,19983,55466,4700
11/30/2021,11848,8505,10988,20550,57013,5653
11/4/2021,11413,8203,10669,20000,55535,4725
11/5/2021,11432,8214,10684,20029,55622,4772
11/6/2021,11444,8223,10698,20045,55668,4785
