Age groups aggregated-[sqlproxy.1o2jlha17c7az61dq6nst0obs7qs].[Age Group1 (group)]-alias,vaccinated,total_pop
<20,524827,1842004
20-34,904421,1480898
35-44,607009,881451
45-54,619009,851820
55-64,704048,868629
65+,1254351,1264218
