date,20-34_Gila,35-44_Gila,45-54_Gila,55-64_Gila,65+_Gila,<20_Gila
1/1/2021,160,151,164,210,203,4
1/10/2021,307,338,412,529,1031,14
1/11/2021,321,355,430,560,1109,14
1/12/2021,329,359,439,575,1144,14
1/13/2021,334,365,449,582,1181,14
1/14/2021,344,380,468,613,1327,14
1/15/2021,400,425,511,667,1363,20
1/16/2021,400,426,512,668,1365,20
1/17/2021,400,426,512,668,1368,20
1/18/2021,403,434,516,693,1435,20
1/19/2021,415,438,526,708,1490,21
1/2/2021,176,167,187,247,304,7
1/20/2021,425,447,547,738,1595,22
1/21/2021,440,459,555,773,1805,22
1/22/2021,455,468,562,786,1868,23
1/23/2021,459,473,564,792,1982,23
1/24/2021,459,473,565,793,1991,23
1/25/2021,474,481,576,812,2056,23
1/26/2021,480,484,576,814,2070,23
1/27/2021,493,501,586,824,2243,27
1/28/2021,513,527,619,880,2489,27
1/29/2021,539,546,649,913,2604,30
1/3/2021,177,167,187,249,304,7
1/30/2021,571,558,660,929,2724,38
1/31/2021,571,558,660,930,2728,38
1/4/2021,191,183,220,287,353,7
1/5/2021,213,215,278,347,488,8
1/6/2021,224,241,316,404,624,10
1/7/2021,271,306,358,466,832,13
1/8/2021,302,337,405,527,1012,14
1/9/2021,307,338,412,529,1031,14
10/1/2021,2629,1918,2498,4568,11567,1147
10/10/2021,2650,1932,2509,4585,11592,1159
10/11/2021,2651,1935,2511,4585,11597,1162
10/12/2021,2655,1937,2513,4587,11603,1163
10/13/2021,2660,1940,2514,4589,11611,1165
10/14/2021,2665,1943,2519,4597,11615,1167
10/15/2021,2672,1944,2523,4604,11616,1167
10/16/2021,2673,1944,2523,4605,11616,1167
10/17/2021,2675,1944,2523,4605,11618,1167
10/18/2021,2679,1945,2524,4608,11624,1167
10/19/2021,2682,1948,2527,4612,11624,1168
10/2/2021,2629,1920,2499,4569,11568,1147
10/20/2021,2683,1948,2533,4616,11627,1168
10/21/2021,2685,1951,2537,4624,11640,1169
10/22/2021,2688,1954,2539,4627,11650,1171
10/23/2021,2690,1955,2541,4629,11655,1175
10/24/2021,2690,1956,2542,4629,11657,1175
10/25/2021,2692,1957,2544,4633,11663,1176
10/26/2021,2695,1958,2547,4639,11668,1178
10/27/2021,2698,1958,2548,4645,11676,1178
10/28/2021,2711,1972,2554,4647,11682,1178
10/29/2021,2715,1976,2557,4650,11689,1180
10/3/2021,2629,1921,2499,4570,11570,1147
10/30/2021,2716,1978,2558,4651,11692,1180
10/31/2021,2717,1978,2560,4651,11695,1180
10/4/2021,2631,1924,2500,4573,11579,1150
10/5/2021,2635,1927,2503,4573,11583,1155
10/6/2021,2637,1927,2506,4579,11584,1157
10/7/2021,2646,1931,2506,4581,11586,1157
10/8/2021,2647,1932,2508,4582,11591,1158
10/9/2021,2647,1932,2509,4585,11592,1158
11/1/2021,2720,1980,2561,4654,11707,1180
11/10/2021,2746,1995,2584,4691,11786,1257
11/11/2021,2748,1996,2585,4694,11794,1269
11/12/2021,2757,1999,2585,4698,11800,1285
11/13/2021,2758,1999,2588,4699,11804,1293
11/14/2021,2761,1999,2590,4700,11806,1293
11/15/2021,2764,2001,2591,4710,11815,1295
11/16/2021,2769,2001,2593,4715,11830,1298
11/17/2021,2777,2006,2595,4722,11842,1299
11/18/2021,2782,2010,2600,4726,11854,1313
11/19/2021,2785,2016,2601,4732,11866,1334
11/2/2021,2721,1983,2566,4658,11711,1180
11/20/2021,2791,2016,2601,4733,11871,1336
11/21/2021,2793,2017,2601,4735,11871,1336
11/22/2021,2801,2019,2605,4746,11883,1342
11/23/2021,2808,2019,2610,4752,11890,1348
11/24/2021,2809,2022,2615,4757,11895,1359
11/25/2021,2809,2022,2615,4757,11895,1359
11/26/2021,2812,2022,2616,4760,11897,1363
11/27/2021,2812,2023,2616,4761,11898,1363
11/28/2021,2813,2023,2616,4761,11900,1365
11/29/2021,2827,2026,2622,4764,11906,1367
11/3/2021,2724,1983,2569,4662,11726,1184
11/30/2021,2841,2034,2624,4767,11912,1372
11/4/2021,2727,1985,2570,4665,11735,1184
11/5/2021,2728,1988,2572,4675,11745,1226
11/6/2021,2728,1989,2572,4678,11750,1230
11/7/2021,2728,1992,2574,4678,11751,1232
11/8/2021,2733,1992,2579,4685,11766,1240
11/9/2021,2740,1994,2581,4687,11774,1251
12/1/2020,1,,,,,
12/1/2021,2851,2038,2626,4774,11924,1388
12/10/2020,1,,,,,
12/10/2021,2890,2059,2645,4812,11994,1461
12/11/2020,1,,,,,
12/11/2021,2891,2060,2646,4812,11995,1463
12/12/2020,1,,,,,
12/12/2021,2892,2060,2648,4813,11998,1465
12/13/2020,1,,,,,
12/13/2021,2892,2063,2650,4815,12009,1468
12/14/2020,1,,,,,
12/14/2021,2895,2066,2652,4820,12015,1469
12/15/2020,1,,,,,
12/15/2021,2896,2066,2652,4822,12018,1469
12/16/2020,1,,,,,
12/16/2021,2897,2069,2652,4824,12028,1469
12/17/2020,21,16,15,12,4,1
12/17/2021,2898,2069,2652,4824,12029,1469
12/18/2020,33,29,20,17,9,1
12/19/2020,33,29,20,19,9,1
12/2/2020,1,,,,,
12/2/2021,2855,2042,2632,4780,11929,1398
12/20/2020,33,30,20,19,9,1
12/21/2020,39,41,27,27,13,1
12/22/2020,42,45,32,33,17,1
12/23/2020,53,57,38,47,28,1
12/24/2020,67,71,51,67,35,1
12/25/2020,67,71,51,67,35,1
12/26/2020,72,77,56,76,38,1
12/27/2020,72,77,57,76,38,1
12/28/2020,92,98,84,105,73,3
12/29/2020,118,108,111,137,102,3
12/3/2020,1,,,,,
12/3/2021,2859,2046,2633,4783,11943,1410
12/30/2020,146,132,139,167,147,4
12/31/2020,160,151,163,209,203,4
12/4/2020,1,,,,,
12/4/2021,2863,2049,2636,4788,11946,1413
12/5/2020,1,,,,,
12/5/2021,2863,2049,2636,4789,11946,1413
12/6/2020,1,,,,,
12/6/2021,2868,2049,2638,4796,11957,1421
12/7/2020,1,,,,,
12/7/2021,2872,2052,2639,4797,11961,1428
12/8/2020,1,,,,,
12/8/2021,2876,2058,2642,4806,11979,1428
12/9/2020,1,,,,,
12/9/2021,2887,2058,2643,4811,11991,1430
2/1/2021,591,572,677,953,2869,38
2/10/2021,718,663,831,1305,5204,52
2/11/2021,722,668,834,1319,5305,52
2/12/2021,736,677,842,1327,5379,59
2/13/2021,773,699,890,1407,5977,61
2/14/2021,810,740,941,1496,6193,65
2/15/2021,817,742,946,1510,6233,65
2/16/2021,828,750,958,1541,6489,67
2/17/2021,854,766,991,1587,6595,70
2/18/2021,882,782,997,1598,6621,76
2/19/2021,884,783,999,1601,6644,79
2/2/2021,607,589,707,1003,3160,38
2/20/2021,891,788,1000,1604,6658,89
2/21/2021,891,788,1000,1604,6661,89
2/22/2021,895,792,1005,1607,6676,91
2/23/2021,925,808,1026,1663,6761,101
2/24/2021,940,816,1040,1696,6837,102
2/25/2021,951,826,1046,1704,6864,105
2/26/2021,953,828,1053,1706,6887,105
2/27/2021,1004,894,1162,2035,7943,111
2/28/2021,1064,929,1263,2306,8325,115
2/3/2021,625,596,731,1070,3485,40
2/4/2021,640,609,744,1120,3982,43
2/5/2021,653,619,765,1172,4331,48
