date,Arizona_cume,Arizona,Apache_cume,Apache,Coconino_cume,Coconino,Cochise_cume,Cochise,Graham_cume,Graham,Greenlee_cume,Greenlee,Gila_cume,Gila,La Paz_cume,La Paz,Maricopa_cume,Maricopa,Mohave_cume,Mohave,Navajo_cume,Navajo,Pinal_cume,Pinal,Pima_cume,Pima,Santa Cruz_cume,Santa Cruz,Yavapai_cume,Yavapai,Yuma_cume,Yuma
2020-12-01,271,,2.0,,1.0,,3.0,,,,,,1.0,,,,160.0,,1.0,,,,5.0,,77,,1.0,,1.0,,7.0,
2020-12-02,297,26.0,3.0,1.0,2.0,1.0,,,,,,,,,,,177.0,17.0,,,1.0,,,,80,3.0,,,,,,
2020-12-03,323,26.0,5.0,2.0,,,,,,,,,,,,,186.0,9.0,,,,,6.0,1.0,88,8.0,2.0,1.0,,,8.0,1.0
2020-12-04,334,11.0,6.0,1.0,,,,,,,,,,,,,191.0,5.0,,,2.0,1.0,,,91,3.0,,,,,9.0,1.0
2020-12-05,338,4.0,,,,,,,,,,,,,,,193.0,2.0,,,,,,,92,1.0,,,,,,
2020-12-06,342,4.0,,,,,,,,,,,,,,,,,,,3.0,1.0,,,94,2.0,,,2.0,1.0,,
2020-12-07,365,23.0,8.0,2.0,,,,,,,,,,,,,202.0,9.0,,,4.0,1.0,,,97,3.0,,,,,,
2020-12-08,382,17.0,9.0,1.0,,,,,,,,,,,,,209.0,7.0,,,,,,,99,2.0,,,,,10.0,1.0
2020-12-09,402,20.0,11.0,2.0,,,,,,,,,,,,,217.0,8.0,,,,,7.0,1.0,108,9.0,,,,,,
2020-12-10,426,24.0,,,,,,,,,,,,,,,231.0,14.0,,,6.0,2.0,,,111,3.0,,,,,11.0,1.0
2020-12-11,444,18.0,,,,,,,,,,,,,,,239.0,8.0,,,,,,,120,9.0,,,,,,
2020-12-12,459,15.0,,,3.0,1.0,,,,,,,,,,,242.0,3.0,2.0,1.0,,,,,126,6.0,,,3.0,1.0,13.0,2.0
2020-12-13,471,12.0,12.0,1.0,,,,,,,,,,,,,249.0,7.0,,,,,,,129,3.0,,,,,,
2020-12-14,495,24.0,,,,,,,,,,,,,,,262.0,13.0,,,7.0,1.0,,,136,7.0,,,,,,
2020-12-15,591,96.0,16.0,4.0,12.0,9.0,4.0,1.0,,,,,,,,,297.0,35.0,,,11.0,4.0,,,163,27.0,,,,,,
2020-12-16,1245,654.0,46.0,30.0,144.0,132.0,5.0,1.0,,,,,,,,,349.0,52.0,4.0,2.0,38.0,27.0,12.0,5.0,173,10.0,,,6.0,3.0,19.0,6.0
2020-12-17,4527,3282.0,93.0,47.0,272.0,128.0,16.0,11.0,80.0,,,,69.0,68.0,,,1605.0,1256.0,,,113.0,75.0,49.0,37.0,1391,1218.0,10.0,8.0,10.0,4.0,44.0,25.0
2020-12-18,8284,3757.0,131.0,38.0,473.0,201.0,24.0,8.0,147.0,67.0,2.0,,109.0,40.0,,,3274.0,1669.0,6.0,2.0,184.0,71.0,83.0,34.0,2764,1373.0,17.0,7.0,,,45.0,1.0
2020-12-19,10865,2581.0,132.0,1.0,518.0,45.0,31.0,7.0,,,,,111.0,2.0,,,4931.0,1657.0,,,186.0,2.0,110.0,27.0,3500,736.0,21.0,4.0,13.0,3.0,48.0,3.0
2020-12-20,11967,1102.0,,,523.0,5.0,32.0,1.0,148.0,1.0,,,112.0,1.0,,,5929.0,998.0,,,188.0,2.0,121.0,11.0,3525,25.0,23.0,2.0,16.0,3.0,51.0,3.0
2020-12-21,17569,5602.0,149.0,17.0,531.0,8.0,44.0,12.0,195.0,47.0,16.0,14.0,148.0,36.0,10.0,,9092.0,3163.0,18.0,12.0,195.0,7.0,272.0,151.0,5036,1511.0,26.0,3.0,19.0,3.0,224.0,173.0
2020-12-22,25439,7870.0,160.0,11.0,588.0,57.0,305.0,261.0,241.0,46.0,42.0,26.0,170.0,22.0,29.0,19.0,13180.0,4088.0,79.0,61.0,274.0,79.0,521.0,249.0,6603,1567.0,73.0,47.0,385.0,366.0,870.0,646.0
2020-12-23,35373,9934.0,327.0,167.0,895.0,307.0,721.0,416.0,372.0,131.0,49.0,7.0,224.0,54.0,42.0,13.0,17879.0,4699.0,289.0,210.0,440.0,166.0,893.0,372.0,8489,1886.0,99.0,26.0,827.0,442.0,1601.0,731.0
2020-12-24,39264,3891.0,336.0,9.0,1219.0,324.0,831.0,110.0,433.0,61.0,53.0,4.0,293.0,69.0,,,19436.0,1557.0,423.0,134.0,548.0,108.0,963.0,70.0,9547,1058.0,124.0,25.0,877.0,50.0,1822.0,221.0
2020-12-25,39411,147.0,338.0,2.0,1318.0,99.0,,,,,,,,,,,19441.0,5.0,,,552.0,4.0,,,9555,8.0,,,893.0,16.0,,
2020-12-26,45976,6565.0,340.0,2.0,1386.0,68.0,853.0,22.0,443.0,10.0,54.0,1.0,321.0,28.0,,,24386.0,4945.0,587.0,164.0,554.0,2.0,1276.0,313.0,10349,794.0,130.0,6.0,931.0,38.0,1921.0,99.0
2020-12-27,48652,2676.0,,,1466.0,80.0,,,446.0,3.0,,,322.0,1.0,,,26620.0,2234.0,648.0,61.0,555.0,1.0,1352.0,76.0,10522,173.0,,,945.0,14.0,1922.0,1.0
2020-12-28,58199,9547.0,412.0,72.0,1670.0,204.0,937.0,84.0,601.0,155.0,56.0,2.0,457.0,135.0,45.0,3.0,31774.0,5154.0,917.0,269.0,898.0,343.0,1792.0,440.0,12338,1816.0,173.0,43.0,1022.0,77.0,2336.0,414.0
2020-12-29,71548,13349.0,743.0,331.0,1999.0,329.0,1011.0,74.0,754.0,153.0,64.0,8.0,582.0,125.0,47.0,2.0,39536.0,7762.0,1298.0,381.0,1275.0,377.0,2423.0,631.0,14269,1931.0,234.0,61.0,1326.0,304.0,2665.0,329.0
2020-12-30,86747,15199.0,904.0,161.0,2425.0,426.0,1217.0,206.0,873.0,119.0,85.0,21.0,738.0,156.0,64.0,17.0,48072.0,8536.0,1636.0,338.0,1647.0,372.0,3278.0,855.0,16369,2100.0,306.0,72.0,2076.0,750.0,3075.0,410.0
2020-12-31,94959,8212.0,1044.0,140.0,2655.0,230.0,1411.0,194.0,959.0,86.0,115.0,30.0,893.0,155.0,69.0,5.0,52082.0,4010.0,1912.0,276.0,2005.0,358.0,3821.0,543.0,17949,1580.0,371.0,65.0,2218.0,142.0,3159.0,84.0
2021-01-01,98025,3066.0,1047.0,3.0,2771.0,116.0,1444.0,33.0,969.0,10.0,117.0,2.0,897.0,4.0,,,53494.0,1412.0,1983.0,71.0,2101.0,96.0,3898.0,77.0,18949,1000.0,398.0,27.0,2247.0,29.0,3207.0,48.0
2021-01-02,105819,7794.0,1059.0,12.0,2846.0,75.0,1458.0,14.0,972.0,3.0,,,1093.0,196.0,,,59535.0,6041.0,2032.0,49.0,2103.0,2.0,4416.0,518.0,19609,660.0,401.0,3.0,2367.0,120.0,3214.0,7.0
2021-01-03,109095,3276.0,,,2851.0,5.0,1536.0,78.0,,,,,1096.0,3.0,,,62086.0,2551.0,2058.0,26.0,2107.0,4.0,4583.0,167.0,19985,376.0,407.0,6.0,2372.0,5.0,3216.0,2.0
2021-01-04,118200,9105.0,1163.0,104.0,3196.0,345.0,1583.0,47.0,1114.0,142.0,118.0,1.0,1247.0,151.0,72.0,3.0,66756.0,4670.0,2246.0,188.0,2367.0,260.0,5164.0,581.0,21806,1821.0,475.0,68.0,2415.0,43.0,3440.0,224.0
2021-01-05,127615,9415.0,1336.0,173.0,3564.0,368.0,1671.0,88.0,1229.0,115.0,139.0,21.0,1559.0,312.0,74.0,2.0,71082.0,4326.0,2380.0,134.0,2799.0,432.0,5792.0,628.0,23583,1777.0,552.0,77.0,2487.0,72.0,3773.0,333.0
2021-01-06,140009,12394.0,1673.0,337.0,4005.0,441.0,1774.0,103.0,1351.0,122.0,154.0,15.0,1835.0,276.0,105.0,31.0,75972.0,4890.0,2632.0,252.0,3296.0,497.0,6566.0,774.0,25718,2135.0,672.0,120.0,2578.0,91.0,4240.0,467.0
2021-01-07,153067,13058.0,2002.0,329.0,4599.0,594.0,1843.0,69.0,1593.0,242.0,192.0,38.0,2322.0,487.0,160.0,55.0,81288.0,5316.0,2884.0,252.0,4005.0,709.0,7311.0,745.0,27981,2263.0,842.0,170.0,3243.0,665.0,4454.0,214.0
2021-01-08,165439,12372.0,2198.0,196.0,5202.0,603.0,1997.0,154.0,1863.0,270.0,208.0,16.0,2706.0,384.0,,,85859.0,4571.0,3142.0,258.0,4416.0,411.0,8182.0,871.0,30625,2644.0,1009.0,167.0,3984.0,741.0,4727.0,273.0
2021-01-09,173472,8033.0,2214.0,16.0,5300.0,98.0,2371.0,374.0,1865.0,2.0,209.0,1.0,2742.0,36.0,,,90489.0,4630.0,3198.0,56.0,4427.0,11.0,8503.0,321.0,32719,2094.0,1018.0,9.0,4169.0,185.0,4743.0,16.0
2021-01-10,176819,3347.0,2215.0,1.0,5309.0,9.0,2386.0,15.0,,,,,2743.0,1.0,,,93098.0,2609.0,3248.0,50.0,4429.0,2.0,8584.0,81.0,33177,458.0,1023.0,5.0,4178.0,9.0,4760.0,17.0
2021-01-11,193430,16611.0,2806.0,591.0,5674.0,365.0,2666.0,280.0,2002.0,137.0,,,2929.0,186.0,164.0,4.0,102626.0,9528.0,3447.0,199.0,4895.0,466.0,9182.0,598.0,36022,2845.0,1124.0,101.0,4257.0,79.0,5367.0,607.0
2021-01-12,217189,23759.0,3175.0,369.0,6234.0,560.0,2922.0,256.0,2169.0,167.0,248.0,39.0,3023.0,94.0,171.0,7.0,118567.0,15941.0,3732.0,285.0,5379.0,484.0,10027.0,845.0,38888,2866.0,1265.0,141.0,4478.0,221.0,5958.0,591.0
2021-01-13,243079,25890.0,3501.0,326.0,6800.0,566.0,3363.0,441.0,2380.0,211.0,289.0,41.0,3119.0,96.0,331.0,160.0,135766.0,17199.0,4038.0,306.0,5754.0,375.0,11198.0,1171.0,41502,2614.0,1475.0,210.0,4949.0,471.0,6598.0,640.0
2021-01-14,268394,25315.0,4035.0,534.0,7464.0,664.0,3664.0,301.0,2676.0,296.0,352.0,63.0,3366.0,247.0,339.0,8.0,152375.0,16609.0,4422.0,384.0,6201.0,447.0,12418.0,1220.0,44064,2562.0,1694.0,219.0,5278.0,329.0,6781.0,183.0
2021-01-15,294248,25854.0,4342.0,307.0,8607.0,1143.0,4134.0,470.0,3290.0,614.0,367.0,15.0,3616.0,250.0,344.0,5.0,167676.0,15301.0,4835.0,413.0,6705.0,504.0,13519.0,1101.0,48292,4228.0,1914.0,220.0,5390.0,112.0,6970.0,189.0
2021-01-16,310182,15934.0,4361.0,19.0,8778.0,171.0,4536.0,402.0,3349.0,59.0,368.0,1.0,3623.0,7.0,347.0,3.0,179175.0,11499.0,5190.0,355.0,6722.0,17.0,14544.0,1025.0,49768,1476.0,1928.0,14.0,5689.0,299.0,6986.0,16.0
2021-01-17,319629,9447.0,4362.0,1.0,8814.0,36.0,4561.0,25.0,3352.0,3.0,,,3626.0,3.0,349.0,2.0,187535.0,8360.0,5221.0,31.0,6731.0,9.0,14751.0,207.0,50327,559.0,1937.0,9.0,5720.0,31.0,6997.0,11.0
2021-01-18,339198,19569.0,4432.0,70.0,9141.0,327.0,4772.0,211.0,3501.0,149.0,393.0,25.0,3743.0,117.0,361.0,12.0,200301.0,12766.0,5593.0,372.0,6912.0,181.0,15409.0,658.0,54326,3999.0,1965.0,28.0,5925.0,205.0,7046.0,49.0
2021-01-19,366806,27608.0,4711.0,279.0,9737.0,596.0,5174.0,402.0,3796.0,295.0,430.0,37.0,3932.0,189.0,386.0,25.0,217897.0,17596.0,5922.0,329.0,7371.0,459.0,16533.0,1124.0,58556,4230.0,2074.0,109.0,6667.0,742.0,7458.0,412.0
2021-01-20,400128,33322.0,5529.0,818.0,11289.0,1552.0,5844.0,670.0,4084.0,288.0,462.0,32.0,4215.0,283.0,463.0,77.0,236674.0,18777.0,6487.0,565.0,7946.0,575.0,18069.0,1536.0,63567,5011.0,2511.0,437.0,7614.0,947.0,8011.0,553.0
2021-01-21,436462,36334.0,6352.0,823.0,12214.0,925.0,6455.0,611.0,4345.0,261.0,711.0,249.0,4539.0,324.0,473.0,10.0,256450.0,19776.0,6938.0,451.0,8726.0,780.0,19678.0,1609.0,69111,5544.0,2920.0,409.0,9043.0,1429.0,9588.0,1577.0
2021-01-22,475330,38868.0,6821.0,469.0,13199.0,985.0,6788.0,333.0,4627.0,282.0,898.0,187.0,4660.0,121.0,478.0,5.0,278548.0,22098.0,7354.0,416.0,9197.0,471.0,21348.0,1670.0,75802,6691.0,3472.0,552.0,10719.0,1676.0,11001.0,1413.0
2021-01-23,504321,28991.0,6851.0,30.0,13695.0,496.0,7358.0,570.0,4871.0,244.0,1253.0,355.0,4810.0,150.0,483.0,5.0,297469.0,18921.0,8161.0,807.0,9433.0,236.0,22738.0,1390.0,79287,3485.0,3501.0,29.0,12138.0,1419.0,11169.0,168.0
2021-01-24,520691,16370.0,6855.0,4.0,13727.0,32.0,7478.0,120.0,4874.0,3.0,1261.0,8.0,4823.0,13.0,484.0,1.0,309778.0,12309.0,8778.0,617.0,9455.0,22.0,23161.0,423.0,80396,1109.0,3509.0,8.0,13473.0,1335.0,11190.0,21.0
2021-01-25,551051,30360.0,7238.0,383.0,14447.0,720.0,7897.0,419.0,5056.0,182.0,1306.0,45.0,5029.0,206.0,517.0,33.0,325975.0,16197.0,9333.0,555.0,10045.0,590.0,24366.0,1205.0,87691,7295.0,3635.0,126.0,14326.0,853.0,11624.0,434.0
2021-01-26,588575,37524.0,7681.0,443.0,15148.0,701.0,8362.0,465.0,5232.0,176.0,1310.0,4.0,5148.0,119.0,543.0,26.0,348155.0,22180.0,9959.0,626.0,10622.0,577.0,25728.0,1362.0,94513,6822.0,4076.0,441.0,14824.0,498.0,12422.0,798.0
