Category,value
tests,710693
YUMA,12578
YAVAPAI,20876
SANTA CRUZ,2136
PINAL,43299
PIMA,64865
NAVAJO,5756
MOHAVE,15590
MARICOPA,507715
LA PAZ,1863
GREENLEE,300
GRAHAM,1562
GILA,6785
COCONINO,9298
COCHISE,6511
APACHE,1558
Unknown,650
65 years and older,173507
55 - 64 years,141391
45 - 54 years,128228
20 - 44 years,235684
Less than 20 years,31233
positive,0.2048409088030978
