date,pcr_tests_PINAL,pcr_positivity_PINAL,ser_tests_PINAL,ser_positivity_PINAL
2020-08-29 00:00:00,52,0.0576923076923077,12.0,0.0833333333333333
2020-08-28 00:00:00,272,0.0257352941176471,93.0,0.1505376344086022
2020-08-27 00:00:00,809,0.0370828182941904,72.0,0.2083333333333334
2020-08-26 00:00:00,2422,0.004541701073493,71.0,0.0985915492957746
2020-08-25 00:00:00,2825,0.0088495575221239,107.0,0.0934579439252336
2020-08-24 00:00:00,2582,0.0735863671572424,102.0,0.0784313725490196
2020-08-23 00:00:00,330,0.0303030303030303,53.0,0.0566037735849057
2020-08-22 00:00:00,263,0.0304182509505703,85.0,0.0823529411764706
2020-08-21 00:00:00,1398,0.0164520743919886,121.0,0.0826446280991736
2020-08-20 00:00:00,740,0.027027027027027,76.0,0.118421052631579
2020-08-19 00:00:00,1046,0.0382409177820268,56.0,0.125
2020-08-18 00:00:00,430,0.0534883720930233,90.0,0.0888888888888889
2020-08-17 00:00:00,530,0.060377358490566,105.0,0.1523809523809524
2020-08-16 00:00:00,368,0.0407608695652174,49.0,0.1224489795918367
2020-08-15 00:00:00,348,0.0632183908045977,67.0,0.1044776119402985
2020-08-14 00:00:00,505,0.0396039603960396,122.0,0.1147540983606558
2020-08-13 00:00:00,345,0.0927536231884058,84.0,0.1547619047619048
2020-08-12 00:00:00,399,0.0576441102756892,71.0,0.1408450704225352
2020-08-11 00:00:00,403,0.0496277915632754,107.0,0.1682242990654206
2020-08-10 00:00:00,435,0.0689655172413793,121.0,0.1404958677685951
2020-08-09 00:00:00,296,0.0506756756756757,51.0,0.0196078431372549
2020-08-08 00:00:00,296,0.0743243243243243,49.0,0.0816326530612245
2020-08-07 00:00:00,407,0.0909090909090909,115.0,0.1565217391304348
2020-08-06 00:00:00,373,0.0777479892761394,100.0,0.16
2020-08-05 00:00:00,402,0.0945273631840796,76.0,0.1842105263157895
2020-08-04 00:00:00,460,0.0760869565217391,136.0,0.0588235294117647
2020-08-03 00:00:00,445,0.1078651685393259,132.0,0.0757575757575758
2020-08-02 00:00:00,276,0.0869565217391304,52.0,0.0384615384615385
2020-08-01 00:00:00,277,0.0902527075812274,60.0,0.0666666666666667
2020-07-31 00:00:00,452,0.0730088495575221,162.0,0.1358024691358025
2020-07-30 00:00:00,353,0.1473087818696884,106.0,0.1037735849056604
2020-07-29 00:00:00,387,0.0852713178294574,123.0,0.1138211382113821
2020-07-28 00:00:00,475,0.12,120.0,0.1083333333333333
2020-07-27 00:00:00,556,0.1133093525179856,151.0,0.1059602649006623
2020-07-26 00:00:00,286,0.1153846153846154,47.0,0.0851063829787234
2020-07-25 00:00:00,496,0.092741935483871,53.0,0.0943396226415094
2020-07-24 00:00:00,566,0.0918727915194346,153.0,0.0980392156862745
2020-07-23 00:00:00,470,0.1085106382978724,136.0,0.0441176470588235
2020-07-22 00:00:00,601,0.086522462562396,88.0,0.0795454545454546
2020-07-21 00:00:00,583,0.1012006861063465,159.0,0.1257861635220126
2020-07-20 00:00:00,585,0.1094017094017094,156.0,0.1282051282051282
2020-07-19 00:00:00,259,0.1081081081081081,49.0,0.0204081632653061
2020-07-18 00:00:00,599,0.1135225375626044,82.0,0.0487804878048781
2020-07-17 00:00:00,811,0.1294697903822442,156.0,0.108974358974359
2020-07-16 00:00:00,879,0.0967007963594994,121.0,0.1074380165289256
2020-07-15 00:00:00,944,0.111228813559322,96.0,0.125
2020-07-14 00:00:00,1042,0.13531669865643,166.0,0.0963855421686747
2020-07-13 00:00:00,786,0.1717557251908397,152.0,0.0394736842105263
2020-07-12 00:00:00,403,0.1687344913151365,57.0,0.0526315789473684
2020-07-11 00:00:00,631,0.1489698890649763,108.0,0.0648148148148148
2020-07-10 00:00:00,959,0.1397288842544317,151.0,0.0596026490066225
2020-07-09 00:00:00,1028,0.1595330739299611,117.0,0.0512820512820513
2020-07-08 00:00:00,1036,0.1862934362934363,131.0,0.0534351145038168
2020-07-07 00:00:00,1317,0.1366742596810934,177.0,0.0677966101694915
2020-07-06 00:00:00,834,0.1954436450839329,157.0,0.0318471337579618
2020-07-05 00:00:00,333,0.2252252252252253,28.0,0
2020-07-04 00:00:00,349,0.2492836676217765,44.0,0.0454545454545455
2020-07-03 00:00:00,839,0.1799761620977354,68.0,0.0147058823529412
2020-07-02 00:00:00,1503,0.1516966067864272,153.0,0.0849673202614379
2020-07-01 00:00:00,1199,0.1618015012510425,160.0,0.025
2020-06-30 00:00:00,1250,0.1728,155.0,0.032258064516129
2020-06-29 00:00:00,961,0.2195629552549428,221.0,0.0497737556561086
2020-06-28 00:00:00,369,0.2113821138211382,67.0,0.0149253731343284
2020-06-27 00:00:00,561,0.1942959001782531,83.0,0.036144578313253
2020-06-26 00:00:00,841,0.1414982164090369,228.0,0.0307017543859649
2020-06-25 00:00:00,826,0.1791767554479419,174.0,0.0402298850574713
2020-06-24 00:00:00,1411,0.11268603827073,179.0,0.0391061452513967
2020-06-23 00:00:00,1703,0.0963006459189665,226.0,0.0707964601769912
2020-06-22 00:00:00,961,0.1696149843912591,200.0,0.015
2020-06-21 00:00:00,377,0.1777188328912467,78.0,0
2020-06-20 00:00:00,514,0.1556420233463035,83.0,0.0481927710843374
2020-06-19 00:00:00,1041,0.1364073006724304,208.0,0.0480769230769231
2020-06-18 00:00:00,774,0.1666666666666667,146.0,0.0342465753424658
2020-06-17 00:00:00,751,0.1837549933422104,143.0,0.027972027972028
2020-06-16 00:00:00,958,0.1461377870563674,280.0,0.0178571428571429
