date,20-34_Apache,35-44_Apache,45-54_Apache,55-64_Apache,65+_Apache,<20_Apache
1/1/2021,153,141,185,210,246,3
1/10/2021,190,191,259,325,683,10
1/11/2021,194,198,269,341,785,11
1/12/2021,203,209,282,372,912,11
1/13/2021,206,221,306,404,1008,13
1/14/2021,223,244,326,458,1249,16
1/15/2021,231,248,343,484,1335,21
1/16/2021,231,248,344,487,1349,21
1/17/2021,231,248,345,487,1349,21
1/18/2021,238,255,357,497,1376,21
1/19/2021,247,264,370,523,1455,22
1/2/2021,153,143,186,210,247,3
1/20/2021,264,279,398,559,1534,61
1/21/2021,282,301,426,635,1659,112
1/22/2021,319,339,469,711,1768,126
1/23/2021,321,340,469,714,1786,128
1/24/2021,321,340,469,715,1788,128
1/25/2021,325,354,474,727,1849,128
1/26/2021,334,364,485,749,1936,134
1/27/2021,348,375,501,772,2021,149
1/28/2021,375,398,555,875,2141,157
1/29/2021,389,413,579,901,2177,164
1/3/2021,153,143,186,210,247,3
1/30/2021,391,413,579,902,2178,171
1/31/2021,391,414,579,920,2181,175
1/4/2021,156,145,190,214,269,3
1/5/2021,160,150,198,228,318,6
1/6/2021,169,165,212,254,491,10
1/7/2021,177,182,239,306,634,10
1/8/2021,190,191,259,324,676,10
1/9/2021,190,191,259,325,682,10
10/1/2021,2945,1980,2080,2837,4333,5396
10/10/2021,3013,2045,2160,2955,4531,5418
10/11/2021,3014,2050,2165,2959,4544,5419
10/12/2021,3029,2058,2171,2970,4574,5422
10/13/2021,3046,2072,2198,3006,4613,5425
10/14/2021,3055,2083,2213,3015,4635,5427
10/15/2021,3063,2094,2231,3024,4666,5429
10/16/2021,3070,2102,2233,3031,4683,5430
10/17/2021,3072,2105,2235,3033,4684,5430
10/18/2021,3076,2111,2249,3040,4712,5437
10/19/2021,3092,2120,2256,3052,4731,5439
10/2/2021,2951,1987,2086,2848,4347,5397
10/20/2021,3107,2136,2268,3071,4764,5441
10/21/2021,3112,2142,2284,3082,4773,5444
10/22/2021,3121,2151,2292,3090,4793,5451
10/23/2021,3126,2156,2303,3104,4815,5452
10/24/2021,3131,2163,2304,3106,4821,5453
10/25/2021,3139,2168,2317,3119,4840,5457
10/26/2021,3150,2172,2328,3135,4864,5462
10/27/2021,3158,2189,2338,3150,4877,5472
10/28/2021,3168,2198,2347,3172,4895,5476
10/29/2021,3180,2205,2356,3192,4915,5477
10/3/2021,2955,1991,2093,2856,4358,5397
10/30/2021,3183,2209,2360,3201,4920,5478
10/31/2021,3197,2212,2364,3205,4925,5478
10/4/2021,2963,1996,2096,2865,4382,5406
10/5/2021,2975,2008,2116,2888,4414,5407
10/6/2021,2980,2013,2128,2898,4440,5411
10/7/2021,2990,2023,2139,2916,4467,5412
10/8/2021,2999,2034,2152,2936,4510,5418
10/9/2021,3008,2039,2160,2954,4528,5418
11/1/2021,3209,2224,2377,3223,4954,5482
11/10/2021,3304,2286,2460,3348,5105,5516
11/11/2021,3304,2287,2461,3349,5106,5516
11/2/2021,3216,2232,2394,3248,4977,5485
11/3/2021,3224,2237,2411,3268,4997,5488
11/4/2021,3243,2249,2423,3292,5017,5495
11/5/2021,3254,2253,2432,3302,5032,5497
11/6/2021,3265,2261,2436,3307,5041,5498
11/7/2021,3273,2270,2440,3315,5049,5499
11/8/2021,3288,2277,2448,3328,5075,5505
11/9/2021,3296,2281,2452,3338,5090,5508
12/1/2020,,,2,,,
12/10/2020,2,2,3,3,,1
12/11/2020,2,2,3,3,,1
12/12/2020,2,2,3,3,,1
12/13/2020,2,2,3,3,1,1
12/14/2020,2,2,3,3,1,1
12/15/2020,3,3,3,5,1,1
12/16/2020,7,9,9,16,3,1
12/17/2020,14,21,24,28,3,1
12/18/2020,19,23,29,33,7,1
12/19/2020,19,23,30,33,7,1
12/2/2020,,1,2,,,
12/20/2020,19,23,30,33,7,1
12/21/2020,20,24,33,39,8,1
12/22/2020,21,26,36,40,8,1
12/23/2020,56,50,62,85,36,1
12/24/2020,59,51,63,87,38,1
12/25/2020,59,51,63,88,39,1
12/26/2020,59,51,65,88,39,1
12/27/2020,59,51,65,88,39,1
12/28/2020,75,58,74,103,63,1
12/29/2020,117,114,140,162,170,1
12/3/2020,1,1,2,1,,
12/30/2020,145,130,170,200,212,3
12/31/2020,153,141,185,210,243,3
12/4/2020,1,1,2,2,,
12/5/2020,1,1,2,2,,
12/6/2020,1,1,2,2,,
12/7/2020,1,1,3,2,,1
12/8/2020,1,1,3,3,,1
12/9/2020,2,2,3,3,,1
2/1/2021,401,433,600,959,2252,194
2/10/2021,729,658,903,1365,2736,403
2/11/2021,894,754,964,1453,2795,487
2/12/2021,930,792,995,1472,2831,520
2/13/2021,976,825,1012,1481,2844,535
2/14/2021,977,825,1012,1481,2844,535
2/15/2021,979,827,1018,1494,2865,535
2/16/2021,1018,856,1042,1515,2884,547
2/17/2021,1096,905,1080,1556,2921,569
2/18/2021,1145,929,1099,1589,2956,586
2/19/2021,1177,950,1124,1606,2973,629
2/2/2021,410,436,610,992,2325,208
2/20/2021,1210,956,1135,1626,2980,652
2/21/2021,1210,957,1136,1626,2980,659
2/22/2021,1260,979,1166,1653,3004,670
2/23/2021,1297,1003,1183,1680,3022,677
2/24/2021,1337,1021,1200,1707,3051,689
2/25/2021,1365,1039,1210,1729,3080,852
2/26/2021,1403,1052,1217,1744,3091,868
2/27/2021,1420,1061,1226,1754,3096,880
2/28/2021,1421,1061,1226,1754,3096,880
2/3/2021,456,473,666,1064,2409,227
2/4/2021,515,518,743,1166,2508,248
2/5/2021,572,562,788,1223,2549,264
2/6/2021,599,582,829,1256,2563,328
2/7/2021,599,583,829,1256,2564,328
2/8/2021,611,603,849,1277,2615,332
2/9/2021,629,619,864,1318,2684,337
3/1/2021,1451,1082,1241,1788,3128,935
3/10/2021,1647,1194,1340,1945,3274,1217
3/11/2021,1686,1210,1356,1975,3307,1234
3/12/2021,1699,1215,1359,1984,3319,1261
3/13/2021,1700,1216,1359,1985,3320,1264
3/14/2021,1700,1216,1359,1985,3322,1264
3/15/2021,1726,1227,1371,2007,3352,1286
3/16/2021,1748,1239,1379,2023,3373,1327
3/17/2021,1782,1251,1390,2034,3395,1348
3/18/2021,1795,1257,1398,2045,3417,1356
3/19/2021,1823,1263,1402,2064,3423,1368
3/2/2021,1490,1097,1261,1810,3153,973
3/20/2021,1823,1264,1404,2065,3427,1371
3/21/2021,1823,1264,1404,2066,3429,1371
3/22/2021,1842,1274,1410,2086,3447,1376
3/23/2021,1852,1281,1413,2096,3465,1386
3/24/2021,1880,1316,1445,2146,3536,1404
3/25/2021,1887,1319,1453,2152,3545,1419
3/26/2021,1889,1324,1457,2158,3551,1426
3/27/2021,1893,1324,1458,2158,3553,1431
3/28/2021,1894,1324,1458,2159,3553,1432
3/29/2021,1906,1330,1468,2172,3566,1436
3/3/2021,1512,1114,1270,1828,3184,1015
3/30/2021,1911,1334,1473,2177,3575,1447
3/31/2021,1917,1344,1489,2193,3587,1467
3/4/2021,1538,1137,1288,1850,3198,1096
3/5/2021,1563,1153,1302,1869,3205,1125
3/6/2021,1572,1161,1306,1874,3210,1143
3/7/2021,1572,1161,1306,1874,3212,1143
3/8/2021,1604,1171,1314,1893,3221,1160
3/9/2021,1622,1183,1325,1920,3245,1188
4/1/2021,1925,1351,1498,2208,3595,1476
4/10/2021,2015,1403,1552,2270,3664,1606
4/11/2021,2017,1403,1553,2271,3664,1608
4/12/2021,2029,1418,1565,2283,3674,1615
4/13/2021,2035,1422,1569,2288,3692,1631
4/14/2021,2042,1425,1571,2290,3698,1644
4/15/2021,2051,1434,1574,2294,3705,1656
4/16/2021,2056,1439,1576,2299,3710,1666
4/17/2021,2056,1441,1577,2299,3713,1669
4/18/2021,2056,1442,1578,2299,3714,1669
4/19/2021,2062,1442,1581,2300,3716,1675
4/2/2021,1934,1356,1501,2212,3597,1487
4/20/2021,2071,1449,1585,2308,3725,1685
4/21/2021,2077,1461,1588,2314,3733,1693
4/22/2021,2086,1467,1591,2325,3744,1704
4/23/2021,2088,1470,1593,2328,3745,1717
4/24/2021,2090,1470,1596,2328,3746,1722
4/25/2021,2092,1470,1596,2329,3748,1723
4/26/2021,2097,1471,1598,2334,3751,1728
4/27/2021,2102,1476,1606,2339,3761,1742
4/28/2021,2115,1477,1611,2341,3769,1749
4/29/2021,2125,1481,1618,2349,3775,1758
4/3/2021,1939,1359,1503,2215,3598,1495
4/30/2021,2132,1485,1619,2351,3781,1766
4/4/2021,1940,1360,1503,2215,3598,1496
4/5/2021,1950,1370,1510,2224,3618,1507
4/6/2021,1964,1379,1520,2233,3637,1526
4/7/2021,1983,1385,1531,2243,3651,1553
4/8/2021,1996,1393,1539,2255,3660,1567
4/9/2021,2004,1399,1545,2261,3663,1593
5/1/2021,2139,1490,1620,2352,3782,1774
5/10/2021,2175,1502,1641,2364,3813,1817
5/11/2021,2180,1503,1643,2366,3819,1821
5/12/2021,2185,1504,1645,2373,3828,1839
5/13/2021,2191,1509,1647,2376,3834,1934
5/14/2021,2197,1512,1650,2378,3835,2104
5/15/2021,2198,1512,1650,2378,3835,2502
5/16/2021,2199,1512,1650,2378,3835,2507
5/17/2021,2207,1518,1651,2382,3837,2699
5/18/2021,2213,1518,1658,2393,3839,2868
5/19/2021,2222,1522,1660,2395,3841,2977
5/2/2021,2139,1490,1621,2352,3782,1774
5/20/2021,2234,1524,1666,2403,3846,3040
5/21/2021,2241,1524,1666,2404,3850,3095
5/22/2021,2242,1524,1668,2406,3851,3132
5/23/2021,2243,1524,1670,2408,3852,3132
5/24/2021,2247,1526,1673,2409,3855,3197
5/25/2021,2254,1529,1679,2414,3863,3244
5/26/2021,2256,1533,1680,2417,3865,3332
5/27/2021,2262,1537,1683,2419,3869,3383
5/28/2021,2266,1537,1686,2422,3871,3434
5/29/2021,2268,1538,1691,2423,3872,3438
5/3/2021,2144,1492,1623,2355,3790,1780
5/30/2021,2269,1541,1691,2423,3872,3438
5/31/2021,2269,1543,1691,2423,3872,3438
5/4/2021,2151,1494,1629,2363,3799,1790
5/5/2021,2153,1498,1632,2363,3800,1795
5/6/2021,2163,1500,1634,2364,3807,1804
5/7/2021,2169,1502,1636,2364,3809,1811
5/8/2021,2170,1502,1636,2364,3810,1812
5/9/2021,2171,1502,1636,2364,3810,1812
