date,Yavapai_cume,Yavapai
2020-12-01,1,
2020-12-06,2,1
2020-12-12,3,1
2020-12-16,6,3
2020-12-17,9,3
2020-12-19,12,3
2020-12-20,15,3
2020-12-21,18,3
2020-12-22,384,366
2020-12-23,824,440
2020-12-24,874,50
2020-12-25,890,16
2020-12-26,928,38
2020-12-27,942,14
2020-12-28,1018,76
2020-12-29,1322,304
2020-12-30,2072,750
2020-12-31,2214,142
2021-01-01,2243,29
2021-01-02,2363,120
2021-01-03,2368,5
2021-01-04,2411,43
2021-01-05,2483,72
2021-01-06,2573,90
2021-01-07,3235,662
2021-01-08,3975,740
2021-01-09,4160,185
2021-01-10,4169,9
2021-01-11,4247,78
2021-01-12,4468,221
2021-01-13,4934,466
2021-01-14,5260,326
2021-01-15,5371,111
2021-01-16,5669,298
2021-01-17,5700,31
2021-01-18,5904,204
2021-01-19,6645,741
2021-01-20,7588,943
2021-01-21,9014,1426
2021-01-22,10688,1674
2021-01-23,12104,1416
2021-01-24,13439,1335
2021-01-25,14292,853
2021-01-26,14789,497
2021-01-27,16542,1753
2021-01-28,18505,1963
2021-01-29,20279,1774
2021-01-30,21230,951
2021-01-31,22144,914
2021-02-01,24097,1953
2021-02-02,26310,2213
2021-02-03,28784,2474
2021-02-04,30707,1923
2021-02-05,32569,1862
2021-02-06,33823,1254
2021-02-07,34829,1006
2021-02-08,36368,1539
2021-02-09,37922,1554
2021-02-10,40035,2113
2021-02-11,41683,1648
2021-02-12,43237,1554
2021-02-13,44528,1291
2021-02-14,45530,1002
2021-02-15,46307,777
2021-02-16,47771,1464
2021-02-17,48732,961
2021-02-18,49319,587
2021-02-19,49890,571
2021-02-20,50175,285
2021-02-21,50391,216
2021-02-22,50689,298
2021-02-23,52118,1429
2021-02-24,55101,2983
2021-02-25,57901,2800
2021-02-26,61048,3147
2021-02-27,62224,1176
2021-02-28,63373,1149
2021-03-01,65937,2564
2021-03-02,68216,2279
2021-03-03,70892,2676
2021-03-04,72570,1678
2021-03-05,74568,1998
2021-03-06,76205,1637
2021-03-07,77783,1578
2021-03-08,80315,2532
2021-03-09,83147,2832
2021-03-10,86032,2885
2021-03-11,88049,2017
2021-03-12,89884,1835
2021-03-13,91638,1754
2021-03-14,93326,1688
2021-03-15,95367,2041
2021-03-16,97546,2179
2021-03-17,99370,1824
2021-03-18,100649,1279
2021-03-19,101909,1260
2021-03-20,102876,967
2021-03-21,103160,284
2021-03-22,104272,1112
2021-03-23,105384,1112
2021-03-24,106791,1407
2021-03-25,108226,1435
2021-03-26,109696,1470
2021-03-27,110563,867
2021-03-28,110773,210
2021-03-29,111796,1023
2021-03-30,112882,1086
2021-03-31,114039,1157
2021-04-01,115406,1367
2021-04-02,116744,1338
2021-04-03,117555,811
2021-04-04,117766,211
2021-04-05,119148,1382
2021-04-06,120762,1614
2021-04-07,122296,1534
2021-04-08,124110,1814
2021-04-09,126020,1910
2021-04-10,126827,807
2021-04-11,127496,669
2021-04-12,128758,1262
2021-04-13,129567,809
2021-04-14,131115,1548
2021-04-15,132815,1700
2021-04-16,134318,1503
2021-04-17,135982,1664
2021-04-18,136739,757
2021-04-19,138311,1572
2021-04-20,139184,873
2021-04-21,140474,1290
2021-04-22,141972,1498
2021-04-23,143434,1462
2021-04-24,144662,1228
2021-04-25,145163,501
2021-04-26,146340,1177
2021-04-27,147187,847
2021-04-28,148277,1090
2021-04-29,149121,844
2021-04-30,150101,980
2021-05-01,150703,602
2021-05-02,150920,217
2021-05-03,151652,732
2021-05-04,152536,884
2021-05-05,153176,640
2021-05-06,153775,599
2021-05-07,154378,603
2021-05-08,154838,460
2021-05-09,154997,159
2021-05-10,155595,598
2021-05-11,156116,521
2021-05-12,156821,705
2021-05-13,157372,551
2021-05-14,158102,730
2021-05-15,158564,462
2021-05-16,158746,182
2021-05-17,159177,431
2021-05-18,159678,501
2021-05-19,160255,577
2021-05-20,160928,673
2021-05-21,161439,511
2021-05-22,161711,272
2021-05-23,161896,185
2021-05-24,162285,389
2021-05-25,162669,384
2021-05-26,163082,413
2021-05-27,163448,366
2021-05-28,163878,430
2021-05-29,164073,195
2021-05-30,164216,143
2021-05-31,164315,99
2021-06-01,164716,401
2021-06-02,165115,399
2021-06-03,165534,419
2021-06-04,165974,440
2021-06-05,166178,204
2021-06-06,166318,140
2021-06-07,166608,290
2021-06-08,166945,337
2021-06-09,167266,321
2021-06-10,167573,307
2021-06-11,167926,353
2021-06-12,168139,213
2021-06-13,168257,118
2021-06-14,168506,249
2021-06-15,168801,295
2021-06-16,169100,299
2021-06-17,169348,248
2021-06-18,169676,328
2021-06-19,169811,135
2021-06-20,169888,77
2021-06-21,170068,180
2021-06-22,170314,246
2021-06-23,170587,273
2021-06-24,170796,209
2021-06-25,171068,272
2021-06-26,171188,120
2021-06-27,171269,81
2021-06-28,171464,195
2021-06-29,171652,188
2021-06-30,171913,261
2021-07-01,172146,233
2021-07-02,172406,260
2021-07-03,172532,126
2021-07-04,172547,15
2021-07-05,172696,149
2021-07-06,172892,196
2021-07-07,173133,241
2021-07-08,173320,187
2021-07-09,173548,228
2021-07-10,173678,130
2021-07-11,173737,59
2021-07-12,173889,152
2021-07-13,174051,162
2021-07-14,174221,170
2021-07-15,174399,178
2021-07-16,174701,302
2021-07-17,174868,167
2021-07-18,174968,100
2021-07-19,175200,232
2021-07-20,175447,247
2021-07-21,175768,321
2021-07-22,176051,283
2021-07-23,176354,303
2021-07-24,176599,245
2021-07-25,176745,146
2021-07-26,177012,267
2021-07-27,177312,300
2021-07-28,177603,291
2021-07-29,177852,249
2021-07-30,178327,475
2021-07-31,178551,224
2021-08-01,178689,138
2021-08-02,178952,263
2021-08-03,179236,284
2021-08-04,179527,291
2021-08-05,179833,306
2021-08-06,180240,407
2021-08-07,180511,271
2021-08-08,180666,155
2021-08-09,180974,308
2021-08-10,181222,248
2021-08-11,181485,263
2021-08-12,181858,373
2021-08-13,182359,501
2021-08-14,182681,322
2021-08-15,182860,179
2021-08-16,183229,369
2021-08-17,183615,386
2021-08-18,184003,388
2021-08-19,184378,375
2021-08-20,184873,495
2021-08-21,185129,256
2021-08-22,185286,157
2021-08-23,185602,316
2021-08-24,185934,332
2021-08-25,186350,416
2021-08-26,186702,352
2021-08-27,187199,497
2021-08-28,187440,241
2021-08-29,187615,175
2021-08-30,187930,315
2021-08-31,188222,292
2021-09-01,188570,348
2021-09-02,188812,242
2021-09-03,189248,436
2021-09-04,189479,231
2021-09-05,189621,142
2021-09-06,189680,59
2021-09-07,189968,288
2021-09-08,190275,307
2021-09-09,190518,243
2021-09-10,191005,487
2021-09-11,191197,192
2021-09-12,191347,150
2021-09-13,191601,254
2021-09-14,191847,246
2021-09-15,192044,197
2021-09-16,192286,242
2021-09-17,192644,358
2021-09-18,192816,172
2021-09-19,192913,97
2021-09-20,193081,168
2021-09-21,193291,210
2021-09-22,193552,261
2021-09-23,193793,241
2021-09-24,194171,378
2021-09-25,194381,210
2021-09-26,194463,82
2021-09-27,194716,253
2021-09-28,194925,209
2021-09-29,195182,257
2021-09-30,195440,258
2021-10-01,195746,306
2021-10-02,195881,135
2021-10-03,195935,54
2021-10-04,196143,208
2021-10-05,196359,216
2021-10-06,196587,228
2021-10-07,196745,158
2021-10-08,197004,259
2021-10-09,197122,118
2021-10-10,197193,71
2021-10-11,197392,199
2021-10-12,197530,138
2021-10-13,197728,198
2021-10-14,197951,223
2021-10-15,198196,245
2021-10-16,198299,103
2021-10-17,198384,85
2021-10-18,198569,185
2021-10-19,198750,181
2021-10-20,198956,206
2021-10-21,199152,196
2021-10-22,199930,778
2021-10-23,200380,450
2021-10-24,200676,296
2021-10-25,201671,995
2021-10-26,202649,978
2021-10-27,203716,1067
2021-10-28,204860,1144
2021-10-29,205925,1065
2021-10-30,206252,327
2021-10-31,206477,225
2021-11-01,207218,741
2021-11-02,208015,797
2021-11-03,208943,928
2021-11-04,209829,886
2021-11-05,210920,1091
2021-11-06,211388,468
2021-11-07,211712,324
2021-11-08,212707,995
2021-11-09,213776,1069
2021-11-10,214687,911
2021-11-11,215034,347
