Category,value
Apache,497
Cochise,363
Coconino,372
Gila,268
Graham,121
Greenlee,16
La Paz,101
Maricopa,"12,439"
Mohave,"1,007"
Navajo,647
Pima,"2,792"
Pinal,"1,128"
Santa Cruz,195
Yavapai,734
Yuma,920
Female,8930
Male,12657
20-44y,1149
45-54y,1634
55-64y,3350
65+,15420
<20y,47
"White, non-Hispanic",11012
Hispanic or Latino,6021
"American Indian or Alaska Native, non-Hispanic",1666
"Black or African American, non-Hispanic",665
"Asian or Pacific Islander, non-Hispanic",277
Other Race,607
Unknown,1352
