date,icu_covid,icu_non_covid,icu_empty
2021-10-07,473,1173,128
2021-10-06,477,1171,126
2021-10-05,485,1162,126
2021-10-04,483,1164,117
2021-10-03,494,1163,113
2021-10-02,492,1150,130
2021-10-01,492,1150,128
2021-09-30,497,1133,133
2021-09-29,510,1112,138
2021-09-28,522,1094,145
2021-09-27,550,1083,140
2021-09-26,529,1116,130
2021-09-25,528,1120,128
2021-09-24,519,1118,137
2021-09-23,514,1122,139
2021-09-22,539,1101,132
2021-09-21,546,1056,160
2021-09-20,538,1053,169
2021-09-19,524,1068,169
2021-09-18,542,1068,152
2021-09-17,553,1033,157
2021-09-16,573,1015,158
2021-09-15,565,1035,143
2021-09-14,564,1048,129
2021-09-13,566,1038,135
2021-09-12,554,1039,142
2021-09-11,551,1046,136
2021-09-10,552,1059,132
2021-09-09,559,1055,137
2021-09-08,561,1045,143
2021-09-07,560,1034,154
2021-09-06,559,1027,152
2021-09-05,568,1013,147
2021-09-04,563,1021,150
2021-09-03,561,1034,140
2021-09-02,557,1056,149
2021-09-01,549,1074,139
2021-08-31,531,1076,148
2021-08-30,511,1079,167
2021-08-29,508,1089,159
2021-08-28,518,1083,156
2021-08-27,495,1112,165
2021-08-26,491,1126,152
2021-08-25,487,1137,141
2021-08-24,495,1128,148
2021-08-23,494,1100,166
2021-08-22,476,1109,177
2021-08-21,455,1146,165
2021-08-20,462,1139,159
2021-08-19,438,1158,166
2021-08-18,432,1137,189
2021-08-17,408,1168,182
2021-08-16,399,1168,188
2021-08-15,389,1195,175
2021-08-14,385,1204,171
2021-08-13,382,1204,171
2021-08-12,390,1200,163
2021-08-11,383,1203,174
2021-08-10,385,1208,166
2021-08-09,375,1200,186
2021-08-08,357,1205,197
2021-08-07,346,1216,200
2021-08-06,361,1192,206
2021-08-05,337,1221,166
2021-08-04,321,1226,175
2021-08-03,316,1225,178
2021-08-02,293,1243,187
2021-08-01,298,1218,208
