Category,value
Apache,558
Cochise,487
Coconino,426
Gila,322
Graham,160
Greenlee,30
La Paz,112
Maricopa,"14,179"
Mohave,"1,238"
Navajo,776
Pima,"3,304"
Pinal,"1,385"
Santa Cruz,207
Yavapai,"1,012"
Yuma,"1,016"
Female,10434
Male,14765
20-44y,1391
45-54y,1981
55-64y,4014
65+,17771
<20y,55
"White, non-Hispanic",13199
Hispanic or Latino,6816
"American Indian or Alaska Native, non-Hispanic",1817
"Black or African American, non-Hispanic",769
"Asian or Pacific Islander, non-Hispanic",307
Other Race,696
Unknown,1608
