Category,value
Apache,576
Cochise,529
Coconino,448
Gila,346
Graham,168
Greenlee,31
La Paz,128
Maricopa,"15,320"
Mohave,"1,335"
Navajo,834
Pima,"3,554"
Pinal,"1,499"
Santa Cruz,217
Yavapai,"1,113"
Yuma,"1,088"
Female,11254
Male,15917
20-44y,1501
45-54y,2155
55-64y,4324
65+,19146
<20y,60
"White, non-Hispanic",14351
Hispanic or Latino,7265
"American Indian or Alaska Native, non-Hispanic",1898
"Black or African American, non-Hispanic",841
"Asian or Pacific Islander, non-Hispanic",320
Other Race,743
Unknown,1768
