date,20-34_Coconino,35-44_Coconino,45-54_Coconino,55-64_Coconino,65+_Coconino,<20_Coconino
1/1/2021,634,739,577,443,359,3
1/10/2021,1145,1157,952,797,720,13
1/11/2021,1216,1240,1031,849,788,14
1/12/2021,1323,1325,1104,932,989,15
1/13/2021,1385,1389,1186,1007,1251,16
1/14/2021,1485,1476,1279,1094,1523,16
1/15/2021,1599,1570,1360,1185,2272,17
1/16/2021,1610,1586,1375,1209,2375,17
1/17/2021,1616,1594,1383,1213,2382,17
1/18/2021,1684,1667,1438,1267,2446,18
1/19/2021,1773,1732,1503,1346,2704,19
1/2/2021,660,755,585,458,369,3
1/20/2021,2021,2007,1827,1636,2921,24
1/21/2021,2169,2121,1928,1735,3135,25
1/22/2021,2263,2199,2025,1847,3476,26
1/23/2021,2307,2233,2059,1883,3679,29
1/24/2021,2313,2236,2059,1884,3698,29
1/25/2021,2362,2287,2122,1984,4008,30
1/26/2021,2423,2342,2178,2062,4373,32
1/27/2021,2675,2486,2327,2222,4756,35
1/28/2021,2868,2610,2462,2383,5160,41
1/29/2021,2965,2694,2541,2492,5502,45
1/3/2021,660,756,585,459,371,3
1/30/2021,3026,2737,2570,2531,5620,52
1/31/2021,3036,2739,2571,2535,5646,52
1/4/2021,729,832,645,528,432,4
1/5/2021,815,905,698,592,502,8
1/6/2021,895,956,752,645,569,9
1/7/2021,1011,1043,839,712,669,9
1/8/2021,1131,1149,940,777,710,13
1/9/2021,1145,1156,950,794,718,13
10/1/2021,22462,11827,11046,12784,19201,8310
10/10/2021,22597,11878,11102,12815,19248,8381
10/11/2021,22606,11883,11108,12817,19254,8385
10/12/2021,22612,11887,11110,12817,19255,8394
10/13/2021,22628,11891,11120,12821,19268,8402
10/14/2021,22642,11893,11121,12832,19275,8410
10/15/2021,22657,11900,11131,12835,19282,8417
10/16/2021,22672,11900,11133,12840,19283,8422
10/17/2021,22691,11903,11136,12840,19284,8430
10/18/2021,22703,11912,11140,12845,19292,8434
10/19/2021,22722,11916,11142,12850,19296,8440
10/2/2021,22475,11827,11047,12784,19206,8315
10/20/2021,22736,11925,11152,12853,19304,8449
10/21/2021,22751,11932,11157,12859,19309,8454
10/22/2021,22773,11947,11167,12877,19336,8461
10/23/2021,22788,11954,11173,12887,19352,8470
10/24/2021,22796,11958,11175,12888,19361,8472
10/25/2021,22812,11969,11185,12897,19386,8481
10/26/2021,22828,11978,11191,12912,19406,8503
10/27/2021,22858,11990,11205,12928,19448,8516
10/28/2021,22876,11995,11212,12934,19470,8522
10/29/2021,22906,12020,11225,12953,19500,8537
10/3/2021,22489,11827,11051,12787,19208,8324
10/30/2021,22928,12033,11241,12961,19511,8550
10/31/2021,22942,12039,11249,12967,19517,8556
10/4/2021,22511,11832,11057,12793,19217,8329
10/5/2021,22524,11836,11061,12798,19224,8335
10/6/2021,22549,11853,11073,12803,19229,8347
10/7/2021,22559,11863,11079,12810,19232,8356
10/8/2021,22579,11874,11099,12813,19235,8369
10/9/2021,22589,11877,11101,12815,19244,8376
11/1/2021,22963,12048,11255,12982,19529,8558
11/10/2021,23160,12149,11326,13074,19631,9756
11/11/2021,23192,12160,11335,13087,19638,9825
11/12/2021,23222,12171,11354,13100,19655,10151
11/13/2021,23238,12179,11363,13106,19663,10287
11/14/2021,23258,12183,11367,13113,19664,10332
11/15/2021,23281,12195,11380,13130,19686,10390
11/16/2021,23307,12209,11386,13141,19693,10480
11/17/2021,23329,12221,11394,13151,19720,10644
11/18/2021,23362,12234,11406,13162,19736,10711
11/19/2021,23413,12253,11420,13181,19751,10881
11/2/2021,22977,12054,11259,12989,19542,8568
11/20/2021,23435,12269,11428,13189,19763,11017
11/21/2021,23455,12277,11432,13198,19768,11059
11/22/2021,23482,12289,11446,13213,19786,11120
11/23/2021,23509,12295,11464,13223,19803,11178
11/24/2021,23529,12308,11470,13228,19815,11226
11/25/2021,23529,12308,11470,13228,19815,11226
11/26/2021,23552,12318,11473,13242,19822,11275
11/27/2021,23565,12320,11476,13249,19825,11287
11/28/2021,23574,12325,11479,13253,19827,11293
11/29/2021,23597,12336,11484,13264,19848,11342
11/3/2021,23005,12069,11267,12998,19556,8579
11/30/2021,23619,12343,11491,13274,19858,11421
11/4/2021,23026,12080,11273,13009,19571,8583
11/5/2021,23065,12100,11293,13026,19585,8689
11/6/2021,23085,12111,11304,13037,19591,9092
11/7/2021,23096,12120,11306,13042,19599,9152
11/8/2021,23114,12125,11313,13050,19608,9315
11/9/2021,23136,12133,11322,13058,19613,9472
12/1/2020,,,,1,,
12/1/2021,23641,12360,11497,13290,19882,11467
12/10/2020,,1,,1,,
12/11/2020,,1,,1,,
12/12/2020,1,1,,1,,
12/13/2020,1,1,,1,,
12/14/2020,1,1,,1,,
12/15/2020,3,3,1,3,1,
12/16/2020,25,44,35,25,14,
12/17/2020,53,79,67,53,19,
12/18/2020,100,136,113,84,39,
12/19/2020,110,148,121,98,40,
12/2/2020,,1,,1,,
12/2/2021,23666,12369,11504,13298,19897,11484
12/20/2020,111,150,121,98,42,
12/21/2020,113,151,123,98,43,
12/22/2020,120,170,137,109,48,1
12/23/2020,174,282,214,149,71,2
12/24/2020,253,383,286,205,84,2
12/25/2020,279,410,307,225,89,2
12/26/2020,297,434,321,235,91,2
12/27/2020,324,456,335,247,94,2
12/28/2020,378,515,380,276,107,3
12/29/2020,441,591,426,325,202,3
12/3/2020,,1,,1,,
12/3/2021,23708,12388,11519,13320,19903,11572
12/30/2020,541,675,502,388,304,3
12/31/2020,594,717,550,424,354,3
12/4/2020,,1,,1,,
